parameter,value,price_id,ERRF,TUWR_pct,ERRF_change_pct
NMIN,10,R01,1.6432838078371763,20.261293040137492,0.0025493198019032998
NMIN,10,R02,1.872232044481692,17.60606798630592,0.0016940737036286
NMIN,10,R05P6179775281,2.5629980228829208,8.0707254957311001,0.000106528319077
NMIN,10,R10,3.2839215575827887,5.39410514597302,9.5016605272668642e-05
NMIN,10,R20,4.8634173896214481,3.1068113021519999,0.00014484402992559999
NMIN,10,ALL,2.8451705644812053,10.887800594059909,0.0006080719043177
NMIN,20,R01,1.6432739798614076,20.2619177747445,0.0019512352672501
NMIN,20,R02,1.8722217578506344,17.606859905690612,0.0011446329785336001
NMIN,20,R05P6179775281,2.5629966490480465,8.0703442795430202,5.2925611404575079e-05
NMIN,20,R10,3.2839222563777177,5.3949710638235198,0.000116295907504
NMIN,20,R20,4.8634072928176817,3.1051679570746198,-6.2763452268743691e-05
NMIN,20,ALL,2.845164387191097,10.887852196175251,0.00039095565307340001
NMIN,30,R01,1.6432754355233661,20.261763257718449,0.0020398200303305999
NMIN,30,R02,1.8722221626520528,17.607582441162489,0.0011662546721246999
NMIN,30,R05P6179775281,2.5629983044889664,8.0703759032113194,0.0001175156995936
NMIN,30,R10,3.2839168399858125,5.3949029636873096,-4.8640950967016039e-05
NMIN,30,R20,4.8634020974629113,3.1051271051763698,-0.00016958879501809999
NMIN,30,ALL,2.8451629680226218,10.88795033419119,0.00034107544124580003
NMIN,50,R01,1.6432435708027653,20.263366828004379,0.0001006825068872
NMIN,50,R02,1.8721989277801847,17.610017501572433,-7.4791572779453475e-05
NMIN,50,R05P6179775281,2.5629953466441746,8.0725327844098409,2.109916352743824e-06
NMIN,50,R10,3.2839182890299483,5.39651720423835,-4.5154903816069236e-06
NMIN,50,R20,4.8634112164380428,3.1055715094418401,1.7912865013514079e-05
NMIN,50,ALL,2.8451534701390231,10.889601165533371,7.2486587177067463e-06
NU,0,R01,1.6432584744842154,20.262204087794959,0.0010076506959276999
NU,0,R02,1.8722215815293519,17.601090168232268,0.0011352151144228
NU,0,R05P6179775281,2.5631009975840038,8.0714413141640104,0.0041242766692927996
NU,0,R10,3.2840097758169096,5.3956491576065302,0.0027813876527060001
NU,0,R20,4.8635846853720883,3.1087174018818899,0.0035847295991818999
NU,0,ALL,2.8452351029573131,10.88782042593593,0.0028764374411238002
NU,10,R01,1.643254094794091,20.261492378426571,0.00074112328563020005
NU,10,R02,1.8722135121187755,17.601694781054462,0.00070420298097219997
NU,10,R05P6179775281,2.5630752639373182,8.0691123262892912,0.0031202308655274998
NU,10,R10,3.283958474236786,5.39444380454393,0.001219181370704
NU,10,R20,4.8634904973117532,3.1083669250064299,0.0016480626587211001
NU,10,ALL,2.8451983684797448,10.887022043064141,0.0015853127050878999
NU,30,R01,1.6432594881798619,20.259219290922271,0.0010693394610683
NU,30,R02,1.872209354571329,17.606542748908211,0.00048213553529569998
NU,30,R05P6179775281,2.5630512679785573,8.0666040223556195,0.0021839841689129998
NU,30,R10,3.2839277300426253,5.39952470021582,0.0002829768105838
NU,30,R20,4.8634668752260541,3.1040067369991999,0.0011623523439085999
NU,30,ALL,2.8451829431996858,10.88717949988022,0.0010431528061793001
NU,60,R01,1.6432669295942881,20.25447634762137,0.0015221890599104
NU,60,R02,1.8722053443433668,17.610044463991251,0.00026793687812880001
NU,60,R05P6179775281,2.5629372772897456,8.0680648895931206,-0.0022635733097241999
NU,60,R10,3.2837990472471001,5.4079211288433005,-0.0036355978428992001
NU,60,R20,4.8632470211533212,3.1059877686976702,-0.0033582218442739999
NU,60,ALL,2.8450911239255645,10.88929891974934,-0.0021840643453896001
NU,100,R01,1.6432891262928018,20.24837313562448,0.0028729760799484001
NU,100,R02,1.8722059088623115,17.616901655231722,0.0002980895779325
NU,100,R05P6179775281,2.56283047321869,8.0712082778563801,-0.0064307316094414004
NU,100,R10,3.2836708171536868,5.4090847129400297,-0.0075403870714029998
NU,100,R20,4.8630395318459714,3.10346567460393,-0.0076245553966568999
NU,100,ALL,2.8450071714746921,10.889806691251309,-0.0051347823941338003
