method,zone_or_farm,price_id,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,initial_empty,basic_empty,selected_basic_failure,selected_full_failure,selected_ARD_failure,dataset,setting,multiplier,TUWR_pct
CLARA strict,Pooled,ALL,2.8738262599109188,1.6251871799046651,1.2486390800062548,0.65327863902519945,0.4556498473915998,0.057154850764262501,0.45714273447521009,0.0829015321905055,0.0074503151902888002,0.075451217000216703,0.056556475472770797,0.056556475472770797,0.056556475472770797,0.399814168332775,0.37162638036780887,GEFCom,Strict,0.5,5.7154850764262504
CLARA,Pooled,ALL,2.845153263903573,1.5816572982481354,1.2634959656554383,0.6419445441020255,0.44342235254426038,0.10889654407153811,0.42120590776096972,0.084070384392444603,0.013826682492179099,0.070243701900265396,0.0139425660832211,0.0139425660832211,0.0139425660832211,0.39462318299991511,0.38191715486168909,GEFCom,Standard,1,10.889654407153811
CLARA relaxed,Pooled,ALL,2.829798842224009,1.556461380330272,1.2733374618937376,0.63478357468809321,0.43634484751115271,0.14437085216195211,0.40441100056786011,0.086382564450497301,0.0186020219653368,0.067780542485160397,0.0068832713214545,0.0068832713214545,0.0068832713214545,0.39558312637447779,0.38943255353700901,GEFCom,Relaxed,2,14.437085216195211
