zone_or_farm,price_id,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap
zone1,R01,CLARA,1.6003296798875832,1.3773370623134746,0.22299261757410879,0.57945755999562021,0.38611672310387157,0.23346560018388329,0.14237137549493259,0.0539824903636714,0.030865240250698499,0.0231172501129728
zone1,R01,FEASIBLE_STATE_ORACLE,1.5952070892214529,1.3713997661050381,0.22380732311641471,0.5777016597488851,0.38444894327004109,0.23987898660739959,0.13428906602279631,0.053652490324319901,0.031540221575937402,0.022112268748382499
zone1,R01,OUTCOME_ORACLE,1.5120977588765201,1.2648444093001061,0.24725334957641379,0.53750981320000979,0.35451766326865591,0.421626196341923,0.064615385355606597,0.071441381906792001,0.060571558938695702,0.010869822968096301
zone1,R01,STATE_ORACLE,1.540032350136159,1.298006524895674,0.24202582524048549,0.55309091614218664,0.36383286427864658,0.35123783776738432,0.097805107970034,0.065979555332544904,0.050023117966109303,0.0159564373664355
zone1,R02,CLARA,1.834714298199605,1.3976889878268883,0.43702531037271702,0.5853292152866526,0.39183355611325749,0.20204049452009271,0.157176911223261,0.0523549975996494,0.027062730261490298,0.025292267338159001
zone1,R02,FEASIBLE_STATE_ORACLE,1.8299351275114311,1.392631410560971,0.43730371695045972,0.58375884880835405,0.39041288834193238,0.20744180387594821,0.1483329204947848,0.051819947139030001,0.027571800835695399,0.024248146303334502
zone1,R02,OUTCOME_ORACLE,1.7330348625701035,1.3639087234240737,0.36912613914602938,0.55923731184671088,0.38234471779786028,0.29995955259463131,0.085967082379446697,0.056601155702136398,0.042051697248953197,0.0145494584531831
zone1,R02,STATE_ORACLE,1.7816904966953868,1.3002012241304568,0.48148927256492979,0.55386667450170912,0.36444935282774288,0.34720017480351428,0.099646068529217396,0.065725414211205396,0.049533364199966998,0.016192050011238399
zone1,R05P6179775281,CLARA,2.5402598405548371,1.5787262849985957,0.96153355555623998,0.6610252613214912,0.44268672947609639,0.082074552399610701,0.4921222308941206,0.094057925729187697,0.0096104540778464004,0.084447471651341199
zone1,R05P6179775281,FEASIBLE_STATE_ORACLE,2.5230552724323152,1.5732758742306658,0.94977939820164803,0.6614751135349819,0.441155715215442,0.078005243167190694,0.4979959384252764,0.092805862209726503,0.0087591341796462996,0.084046728030080203
zone1,R05P6179775281,OUTCOME_ORACLE,2.2219630559541943,1.4846804766861901,0.73728257926800245,0.67696487491749802,0.41626936759058941,0.016867954358193101,0.60586932487100165,0.095240418150028705,0.0019328600699851999,0.093307558080043401
zone1,R05P6179775281,STATE_ORACLE,2.5002271365728115,1.5281554344177442,0.972071702155066,0.65172365245011321,0.42848143436911562,0.13371567953931079,0.47452502440665728,0.096287975311263804,0.0154251510922267,0.080862824219037094
zone1,R10,CLARA,3.2721926489025188,1.6465042070826008,1.6256884418199196,0.68149905263442834,0.46172547163452438,0.056860461216660697,0.58454330902124663,0.10718291121071399,0.0056726790701696998,0.1015102321405443
zone1,R10,FEASIBLE_STATE_ORACLE,3.2415865649023008,1.6413564231563464,1.6002301417459546,0.68263897647481364,0.46027946491366661,0.051659098082002003,0.59602227072062386,0.10654398955175989,0.0048016993688984998,0.10174229018286141
zone1,R10,OUTCOME_ORACLE,2.7929347840268086,1.4952825774694225,1.2976522065573846,0.70737276840316288,0.41924748578812671,0.0085376574408186998,0.72019293697340425,0.1236806039676195,0.00080468748313779995,0.1228759164844816
zone1,R10,STATE_ORACLE,3.2254540647152541,1.6133797177549662,1.6120743469602876,0.67835296312873461,0.45242083980091929,0.081575318248492498,0.58351317694459437,0.1078564592726458,0.0076385309656381998,0.1002179283070076
zone1,R20,CLARA,4.8755716709907997,1.6991758670192336,3.1763958039715678,0.69241808194944798,0.47652088172908358,0.0329683091976226,0.64767798805915566,0.1127692192250935,0.0028696674829526,0.1098995517421409
zone1,R20,FEASIBLE_STATE_ORACLE,4.8224602080081436,1.6910220422261677,3.1314381657819768,0.69295586115495056,0.47423048150631242,0.031201691912815899,0.6557616851671132,0.11249562128339539,0.0024900808128381002,0.1100055404705573
zone1,R20,OUTCOME_ORACLE,4.0871587663115978,1.5021901742122268,2.584968592099369,0.72725613652687515,0.42118782195183579,0.0062748057780896999,0.77404515158150333,0.1430620587875529,0.00047776490440339998,0.14258429388314939
zone1,R20,STATE_ORACLE,4.805772927381029,1.675444681471647,3.1303282459093822,0.69160577870207007,0.46985481837301979,0.0440426195740347,0.65112923638537668,0.1128296553869973,0.0033614123942113999,0.1094682429927859
zone10,R01,CLARA,1.8577137670426065,1.6258304214662616,0.2318833455763451,0.58769415413266834,0.4557633631652086,0.18180280339802429,0.1548806894489034,0.048877496415092002,0.0238952023881846,0.024982294026907201
zone10,R01,FEASIBLE_STATE_ORACLE,1.8543877726953044,1.6220173264311293,0.23237044626417569,0.5866055892180243,0.45469226905421661,0.1839011790404825,0.14994862863267119,0.048589879028372703,0.0242562839842866,0.024333595044085998
zone10,R01,OUTCOME_ORACLE,1.7789880801084017,1.5250655193782985,0.25392256073010278,0.55282009861894132,0.42745861538769098,0.33008699289220328,0.070550837475849504,0.058710249972146099,0.046233858336273297,0.0124763916358728
zone10,R01,STATE_ORACLE,1.8085032871875264,1.5607307033938256,0.2477725837937016,0.56616616166790545,0.43747692550441192,0.26891343670943207,0.10250014873442739,0.054750046004549802,0.037530523821500197,0.017219522183049601
zone10,R02,CLARA,2.0991323146283518,1.6437940731704199,0.45533824145793239,0.593092623549479,0.46080933274502839,0.15807937458766619,0.17295882591506759,0.048095703357234301,0.0207661719744574,0.0273295313827768
zone10,R02,FEASIBLE_STATE_ORACLE,2.0957371541996515,1.6419542564100724,0.45378289778957998,0.59246790093056101,0.46029253028425671,0.1569577175462771,0.16836711510261659,0.0474433924887794,0.020731936094568401,0.026711456394210999
zone10,R02,OUTCOME_ORACLE,2.0093596202623063,1.6197411714306065,0.3896184488317006,0.5737422918618631,0.45405289967204698,0.20979446605083729,0.096411212121458506,0.046145955419691402,0.029341496578451198,0.0168044588412401
zone10,R02,STATE_ORACLE,2.0558569104911437,1.5630714459841988,0.4927854645069456,0.56686679889473535,0.43813443746799979,0.2653324282427153,0.1037276050044406,0.054419848749359498,0.037031593320676098,0.017388255428683299
zone10,R05P6179775281,CLARA,2.8295959382830413,1.8086885653168592,1.0209073729661835,0.65794609031940754,0.50712801031425292,0.077783160462080697,0.50366308391791648,0.089343874159392794,0.0087294035337660003,0.080614470625626794
zone10,R05P6179775281,FEASIBLE_STATE_ORACLE,2.8149908500215064,1.8074008390170968,1.0075900110044105,0.65880072520079602,0.50676628944353308,0.068179384690251602,0.50652381040889527,0.087860812572518598,0.0074762672627713004,0.080384545309747299
