price_id,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap
ALL,CLARA,2.845153263903573,1.5816572982481354,1.2634959656554383,0.6419445441020255,0.44342235254426038,0.10889654407153811,0.42120590776096972,0.084070384392444603,0.013826682492179099,0.070243701900265396
ALL,FEASIBLE_STATE_ORACLE,2.8240458733648657,1.5726624221303522,1.2513834512345141,0.64112842693666239,0.44089570194937761,0.1078433283153364,0.41791814566367019,0.082758832806320404,0.013579852344196799,0.069178980462123493
ALL,OUTCOME_ORACLE,2.5046916972763178,1.4643142235290101,1.0403774737473079,0.64274374808867596,0.41046081470180978,0.13572648257815739,0.45762237387324628,0.096059935023655604,0.019301782154686,0.076758152868969504
ALL,STATE_ORACLE,2.7941614863001751,1.5245756431507069,1.2695858431494689,0.62757987453369957,0.42738817976408389,0.17264983622726249,0.3885803868798276,0.087670138406998804,0.022833839462397702,0.064836298944600995
R01,CLARA,1.6432419163456096,1.4247765760153857,0.21846534033022411,0.58341279202890928,0.39935473393955578,0.20264373524753809,0.15673058082758359,0.0526234982971042,0.027610907865655999,0.025012590431448201
R01,FEASIBLE_STATE_ORACLE,1.6380040051647726,1.4188453161856138,0.21915868897915869,0.58181740050723163,0.39768864971770979,0.20885640842030459,0.1501853082305647,0.052492767671889498,0.028314882032532199,0.024177885639357199
R01,OUTCOME_ORACLE,1.5542510639568139,1.3120157645613444,0.24223529939546909,0.54257409766634246,0.36768034869965671,0.38132808005490432,0.069789234683427501,0.067235783319050196,0.055342382900097797,0.0118934004189523
R01,STATE_ORACLE,1.5854176442938248,1.3489828690844388,0.23643477520938611,0.55827092474303475,0.3780643668241212,0.3114224228133976,0.1063814710477707,0.061978632366587197,0.044829111721967498,0.017149520644619699
R02,CLARA,1.8722003280282555,1.443753527379384,0.42844680064887147,0.5892193482388387,0.40468533825528569,0.17609789931203279,0.17354756402331731,0.051502859499982498,0.0241171152874902,0.027385744212492302
R02,FEASIBLE_STATE_ORACLE,1.8670969983171757,1.4390234989721411,0.42807349934503441,0.58789935706581808,0.40335667859032992,0.18035458328254581,0.16690686546362271,0.051112806065360797,0.024574451240069801,0.026538354825290902
R02,OUTCOME_ORACLE,1.7727512282197708,1.4068098260557746,0.36594140216399618,0.56318714200399345,0.39430789406326061,0.2680065787452241,0.092591994183474996,0.053767377816324298,0.038157317337166097,0.015610060479158101
R02,STATE_ORACLE,1.8215010318295519,1.3512924763730756,0.4702085554564765,0.55901789320084094,0.37871313291643488,0.30742370126758101,0.10802834655291479,0.061690209241435701,0.0443285129809474,0.0173616962604882
R05P6179775281,CLARA,2.5629952925671176,1.6181201379144323,0.94487515465268523,0.66145199935274002,0.45366472323704071,0.080720198661317993,0.50829855921934886,0.094866791761146999,0.0094441107291706999,0.0854226810319762
R05P6179775281,FEASIBLE_STATE_ORACLE,2.5448100543661694,1.6086464912859806,0.936163563080189,0.66066976098893182,0.4510035865436553,0.075239571659432902,0.50676524961031155,0.091983814080001794,0.0084000242642485005,0.083583789815753207
R05P6179775281,OUTCOME_ORACLE,2.2580856034169816,1.525400943915217,0.73268465950176442,0.67686887688475217,0.42762000582153092,0.015819184527977901,0.62119899534352652,0.095420520528102903,0.0017916308604022,0.093628889667700693
R05P6179775281,STATE_ORACLE,2.5240992466413843,1.5667367745985661,0.95736247204281844,0.65098129729344456,0.43923119421572998,0.12736940972651811,0.4811590625632986,0.0950347032824439,0.014810398107762201,0.080224305174681598
R10,CLARA,3.2839184373149699,1.6862504692588485,1.5976679680561232,0.68254235173906752,0.47280245676075261,0.053965172042383498,0.60394600402913723,0.1080459173666915,0.0053482242545867999,0.10269769311210469
R10,FEASIBLE_STATE_ORACLE,3.2541051544649604,1.6745556581250658,1.5795494963398964,0.68228021112165071,0.46951739745351029,0.047551223148473397,0.60319679051641606,0.1058788769774263,0.0044057247432302002,0.1014731522341961
R10,OUTCOME_ORACLE,2.8256796510160598,1.5354175519071966,1.2902620991088638,0.7059970003249062,0.43043365975186221,0.0079081835122636994,0.7273125149859736,0.122626387890687,0.00075209985779990001,0.121874288032887
R10,STATE_ORACLE,3.2391601931602656,1.6493613020042992,1.5897988911559675,0.67825281881040156,0.46244033112745242,0.076231138443377894,0.59091633868602511,0.10705836870584071,0.0070390427201788,0.10001932598566179
R20,CLARA,4.8634103452619133,1.7353857806726265,3.1280245645892881,0.69309622915057234,0.48660451052866721,0.031055715094418401,0.66350683070546157,0.11331285503729779,0.002613054323992,0.1106998007133058
R20,FEASIBLE_STATE_ORACLE,4.8162131545112503,1.7222411460829601,3.0939720084282909,0.69297540499968002,0.48291219744168251,0.0272148550659254,0.662536514497436,0.1123258992369235,0.0022041794409033998,0.1101217197960201
R20,OUTCOME_ORACLE,4.1126909397719631,1.5419270312055162,2.5707639085664464,0.72509162356338519,0.43226216517273841,0.0055703860504169997,0.7772191301698288,0.14124960556411351,0.00046547981796419999,0.14078412574614929
R20,STATE_ORACLE,4.8006293155758488,1.7065047936931541,3.0941245218826952,0.6913764386207758,0.47849187373668089,0.040802508885438099,0.65641671554912906,0.11258877843868639,0.0031621317811325001,0.10942664665755381
