price_id,oracle,CLARA_ERRF,oracle_ERRF,gap_pct,ci95_low,ci95_high
ALL,STATE_ORACLE,2.845153263903573,2.7941614863001751,1.8249402496388176,1.6019934759262562,2.0630178854128358
ALL,FEASIBLE_STATE_ORACLE,2.845153263903573,2.8240458733648657,0.7474167023199918,0.66049747029924388,0.84997987064581448
ALL,OUTCOME_ORACLE,2.845153263903573,2.5046916972763182,13.592953056756784,12.562906548076302,14.766139235847495
R01,STATE_ORACLE,1.6432419163456096,1.585417644293825,3.6472580117865809,3.1725191762198657,4.1688023403586074
R01,FEASIBLE_STATE_ORACLE,1.6432419163456096,1.6380040051647726,0.31977401546767759,0.2492938734820232,0.41026635852384191
R01,OUTCOME_ORACLE,1.6432419163456096,1.5542510639568139,5.7256420441008204,5.1421607904794051,6.4147020279615594
R02,STATE_ORACLE,1.872200328028256,1.8215010318295524,2.7833800427650601,2.4405828713693345,3.1501723867478981
R02,FEASIBLE_STATE_ORACLE,1.872200328028256,1.8670969983171757,0.2733296510936567,0.21533853866721181,0.35210090325569149
R02,OUTCOME_ORACLE,1.872200328028256,1.7727512282197708,5.6098734117563387,5.1993460196840502,6.047698125549327
R05P6179775281,STATE_ORACLE,2.5629952925671176,2.5240992466413839,1.5409871849329848,1.3558435770798078,1.7348993643377113
R05P6179775281,FEASIBLE_STATE_ORACLE,2.5629952925671176,2.5448100543661694,0.71460100410039029,0.63763827931312189,0.80805971411313071
R05P6179775281,OUTCOME_ORACLE,2.5629952925671176,2.2580856034169816,13.503017276614337,12.595326577190647,14.49897427744458
R10,STATE_ORACLE,3.2839184373149708,3.2391601931602656,1.381785447018502,1.2179386804126513,1.5569209378123809
R10,FEASIBLE_STATE_ORACLE,3.2839184373149708,3.2541051544649604,0.9161745375407816,0.81989999272247149,1.0258979627316138
R10,OUTCOME_ORACLE,3.2839184373149708,2.8256796510160598,16.216940449499905,15.038238032411364,17.555415429847351
R20,STATE_ORACLE,4.8634103452619133,4.8006293155758488,1.3077666605577851,1.1394278514174545,1.4874819786302689
R20,FEASIBLE_STATE_ORACLE,4.8634103452619133,4.8162131545112503,0.97996474068957617,0.86333678875123665,1.1060072819308469
R20,OUTCOME_ORACLE,4.8634103452619133,4.1126909397719631,18.253727704897148,16.797951651497499,19.974283070758272
