Method,1,2,20/3.56,10,20
CLARA,0.4096,0.4623,0.6213,0.7908,1.1836
TSC,0.3839,0.4412,0.6342,0.8010,1.1940
LinUCB,0.3834,0.4446,0.6299,0.8114,1.1984
CART,0.4084,0.4621,0.6232,0.8075,1.2366
EEE,0.4278,0.4715,0.6294,0.8206,1.2571
EnbPI-RH,0.3837,0.4405,0.6460,0.8948,1.4626
ACI,0.4730,0.5118,0.6523,0.8224,1.2106
Static,0.3779,0.4371,0.6512,0.9105,1.5023
AgACI,0.4942,0.5316,0.6668,0.8305,1.2042
