Comparison,ERRF change (%) [95% interval],TUWR change (pp) [95% interval]
Remove power-change flag,"+0.559 [+0.181, +0.926]","+0.003 [-0.049, +0.070]"
Remove target coverage,"+2.283 [+1.579, +3.079]","+9.694 [+5.639, +13.907]"
Remove forecaster identity,"+0.077 [-0.219, +0.345]","+0.215 [+0.010, +0.591]"
Remove lead-time group,"+0.718 [+0.192, +1.229]","+1.063 [+0.327, +2.039]"
Remove width category,"+0.007 [-0.120, +0.110]","+0.092 [+0.000, +0.276]"
Remove recent-coverage category,"+0.031 [-0.068, +0.116]","+0.012 [+0.000, +0.036]"
"Remove power change, width and recent coverage","+0.401 [+0.102, +0.695]","-0.023 [-0.054, +0.000]"
Retain only target coverage,"+1.397 [+0.758, +2.051]","+3.735 [+1.641, +6.422]"
Retain only power-change flag,"+1.397 [+0.758, +2.051]","+3.735 [+1.641, +6.422]"
Without reliability constraints,"+0.058 [+0.014, +0.105]","+0.000 [+0.000, +0.000]"
Global fixed action,"+1.397 [+0.758, +2.051]","+3.735 [+1.641, +6.422]"
Width-only,"+9.877 [+8.462, +11.419]","+45.991 [+37.500, +53.603]"
Without risk shrinkage,"-0.013 [-0.038, +0.001]","+0.000 [+0.000, +0.000]"
Without standard-error penalty,"+0.020 [-0.062, +0.103]","+0.000 [+0.000, +0.000]"
Without violation priority,"+0.009 [-0.023, +0.056]","+0.000 [+0.000, +0.000]"
