Baseline,CLARA change (%),95% interval (%),Zone wins
LinUCB,-2.52,"[-2.82, -2.21]",10/10
CART,-3.15,"[-3.29, -2.99]",10/10
TSC,-5.02,"[-5.13, -4.91]",10/10
EEE,-4.94,"[-5.07, -4.83]",10/10
Static,-10.22,"[-10.73, -9.72]",10/10
ACI,-4.74,"[-4.98, -4.51]",10/10
AgACI,-4.51,"[-5.05, -4.03]",10/10
EnbPI-RH,-8.44,"[-8.64, -8.29]",10/10
Width-only,-11.27,"[-11.65, -10.91]",10/10
