method,minimum,q1,median,q3,maximum
ACI,0.0,2.2739176796622793,5.37423147135383,12.243091173234538,43.14236399945517
AgACI,0.0,0.0,5.250835625241423,17.291602882663742,59.85641912279429
EEE,0.0,1.6388222975883548,5.462467758131895,10.310225194957184,27.01709146235711
EnbPI-RH,0.0,1.2268471687833682,4.0592442068692165,11.098517865952513,37.98835765621802
Static,0.0,0.0,0.1965346803194823,13.326922392443702,55.84253016235432
TSC,0.0,2.026229372750593,5.802808179194674,10.858830229348387,33.50037287572336
