zone,predictor,horizon,target_coverage,price_id,price_ratio,method,n,window_count,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap,relative_excess,overall_gap_pp,TUWR_pct
zone1,GBR,1,0.1,R01,1.0,ACI,8472,7971,0.44628653042800237,0.20487792784664802,0.24140860258135435,0.23229461756373937,0.0575499797322045,0.20824199133105242,0.0,1.0,0.12850018818216033,0.0,0.12850018818216033,16.844911858003986,13.229461756373937,0.0
zone1,GBR,1,0.1,R01,1.0,AgACI,8472,7971,0.48000250844327247,0.2565507504189408,0.22345175802433162,0.27974504249291793,0.07206481753341033,0.21154781255484084,0.0,1.0,0.1766613796440669,0.0,0.1766613796440669,25.672291155386073,17.974504249291794,0.0
zone1,GBR,1,0.1,R01,1.0,EEE,8472,7971,0.42125242348568187,0.16616241763679557,0.25509000584888625,0.1643059490084986,0.046674836414830216,0.20590704980364807,0.0,0.6672939405344374,0.06388873953796798,0.0,0.06388873953796798,10.290584492770671,6.430594900849859,0.0
zone1,GBR,1,0.1,R01,1.0,EnbPI-RH,8472,7971,0.3868889994394867,0.10604150675254884,0.2808474926869378,0.1108356940509915,0.029786940099030573,0.20509748484743118,0.03763643206624012,0.13059841926985322,0.026891230711328568,0.009885388103303049,0.01700584260802552,1.2936935268564653,1.0835694050991496,3.763643206624012
zone1,GBR,1,0.1,R01,1.0,Static,8472,7971,0.3819477659158603,0.09717948552904462,0.28476828038681573,0.09242209631728045,0.02729760829467545,0.20505558606422333,0.050809183289424166,0.061723748588633796,0.023193451260820473,0.01609136691936843,0.007102084341452047,0.0,-0.7577903682719558,5.080918328942417
zone1,GBR,1,0.1,R01,1.0,TSC,8472,7971,0.43038852751086143,0.18047202741270346,0.249916500098158,0.20892351274787535,0.050694389722669514,0.20669719877270573,0.0,0.9939781708694015,0.10510063265050094,0.0,0.10510063265050094,12.682561836393136,10.892351274787535,0.0
zone1,GBR,1,0.2,R01,1.0,ACI,8472,7971,0.5304710541103654,0.337126695468777,0.1933443586415884,0.35375354107648727,0.09469850996313962,0.23047404271706404,0.0,1.0,0.15076706632973097,0.0,0.15076706632973097,21.83907440045263,15.375354107648725,0.0
zone1,GBR,1,0.2,R01,1.0,AgACI,8472,7971,0.5760268213425477,0.396933184924514,0.17909363641803375,0.4054532577903683,0.11149808565295335,0.2372660887555051,0.0,1.0,0.2027747907593598,0.0,0.2027747907593598,32.30236447097319,20.545325779036826,0.0
zone1,GBR,1,0.2,R01,1.0,EEE,8472,7971,0.49200207399802615,0.2817348619558717,0.21026721204215448,0.28470254957507074,0.07913900616737969,0.2267985651857466,0.0,0.7064358298833271,0.08330600211480904,0.0,0.08330600211480904,13.003484044109292,8.470254957507073,0.0
zone1,GBR,1,0.2,R01,1.0,EnbPI-RH,8472,7971,0.4418054769557857,0.2017440524693912,0.24006142448639456,0.2103399433427762,0.056669677659941346,0.22525213867566787,0.013925479864508844,0.14188934888972526,0.035439181317992,0.014804111332150479,0.020635069985841525,1.4742839599767965,1.0339943342776188,1.3925479864508845
zone1,GBR,1,0.2,R01,1.0,Static,8472,7971,0.4353866415357426,0.1911355149608047,0.24425112657493786,0.18696883852691218,0.05368975139348446,0.2252144189320644,0.14490026345502446,0.04704554008280015,0.03327150205208166,0.02482749968636307,0.008444002365718583,0.0,-1.3031161473087831,14.490026345502447
zone1,GBR,1,0.2,R01,1.0,TSC,8472,7971,0.5063174993865156,0.30267700713334933,0.2036404922531662,0.33144475920679894,0.08502163121723295,0.22802759487816426,0.0,0.9928490779074144,0.1277931609226302,0.0,0.1277931609226302,16.291463973395715,13.144475920679893,0.0
zone1,GBR,1,0.3,R01,1.0,ACI,8472,7971,0.6136369914467495,0.4553685765043714,0.1582684149423781,0.459985835694051,0.12791252148999196,0.2549337212832329,0.0,0.9992472713586752,0.15646495331290214,0.0,0.15646495331290214,23.56189954970791,15.9985835694051,0.0
zone1,GBR,1,0.3,R01,1.0,AgACI,8472,7971,0.6678997343234254,0.5237055494675219,0.14419418485590343,0.4971671388101983,0.14710830041222528,0.26283397044104023,0.0,1.0,0.19426492463752537,0.0,0.19426492463752537,34.48824147184624,19.71671388101983,0.0
zone1,GBR,1,0.3,R01,1.0,EEE,8472,7971,0.565745041523265,0.3915825370722466,0.17416250445101833,0.386685552407932,0.10999509468321535,0.24977238557488338,0.0,0.5592773805043282,0.0848016022366794,0.00023881212251554714,0.08456279011416384,13.918380028934752,8.668555240793202,0.0
