price_id,target_coverage,method,ERRF,capacity,exceedance,coverage,TUWR,width
R01,0.10000000000000001,ACI,0.88261317024474184,0.41981087557619184,0.46280229466854989,0.21736569602618702,5.569056298096396e-06,0.11706099786113035
R01,0.10000000000000001,AgACI,0.9582650701868447,0.53230818761190524,0.42595688257493886,0.269745568189241,0,0.14866136641048816
R01,0.10000000000000001,EEE,0.83172352608014388,0.33999127451246514,0.49173225156767869,0.16770017417222949,0.0030774185466615339,0.094639761607274692
R01,0.10000000000000001,EnbPI-RH,0.76391208205329664,0.22124359533247279,0.54266848672082368,0.11264141607331186,0.058546057953828036,0.061283671949973681
R01,0.10000000000000001,Static,0.74485525543195086,0.18660243952928954,0.55825281590266052,0.096137497500128913,0.14792027655435422,0.05155301020750646
R01,0.10000000000000001,TSC,0.84507727855933579,0.36074759723645827,0.48432968132287763,0.18851500320056525,0.00010733090319967598,0.10047018933873345
R01,0.20000000000000001,ACI,1.0587534655220578,0.69393905668512279,0.36481440883693528,0.343606799926511,0,0.19406329592543656
R01,0.20000000000000001,AgACI,1.1639614877338453,0.8319278002482503,0.3320336874855952,0.39842631026174152,0,0.2328241789487871
R01,0.20000000000000001,EEE,0.97812399682456064,0.58124909292134519,0.39687490390321534,0.27822138497145316,0.0074467690850560427,0.16240881172212862
R01,0.20000000000000001,EnbPI-RH,0.88279727866604329,0.42827638261428136,0.45452089605176127,0.21525883563716497,0.096897133376793801,0.11943894927632451
R01,0.20000000000000001,Static,0.84876054595455475,0.37085313213772741,0.47790741381682722,0.18796789187642549,0.22760825392465336,0.10330882273796659
R01,0.20000000000000001,TSC,1.0033407153857268,0.61663365409051907,0.38670706129520782,0.31125549806033631,0.00011636695506793284,0.17234829519661565
R01,0.29999999999999999,ACI,1.2253780032279524,0.93456289627832267,0.29081510694962975,0.44952449878702522,0,0.26165426210330123
R01,0.29999999999999999,AgACI,1.344746723819827,1.0800405794664556,0.26470614435337053,0.49825009986592333,3.5439449169704333e-06,0.30251877985277642
R01,0.29999999999999999,EEE,1.1227251362668833,0.80248140701181669,0.32024372925506656,0.37659465282868887,0.015905516997332031,0.22455272017450828
R01,0.29999999999999999,EnbPI-RH,1.0115207003850224,0.63618313307734509,0.37533756730767776,0.31589767271063179,0.12456363389614161,0.17783972187830813
R01,0.29999999999999999,Static,0.9627550360730236,0.55913901922514664,0.40361601684787712,0.27998853387911826,0.27407028539948369,0.15619811686364579
R01,0.29999999999999999,TSC,1.1597370032286376,0.85080793404328392,0.3089290691853539,0.41873947275899426,0.00017808011662445998,0.2381275873181789
R01,0.40000000000000002,ACI,1.3880427351774158,1.1568442752597261,0.2311984599176882,0.5413434893510477,0,0.32409285170482038
R01,0.40000000000000002,AgACI,1.5120131596054858,1.3009945257135547,0.21101863389192826,0.58270384373857098,8.1004455245038473e-06,0.3645844950907271
R01,0.40000000000000002,EEE,1.2707649599564257,1.0150413260551401,0.25572363390128527,0.46861906270009129,0.030919922037867385,0.28426056260240817
R01,0.40000000000000002,EnbPI-RH,1.1518631206667274,0.84760010654325679,0.30426301412346868,0.41534807693270737,0.14846603149207244,0.23722651217772264
R01,0.40000000000000002,Static,1.0893965339597256,0.75472639670402297,0.33467013725570388,0.37313665284717024,0.31255619271615609,0.2111383914363637
R01,0.40000000000000002,TSC,1.3185352512690249,1.0739596182762605,0.24457563299276358,0.51596801846364226,0.00022087398194000303,0.30081064468699309
R01,0.5,ACI,1.5536021395098976,1.3735760632155054,0.18002607629439132,0.62485605492927532,2.1769947347104092e-05,0.384972567422735
R01,0.5,AgACI,1.6770587390708402,1.5117533345978733,0.16530540447296593,0.65701633352929789,1.5188335358444713e-06,0.42378640769867987
R01,0.5,EEE,1.4293950974564522,1.2302598850317927,0.19913521242465954,0.55700586851993439,0.054627325503745439,0.34471521400034405
R01,0.5,EnbPI-RH,1.3086317269735057,1.0692684158536805,0.23936331111982473,0.5133461909459105,0.17273593481948996,0.29949289119750416
R01,0.5,Static,1.2353757550469147,0.96644172646011739,0.2689340285867971,0.46873975673212359,0.34281676375743125,0.27060898968245728
R01,0.5,TSC,1.4850778111136174,1.2958116926126353,0.18926611850098149,0.60571731110840243,0.00067550837475021525,0.36312864309608683
