price_id,target_predictor,source_predictor,ERRF,matched_ERRF,change_pct,ci95_low,ci95_high,zones_increase,zones_decrease
ALL,Ridge,Ridge,2.8006434525515402,2.8006434525515402,0.0,0.0,0.0,0,0
ALL,Ridge,GBR,2.7977352391856636,2.8006434525515402,-0.10384089996272605,-0.24404920365264815,0.026274770011799828,4,6
ALL,Ridge,MLP,2.809878890514296,2.8006434525515402,0.3297612894758828,0.17846177985647582,0.45063415931878903,9,1
ALL,Ridge,QRLSTM,2.801198480070659,2.8006434525515402,0.01981785716469453,-0.14304464523840182,0.17249287748300748,7,3
ALL,GBR,Ridge,2.7382586646946345,2.7250691885754423,0.48400518322571084,0.41639224696406574,0.5557073106808802,10,0
ALL,GBR,GBR,2.7250691885754423,2.7250691885754423,0.0,0.0,0.0,0,0
ALL,GBR,MLP,2.7387200058454733,2.7250691885754423,0.50093470386956,0.4017452181259634,0.5855278571283878,10,0
ALL,GBR,QRLSTM,2.7282544549909415,2.7250691885754423,0.11688754285039682,0.06143915579469139,0.16555593939700797,9,1
ALL,MLP,Ridge,2.9163458340728337,2.9159051822253765,0.015112008790385545,-0.11706182752144828,0.1582580826503787,5,5
ALL,MLP,GBR,2.909648254468558,2.9159051822253765,-0.21457925981129833,-0.43167769559579156,0.03886129441320496,2,8
ALL,MLP,MLP,2.9159051822253765,2.9159051822253765,0.0,0.0,0.0,0,0
ALL,MLP,QRLSTM,2.906370351528687,2.9159051822253765,-0.3269938527086347,-0.5076424329271734,-0.12644879397586603,2,8
ALL,QRLSTM,Ridge,2.8807429351832807,2.860520634448908,0.706944760014605,0.634127766799118,0.8017617673170241,10,0
ALL,QRLSTM,GBR,2.8641037530299838,2.860520634448908,0.12526106394497027,0.05899512191403666,0.20015316537879912,9,1
ALL,QRLSTM,MLP,2.8761391083747454,2.860520634448908,0.5460010928691084,0.4523763141355436,0.6378078028902318,10,0
ALL,QRLSTM,QRLSTM,2.860520634448908,2.860520634448908,0.0,0.0,0.0,0,0
R01,Ridge,Ridge,1.6228411050842326,1.6228411050842326,0.0,0.0,0.0,0,0
R01,Ridge,GBR,1.6213772104103312,1.6228411050842326,-0.09020566889236248,-0.1957860725467822,0.03299838318401405,2,8
R01,Ridge,MLP,1.6385245409775415,1.6228411050842326,0.9664184524396102,0.8125250533312361,1.1171532506986026,10,0
R01,Ridge,QRLSTM,1.6280801457701117,1.6228411050842326,0.32283140163664736,0.2088757997030577,0.44536048041502957,10,0
R01,GBR,Ridge,1.622425102709558,1.618569404354195,0.23821643637835788,0.16288332669277927,0.3115187220599963,10,0
R01,GBR,GBR,1.618569404354195,1.618569404354195,0.0,0.0,0.0,0,0
R01,GBR,MLP,1.6300915287150208,1.618569404354195,0.7118708860942125,0.5269231138010161,0.853156094883355,9,1
R01,GBR,QRLSTM,1.6220132587693947,1.618569404354195,0.2127715009276221,0.014496060453459414,0.33483806595822396,9,1
R01,MLP,Ridge,1.563170644706541,1.5695493049586733,-0.4064007567000427,-0.7693436402242262,-0.04843980641862949,2,8
R01,MLP,GBR,1.5540972531142692,1.5695493049586733,-0.984489738269867,-1.2985608156372228,-0.681687322187184,0,10
R01,MLP,MLP,1.5695493049586733,1.5695493049586733,0.0,0.0,0.0,0,0
