method,horizon_steps,ERRF,TUWR,capacity,exceedance,width,TUWR_pct
ACI,1,1.8507021860327577,0.00326905968008419,1.0559420188206101,0.7947601672121476,0.295659527445417,0.326905968008419
ACI,3,2.4518722881839494,0.00634623075384919,1.3735837315927943,1.078288556591155,0.3846508047385217,0.634623075384919
ACI,6,3.0403318128004844,0.01075447989510484,1.6831374312344685,1.3571943815660168,0.4718499216354815,1.075447989510484
ACI,12,3.605360335041486,0.017002047008078308,2.0239434136973675,1.5814169213441205,0.5679241974738672,1.7002047008078307
ACI,24,3.9855926023937003,0.02845787768327254,2.2596735215238923,1.7259190808698113,0.6341041725596007,2.845787768327254
AgACI,1,1.8500178767458477,0.00192026617281256,1.1199132688175113,0.7301046079283363,0.31362897969173786,0.192026617281256
AgACI,3,2.4533038609912654,0.00467451964152621,1.467427230949778,0.9858766300414876,0.4110113382657641,0.467451964152621
AgACI,6,3.0397666872232105,0.01006041484557106,1.7987621357804513,1.241004551442761,0.5043287712270491,1.006041484557106
AgACI,12,3.5965123559288914,0.02041525021018382,2.144662908476761,1.4518494474521355,0.6018341679175159,2.041525021018382
AgACI,24,3.95805004983047,0.03703031223535472,2.368798882031839,1.5892511677986383,0.6647573637135167,3.7030312235354716
CART,1,1.8062465413301354,0.08657030157779104,0.9534655355320034,0.8527810057981321,0.26687399843176385,8.657030157779104
CART,3,2.4015681893726155,0.1062290269218883,1.249407567247618,1.1521606221249976,0.3497698596977425,10.62290269218883
CART,6,2.992665598401079,0.13378601216491837,1.5417939456111702,1.4508716527899088,0.43214669533680306,13.378601216491838
CART,12,3.5605132194899456,0.15265613005812037,1.8762831181913164,1.684230101298629,0.5264465863766629,15.265613005812037
CART,24,3.9268460492061905,0.14920436135351076,2.108831605037514,1.8180144441686763,0.5917328477038777,14.920436135351075
CLARA,1,1.7518479807470546,0.06448549303702085,0.9785552270436696,0.7732927537033849,0.2739216645867264,6.448549303702085
CLARA,3,2.3283804639707215,0.08492719637890599,1.2860915458352427,1.0422889181354789,0.36007434806505245,8.492719637890598
CLARA,6,2.895208471838961,0.11636186079545449,1.5838828165345005,1.3113256553044608,0.4439694118883001,11.63618607954545
CLARA,12,3.44617852926217,0.13751165149687464,1.9173687459122288,1.528809783349942,0.53798749303984,13.751165149687465
CLARA,24,3.8041508736989607,0.14119651864943475,2.1423881559150355,1.6617627177839254,0.6011588451413833,14.119651864943474
EEE,1,1.8628207614485666,0.033462924632786765,0.9800784332262602,0.8827423282223066,0.2743495314919483,3.3462924632786764
EEE,3,2.4637031415733723,0.04706240570067801,1.2795828799063893,1.1841202616669833,0.35824607111874557,4.706240570067801
EEE,6,3.0514461610827572,0.07388025386072257,1.5716231070276176,1.4798230540551394,0.4405256732627715,7.388025386072257
EEE,12,3.617734296953596,0.10828924041378803,1.892542259678718,1.725192037274878,0.5310137609517757,10.828924041378803
EEE,24,3.9701084594725056,0.1290081096505762,2.115060158654757,1.8550483008177485,0.5934824414165866,12.900810965057621
EnbPI-RH,1,1.9316446308382056,0.1081172721825807,0.8991388113133784,1.0325058195248267,0.2516136826400153,10.81172721825807
EnbPI-RH,3,2.548107603286398,0.13642339713875404,1.1741475621242297,1.3739600411621689,0.32862940882038594,13.642339713875403
EnbPI-RH,6,3.1611584318299553,0.16753806089743586,1.4488185676736354,1.71233986415632,0.40603001614086615,16.753806089743588
EnbPI-RH,12,3.7593682627591285,0.1964120243447746,1.7542400053069418,2.005128257452185,0.4921648130945349,19.64120243447746
EnbPI-RH,24,4.137614798334649,0.20407093412864977,1.9649884885271616,2.172626309807486,0.5513274778975993,20.407093412864977
LinUCB,1,1.8067904397227748,0.06494902590918165,0.9784003500156554,0.8283900897071191,0.2738781598035762,6.494902590918166
LinUCB,3,2.3869222531111753,0.0974131082874334,1.2621718455110795,1.1247504076000958,0.3533553311200632,9.74131082874334
LinUCB,6,2.9584575170234966,0.14291347974941723,1.5390832293221297,1.419374287701367,0.4313852581769603,14.291347974941724
LinUCB,12,3.527755710532217,0.15791036115071092,1.873254081343244,1.6545016291889731,0.5255957333294514,15.791036115071092
LinUCB,24,3.9135389298140524,0.15380265289590925,2.094047082932594,1.8194918468814583,0.5875798920564282,15.380265289590925
Static,1,1.935474653879938,0.21472438585979628,0.8453196339535427,1.090155019926395,0.23649593619062345,21.472438585979628
Static,3,2.5694797973280457,0.25899342858700986,1.1031729949587616,1.4663068023692845,0.3086927326503104,25.899342858700987
Static,6,3.2066743218559695,0.3152387001019813,1.3557742934219241,1.850900028434045,0.37989398404768904,31.52387001019813
Static,12,3.858334985972408,0.3496525112402676,1.6473227112338145,2.211012274738596,0.4621318653211848,34.96525112402676
Static,24,4.274903590374639,0.34031260355683196,1.8667797425361468,2.4081238478384943,0.5237407514956293,34.031260355683195
TSC,1,1.8562781621412952,0.00614004030720623,1.021033984629678,0.8352441775116172,0.2858538998636949,0.614004030720623
TSC,3,2.4580517799254666,0.01091054516369449,1.324415667297046,1.133636112628421,0.37083955072286234,1.091054516369449
TSC,6,3.0508745637234562,0.015090963723776189,1.6205462504723218,1.430328313251135,0.4542681292865644,1.509096372377619
TSC,12,3.6215747225024906,0.02198271923090977,1.9498047848557634,1.6717699376467274,0.5470987399340915,2.198271923090977
TSC,24,3.9906034202752436,0.031101338414521843,2.182125525897689,1.8084778943775552,0.6123210277207807,3.110133841452184
