method,rank,excess
CLARA,2.660409090909091,1.6454909394028288
LinUCB,4.386318181818182,3.1633132332284832
CART,4.595272727272727,5.040343368829811
TSC,5.821318181818182,7.264092391316218
EEE,5.108454545454546,6.416316316123916
Static,4.587227272727273,7.65377420157386
ACI,6.295454545454545,8.251938741287708
AgACI,6.466636363636364,10.324575198277437
EnbPI-RH,5.078909090909091,7.296909999615957
