price_id,subset,delta_ERRF_contribution,delta_capacity_contribution,delta_exceedance_contribution,delta_ERRF_contribution_pct,delta_capacity_contribution_pct,delta_exceedance_contribution_pct
R01,sparse_nonempty,0.004494856718944157,0.0055852289068288562,-0.0010903721878847256,0.2735359093650816,0.33989084937960895,-0.066354940014528963
R01,supported,0,0,0,0,0,0
R01,zero,-7.1622530346672597e-05,-0.00010452020159887409,3.2897671252200193e-05,-0.0043586114518033518,-0.006360609509725482,0.0020019980579220505
R02,sparse_nonempty,0.0041581705086895359,0.0066619637482502178,-0.0025037932395607053,0.22210072535714143,0.35583605282594927,-0.13373532746880909
R02,supported,0,0,0,0,0,0
R02,zero,-3.9909699259819604e-05,-0.00011693898929225174,7.7029290032427312e-05,-0.0021317002599743847,-0.0062460724710698204,0.0041143722110951785
R05P6179775281,sparse_nonempty,0.0026043845006837518,0.0029237329177226649,-0.00031934841703887284,0.10161487647818417,0.11407484540458243,-0.012459968926396692
R05P6179775281,supported,0,0,0,0,0,0
R05P6179775281,zero,0.00039977959831943388,-0.00060357036066141772,0.0010033499589808567,0.015598140171338794,-0.023549413547961553,0.039147553719300544
R10,sparse_nonempty,0.0019817564075960245,0.0004089132490100204,0.0015728431585858959,0.060347309028063678,0.012451991631812882,0.047895317396247507
R10,supported,0,0,0,0,0,0
R10,zero,0.001210474730738932,-0.00068859148389592464,0.0018990662146348544,0.036860681951913894,-0.020968592766236232,0.05782927471815006
R20,sparse_nonempty,0.001631407573118381,-0.0018832083249455762,0.0035146158980641057,0.033544518296872675,-0.038721970618421218,0.072266488915296953
R20,supported,0,0,0,0,0,0
R20,zero,0.0031047846392525777,-0.00071112651583600907,0.0038159111550886203,0.063839660214510929,-0.014621972347630727,0.078461632562142336
ALL,sparse_nonempty,0.0029741151418063703,0.0027393260993732365,0.00023478904243313961,0.10453268650019437,0.096280440640124212,0.0082522458600703692
ALL,supported,0,0,0,0,0,0
ALL,zero,0.00092070134774089023,-0.00044494951025689542,0.0013656508579977917,0.032360342742228251,-0.015638859104778809,0.047999201847007268
