price_id,subset,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,event_count,reliability_event_count
R01,backoff_required,CLARA,1.8188277996116557,1.6065935026343878,0.21223429697726862,0.61523838297840894,0.45040656360379683,0.29818132669835895,0.15630261390296005,0.062639277307781946,0.038746943806884017,0.023892333500897953,2436059,2315809
R01,backoff_required,NO_BACKOFF_EXACT,1.8605232191580674,1.6582416049168038,0.20228161424126392,0.62871712056235096,0.46491445750335203,0.22901543261987495,0.17924664771576584,0.057128725806382334,0.029487551496197324,0.027641174310185021,2436059,2315809
R01,nonempty,CLARA,1.6416855214266315,1.4237174872880898,0.21796803413854157,0.58366727324764778,0.39905622258986506,0.20236126126142587,0.15653288311686414,0.052564399683518781,0.027579521323566225,0.024984878359952535,22993907,21892876
R01,nonempty,NO_BACKOFF_EXACT,1.6461745231162199,1.4292938135455642,0.21688070957065531,0.58513061742834738,0.40062260637005459,0.19483150592000795,0.15903698536455421,0.05196514528940184,0.026563335064533618,0.025401810224868208,22993907,21892876
R01,sparse_nonempty,CLARA,1.8244822420474147,1.6146826583604099,0.20979958368700546,0.61801442371256354,0.45267664003624786,0.2987107004210181,0.15600065613210126,0.062634377156188109,0.038817515081925422,0.023816862074262712,2405206,2286125
R01,sparse_nonempty,NO_BACKOFF_EXACT,1.8673973550868943,1.667992656491974,0.19940469859492074,0.63200407782119283,0.46765135861253004,0.22709563125375909,0.17955317403903986,0.056900979146976234,0.029216155117960607,0.02768482402901563,2405206,2286125
R01,supported,CLARA,1.6203309071060177,1.4014086211165828,0.21892228598943483,0.57965478249453428,0.39279219700784584,0.191127025584198,0.15659494018157316,0.051390251694914943,0.026269183956562945,0.025121067738351977,20588701,19606751
R01,supported,NO_BACKOFF_EXACT,1.6203309071060177,1.4014086211165828,0.21892228598943483,0.57965478249453428,0.39279219700784584,0.19106954538260826,0.15664482095988264,0.05138963264186288,0.02625401924547513,0.025135613396387729,20588701,19606751
R01,zero,CLARA,1.3780246727474308,0.9759875360456417,0.40203713670179053,0.39882669432470103,0.27343831235464933,0.25741140008085162,0.17955801104972377,0.063016664420787835,0.033311869148683643,0.029704795272104279,30853,29684
R01,zero,NO_BACKOFF_EXACT,1.3246364988770445,0.89807929477163628,0.42655720410540848,0.37247593426895276,0.25155397491813147,0.37686969411130578,0.15563940169788437,0.074668724854178539,0.050389250903164297,0.024279473951014166,30853,29684
R02,backoff_required,CLARA,2.0398329851960302,1.6226722486709324,0.41716073652509861,0.6195665331805198,0.45492291722664907,0.27306472677035326,0.16134396822484376,0.059884723573512731,0.035152284019240691,0.024732439554272043,2436957,2316275
R02,backoff_required,NO_BACKOFF_EXACT,2.0786666467933124,1.6843508188283327,0.39431582796498044,0.63627589653818262,0.47224835828209871,0.19278324033199856,0.19860854173187553,0.055717204398893778,0.024948490263770225,0.030768714135123582,2436957,2316275
R02,nonempty,CLARA,1.8701516261503675,1.4426807132693429,0.42747091288102457,0.58947411590383492,0.40438297146100366,0.1758163249086141,0.17334574954884868,0.051443471818129825,0.024086114566391835,0.027357357251737983,22993907,21892876
R02,nonempty,NO_BACKOFF_EXACT,1.8743072464854749,1.4493345343950561,0.42497271209041865,0.5912830298913534,0.40625202233901297,0.16707284141197346,0.17732297940206668,0.05098183061706385,0.022967450929612717,0.028014379687451123,22993907,21892876
R02,sparse_nonempty,CLARA,2.0431526271260942,1.6308458544429341,0.41230677268316113,0.62237168468195891,0.45721671448894297,0.27341619030250708,0.16098987532094722,0.059841359182002132,0.035192555517924183,0.024648803664077953,2406104,2286591
R02,sparse_nonempty,NO_BACKOFF_EXACT,2.0828657681676988,1.6944330244735253,0.38843274369417385,0.63965855175004904,0.47507827910427775,0.19038647488772587,0.19907757880617916,0.055461770694577986,0.024618279330401036,0.030843491364176981,2406104,2286591
R02,supported,CLARA,1.8499329364508545,1.4206897850076754,0.42924315144317904,0.58562936511486918,0.39820827276029735,0.16443370072402805,0.17478675842975863,0.050464064772621504,0.022790821351904474,0.02767324342071702,20587803,19606285
R02,supported,NO_BACKOFF_EXACT,1.8499329364508545,1.4206897850076754,0.42924315144317904,0.58562936511486918,0.39820827276029735,0.16435387938102503,0.17478584035680395,0.050459355774849571,0.022774922392779402,0.027684433382070158,20587803,19606285
R02,zero,CLARA,1.7809471806877175,0.9852449144591513,0.79570226622856732,0.40080381162285678,0.27603869954945542,0.24599110631990298,0.18862013205767417,0.063225130100551211,0.032050126410893179,0.03117500368965807,30853,29684
R02,zero,NO_BACKOFF_EXACT,1.751193702982456,0.89807929477163628,0.85311440821081697,0.37247593426895276,0.25155397491813147,0.37740870502627677,0.16247810268157931,0.075393542135895164,0.050384999775412297,0.025008542360482795,30853,29684
R05P6179775281,backoff_required,CLARA,2.7078984141068343,1.8004065396679005,0.90749187443893298,0.68349995979962164,0.50484855020204233,0.14477095732590828,0.41859878912604631,0.08799125148326585,0.017138885290321391,0.070852366192944438,2437788,2316839
R05P6179775281,backoff_required,NO_BACKOFF_EXACT,2.7362241512051706,1.8223734027401057,0.91385074846506442,0.68719142107517139,0.51101901735715594,0.10525591117898137,0.42516420001562472,0.082490989724731414,0.012619220062540472,0.069871769662190941,2437788,2316839
R05P6179775281,nonempty,CLARA,2.5595174831232828,1.6165851120902612,0.94293237103302163,0.66166202203044489,0.45323252169159844,0.08060622094602829,0.50801594089328417,0.094798471255694128,0.009431072442186661,0.085367398813507439,22993907,21892876
R05P6179775281,nonempty,NO_BACKOFF_EXACT,2.5621209075775839,1.6195174264208447,0.94260348115673975,0.66224456765872808,0.45405620549232406,0.075992299960955342,0.50951620061247316,0.094292442545280547,0.0088958979167469889,0.085396544628533563,22993907,21892876
R05P6179775281,sparse_nonempty,CLARA,2.7041973620410005,1.8062083974952405,0.89798896454575927,0.6856603938203566,0.50647613034237549,0.14561190649518727,0.41440916772147057,0.087424182528283503,0.017247783714660715,0.070176398813622767,2406935,2287155
R05P6179775281,sparse_nonempty,NO_BACKOFF_EXACT,2.7290683701005163,1.8342213529810352,0.89484701711948078,0.69122556280082348,0.51434493806310388,0.10176441911457684,0.4281476331949518,0.082530999783365658,0.012143905024031211,0.07038709475933444,2406935,2287155
R05P6179775281,supported,CLARA,2.5426021706449435,1.5944152212264551,0.9481869494184888,0.65885624170470525,0.4470075214736034,0.073022818186589511,0.51893587591091395,0.095658737569508379,0.0085191942067269506,0.087139543362781416,20586972,19605721
R05P6179775281,supported,NO_BACKOFF_EXACT,2.5426021706449435,1.5944152212264551,0.9481869494184888,0.65885624170470525,0.4470075214736034,0.072985788178868805,0.51900845676626739,0.095664503415683,0.0085169934278245644,0.087147509987858432,20586972,19605721
R05P6179775281,zero,CLARA,2.9966285782424791,1.3477862217199315,1.6488423565225467,0.51495802677211289,0.37787614540922665,0.079975744508826302,0.74140951354264928,0.13168396795451784,0.0087482514229245793,0.12293571653159328,30853,29684
R05P6179775281,zero,NO_BACKOFF_EXACT,3.29446808188067,0.89807929477163628,2.3963887871090366,0.37247593426895276,0.25155397491813147,0.3742757040830077,0.19529039213044064,0.079408210932938303,0.049242288614677956,0.03016592231826027,30853,29684
R10,backoff_required,CLARA,3.4069604909928235,1.8810616856725659,1.5258988053202582,0.7051123897325694,0.52750465533357804,0.10047127736837268,0.50191406534879313,0.096710042530881196,0.010686336235969242,0.08602370629491192,2438390,2317319
R10,backoff_required,NO_BACKOFF_EXACT,3.4370193034441483,1.8784865919573543,1.5585327114867935,0.70310409737572743,0.52678131440233866,0.082035317537205707,0.49334295364600211,0.091536582638323483,0.0090111109309631409,0.082525471707360326,2438390,2317319
R10,nonempty,CLARA,3.2789398190306227,1.6846614513184794,1.594278367712145,0.68274891257062142,0.47235508889053579,0.053851216258658754,0.60373159743836302,0.10797411483904411,0.0053343486516540181,0.10263976618739007,22993907,21892876
R10,nonempty,NO_BACKOFF_EXACT,3.2809173579988831,1.6850767708146934,1.595840587184191,0.68274913001953086,0.47247175167037109,0.05145253643239929,0.60352573138403565,0.10749155590721883,0.0051017225224967528,0.10238983338472209,22993907,21892876
R10,sparse_nonempty,CLARA,3.3960051361768921,1.8870840458983913,1.5089210902785011,0.70733907723951905,0.52919417700640714,0.10075033823140492,0.49794438361014759,0.096065848728989933,0.010715397384302175,0.085350451344687731,2407537,2287635
R10,sparse_nonempty,NO_BACKOFF_EXACT,3.4148922175073309,1.891050679794871,1.523841537712459,0.70734115405079967,0.53030840001103596,0.078248496810024326,0.49691537330037355,0.091647131727953191,0.0084917553135297665,0.083155376414423415,2407537,2287635
R10,supported,CLARA,3.2652492518035512,1.6609885120830952,1.6042607397204576,0.67987313936356919,0.46570786513592427,0.048378798301943853,0.61607536474558,0.10936362932359818,0.0047064616791086889,0.1046571676444895,20586370,19605241
R10,supported,NO_BACKOFF_EXACT,3.2652492518035512,1.6609885120830952,1.6042607397204576,0.67987313936356919,0.46570786513592427,0.048325853275662363,0.61596554717179963,0.10934036048489958,0.0047061569865303847,0.1046342034983692,20586370,19605241
R10,zero,CLARA,4.2618343142023427,1.4111218071841338,2.8507125070182187,0.53135837681911002,0.39566704020254057,0.078965099043255632,0.80784260881282843,0.14635565255613073,0.0084467020873839078,0.13790895046874682,30853,29684
R10,zero,NO_BACKOFF_EXACT,5.1636513358257154,0.89807929477163628,4.2655720410540869,0.37247593426895276,0.25155397491813147,0.3738714458967794,0.2180299151057809,0.083016977239622688,0.04903590839381182,0.033981068845810786,30853,29684
R20,backoff_required,CLARA,4.9260522839137328,1.957140133097417,2.968912150816315,0.72140073927313697,0.5488749821704243,0.049378896059760619,0.5771293065687918,0.10041247678251747,0.0042323432310680132,0.096180133551449443,2438341,2317245
R20,backoff_required,NO_BACKOFF_EXACT,4.9706717722512543,1.9327088641076315,3.0379629081436232,0.71538148273764823,0.54201226616205767,0.05337761004986525,0.54723518661168757,0.096218568869087029,0.0050668863857111128,0.091151682483375934,2438341,2317245
R20,nonempty,CLARA,4.8550259071781108,1.7338129972460494,3.121212909932062,0.69329814198169981,0.48616170291513355,0.030975966793947037,0.66333600939410609,0.11324834005145686,0.0026056423342373817,0.11064269771721948,22993907,21892876
R20,nonempty,NO_BACKOFF_EXACT,4.8566536136436076,1.7319331822077579,3.1247204314358501,0.69287911793328549,0.48563366498302923,0.030972723729856232,0.66084063144558991,0.11286211750212381,0.0026363992734875219,0.1102257182286363,22993907,21892876
