price_id,regime,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap
R01,ordinary,CLARA,1.502660886768602,1.30162651456376,0.20103437220484213,0.59810561659592532,0.36493011016712745,0.17498328940118257,0.18152699369223804,0.052541200683487159,0.023967699727461975,0.028573500956025167
R01,ordinary,NO_BACKOFF_EXACT,1.5060173138218698,1.3056582237533263,0.20035909006854336,0.59912683031995206,0.3660626127484663,0.16900353381106581,0.18406488011093464,0.052147008524327451,0.023163691039566597,0.028983317484760841
R01,overall,CLARA,1.6432419163456098,1.4247765760153857,0.21846534033022411,0.58341279202890917,0.39935473393955578,0.20264373524753812,0.1567305808275837,0.052623498297104269,0.027610907865656002,0.025012590431448253
R01,overall,NO_BACKOFF_EXACT,1.6476651505342073,1.4302572847206156,0.21740786581359159,0.58484288900274395,0.40089425885675528,0.19526467934775205,0.15920495846341018,0.052038656484527566,0.026616040532446508,0.025422615952081049
R01,ramp,CLARA,1.8328986617018739,1.5884863317511524,0.24441232995072132,0.56669654907552203,0.4452473673526236,0.22976542289717433,0.13564354709063933,0.053218208580642079,0.031162872615697099,0.022055335964944963
R01,ramp,NO_BACKOFF_EXACT,1.8382453712572824,1.5951310617418071,0.24311430951547544,0.56849386724756568,0.44711386454100971,0.22091102290531717,0.13797111913895743,0.052442348240549663,0.02998807823191597,0.022454270008633686
R02,ordinary,CLARA,1.7111385038732072,1.3143175950262684,0.39682090884693882,0.60211187825833379,0.36849502040940507,0.15099288585612461,0.19934121012334827,0.051919700273133661,0.020830337412961045,0.031089362860172595
R02,ordinary,NO_BACKOFF_EXACT,1.7160775757854987,1.3219106237427503,0.39416695204274838,0.60415320278487128,0.37062789364437193,0.14396429578492029,0.2035877131574631,0.051687930486249312,0.01992283937905915,0.031765091107190141
R02,overall,CLARA,1.8722003280282553,1.443753527379384,0.42844680064887153,0.5892193482388387,0.40468533825528569,0.17609789931203287,0.17354756402331736,0.051502859499982574,0.024117115287490234,0.027385744212492336
R02,overall,NO_BACKOFF_EXACT,1.8763185888376852,1.4502985521383418,0.42602003669934324,0.59099157573145833,0.40652382835611661,0.16752567623572179,0.17749144669996991,0.051057072080003686,0.023022308737107859,0.02803476334289582
R02,ramp,CLARA,2.0928740622282649,1.6166348267195572,0.47623923550870739,0.57517234208143475,0.45315424796172604,0.20055694888613212,0.15158316662294463,0.051640819037069685,0.027329849637753496,0.024310969399316172
R02,ramp,NO_BACKOFF_EXACT,2.09624666486217,1.6221793922480796,0.47406727261409037,0.57670451530392319,0.45471171018883905,0.19035398139200604,0.1551637970208673,0.050964679369391572,0.026039871936172698,0.024924807433218853
R05P6179775281,ordinary,CLARA,2.3605900809085645,1.4659706867930193,0.89461939411554492,0.6731680538308692,0.41109420348995318,0.069106681298817571,0.53090315934227683,0.098270329077436783,0.0079523360481193739,0.090317993029317381
R05P6179775281,ordinary,NO_BACKOFF_EXACT,2.3640342884070242,1.4706448300128818,0.89338945839414219,0.67409378088498917,0.41240716506856623,0.065554472094901894,0.53195430463830784,0.097777194654082591,0.0075543633123462701,0.090222831341736295
R05P6179775281,overall,CLARA,2.562995292567118,1.6181201379144328,0.94487515465268523,0.66145199935274002,0.45366472323704077,0.080720198661318035,0.50829855921934886,0.094866791761147026,0.0094441107291707467,0.085422681031976269
R05P6179775281,overall,NO_BACKOFF_EXACT,2.5659994566661211,1.620440300471494,0.94555915619462727,0.66184174443061128,0.45431645429239498,0.07651007078319258,0.50905474276811613,0.094288991258496962,0.0089643244554543818,0.08532466680304257
R05P6179775281,ramp,CLARA,2.8602239716516222,1.8110680970246273,1.0491558746269944,0.64329000635311684,0.5077703351260715,0.091370623926356587,0.48712248636581545,0.091730779761599213,0.010820905031688853,0.080909874729910361
R05P6179775281,ramp,NO_BACKOFF_EXACT,2.8627888861095698,1.8111219597157213,1.0516669263938481,0.64319786534410561,0.50778546509547984,0.086316281839281334,0.48741204795140997,0.091022653411014884,0.010240367194633762,0.080782286216381102
R10,ordinary,CLARA,3.0432282820355656,1.525910610388731,1.5173176716468342,0.69102930962279152,0.4279312606797599,0.046659787625935416,0.62215435502642447,0.11180655067411291,0.0045119376001941051,0.1072946130739188
R10,ordinary,NO_BACKOFF_EXACT,3.0465401338964693,1.5263682800679128,1.5201718538285562,0.69096551926849281,0.42805981957840644,0.045040931431043381,0.62149174342995328,0.11129022430856389,0.0043764584109848674,0.10691376589757901
R10,overall,CLARA,3.2839184373149699,1.6862504692588487,1.5976679680561232,0.68254235173906752,0.47280245676075267,0.053965172042383519,0.60394600402913723,0.10804591736669157,0.0053482242545868112,0.10269769311210475
R10,overall,NO_BACKOFF_EXACT,3.2871106684533054,1.6859707910239627,1.6011398774293439,0.68232949942383181,0.47272389545881838,0.051964372212876524,0.6029438851947615,0.10747637489658755,0.0051700512137233508,0.10230632368286421
R10,ramp,CLARA,3.663659574768479,1.8834297187006699,1.7802298560678085,0.66496623231886853,0.52809663334967882,0.060587415781319258,0.58593082805449404,0.10431364369441151,0.0060563539704040882,0.098257289724007407
R10,ramp,NO_BACKOFF_EXACT,3.6666663682584821,1.8821854820530379,1.7844808862054435,0.66452545856343936,0.52774712867337759,0.058251942749510448,0.58452601549214767,0.10370808926193685,0.0058597648911887677,0.097848324370748072
R20,ordinary,CLARA,4.5446033927019247,1.5726412958043736,2.9719620968975495,0.69961962322857885,0.44105785770662598,0.027138572438309003,0.679169701848648,0.11730005820281804,0.0022464145404949704,0.11505364366232305
R20,ordinary,NO_BACKOFF_EXACT,4.5491811296853557,1.5713750391773469,2.9778060905080079,0.69934390306363237,0.44070216764285447,0.027462679411935698,0.67624358994870193,0.11684819012991955,0.0023205716189311837,0.11452761851098837
R20,overall,CLARA,4.8634103452619133,1.7353857806726263,3.1280245645892877,0.69309622915057245,0.48660451052866732,0.031055715094418401,0.66350683070546157,0.11331285503729786,0.0026130543239920151,0.11069980071330586
R20,overall,NO_BACKOFF_EXACT,4.8681465374742841,1.7327914458318447,3.1353550916424404,0.69245731695388291,0.48587576478687478,0.031481847416927784,0.6602100791823361,0.11284525672909479,0.0027037674939731928,0.11014148923512158
R20,ramp,CLARA,5.4247787778425378,1.9334704930520279,3.4913082847905099,0.67628762357888783,0.54215303063938558,0.034846641888192496,0.64707148892931654,0.10932958427024651,0.0029317946569467393,0.10639778961329975
R20,ramp,NO_BACKOFF_EXACT,5.4296806878383954,1.9297114670083011,3.4999692208300943,0.67539875009936545,0.54109712444732749,0.035278877757810141,0.64350901841175212,0.10885387203121742,0.0030339046007764612,0.10581996743044095
