price_id,subset,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,conditions_with_cost,conditions_with_TUWR,event_count,below_floor_count,below_floor_pct,delta_ERRF_pct,delta_TUWR_pp,delta_below_floor_pp,delta_capacity_contribution_pct,delta_exceedance_contribution_pct,ERRF_change_pct_CI_low,ERRF_change_pct_CI_high,TUWR_change_pp_CI_low,TUWR_change_pp_CI_high,zones_with_higher_ERRF
R01,all,CLARA,1.6432419163456096,1.4247765760153854,0.21846534033022413,0.58341279202890928,0.39935473393955584,0.20264373524753809,0.15673058082758368,0.052623498297104263,0.027610907865655999,0.025012590431448257,2200,2200,23024760,346,15.727272727272728,0,0,0,0,0,0,0,0,0,0
R01,all,NO_BACKOFF_EXACT,1.6476651505342073,1.4302572847206154,0.21740786581359156,0.58484288900274384,0.40089425885675523,0.19526467934775202,0.15920495846341021,0.052038656484527566,0.026616040532446504,0.025422615952081052,2200,2200,23024760,300,13.636363636363635,0.26917729791329226,-0.73790558997860745,-2.0909090909090935,0.33353023986988378,-0.064352941956609802,0.071193584161630685,0.52426890670445814,-1.3920465278264305,-0.20251508198627624,10
R02,all,CLARA,1.8722003280282558,1.443753527379384,0.42844680064887147,0.5892193482388387,0.40468533825528563,0.17609789931203287,0.17354756402331734,0.051502859499982581,0.024117115287490234,0.027385744212492336,2200,2200,23024760,174,7.9090909090909083,0,0,0,0,0,0,0,0,0,0
R02,all,NO_BACKOFF_EXACT,1.876318588837685,1.450298552138342,0.42602003669934324,0.59099157573145844,0.40652382835611656,0.16752567623572184,0.17749144669996991,0.051057072080003686,0.023022308737107859,0.028034763342895824,2200,2200,23024760,130,5.9090909090909083,0.21996902509713312,-0.85722230763110308,-2,0.34958998035488215,-0.12962095525771145,0.057675421971356,0.43051871305938727,-1.631632929813325,-0.22162008459733221,10
R05P6179775281,all,CLARA,2.5629952925671176,1.6181201379144325,0.94487515465268523,0.66145199935274013,0.45366472323704077,0.080720198661318021,0.50829855921934886,0.094866791761147012,0.0094441107291707467,0.085422681031976269,2200,2200,23024760,19,0.86363636363636365,0,0,0,0,0,0,0,0,0,0
R05P6179775281,all,NO_BACKOFF_EXACT,2.5659994566661211,1.620440300471494,0.94555915619462727,0.66184174443061117,0.45431645429239503,0.076510070783192566,0.50905474276811602,0.094288991258496962,0.0089643244554543818,0.085324666803042584,2200,2200,23024760,6,0.27272727272727271,0.1172130166495311,-0.42101278781254553,-0.59090909090909094,0.090525431856629465,0.026687584792905911,0.032705269844524043,0.23101632345216999,-0.79209851968231315,-0.12967139178157103,9
R10,all,CLARA,3.2839184373149708,1.6862504692588487,1.5976679680561232,0.68254235173906752,0.47280245676075267,0.053965172042383512,0.60394600402913712,0.10804591736669159,0.0053482242545868103,0.10269769311210478,2200,2200,23024760,2,0.090909090909090912,0,0,0,0,0,0,0,0,0,0
R10,all,NO_BACKOFF_EXACT,3.2871106684533054,1.6859707910239627,1.6011398774293439,0.68232949942383181,0.47272389545881832,0.051964372212876517,0.60294388519476139,0.10747637489658757,0.0051700512137233508,0.10230632368286421,2200,2200,23024760,0,0,0.09720799097996391,-0.20007998295069954,-0.090909090909090912,-0.0085166011344247235,0.10572459211439683,0.022405997071541228,0.1961112818268301,-0.3835254328008621,-0.067763448571703216,10
R20,all,CLARA,4.8634103452619133,1.7353857806726261,3.1280245645892877,0.69309622915057234,0.48660451052866732,0.031055715094418401,0.66350683070546157,0.11331285503729789,0.0026130543239920147,0.11069980071330587,2200,2200,23024760,0,0,0,0,0,0,0,0,0,0,0,0
R20,all,NO_BACKOFF_EXACT,4.8681465374742841,1.732791445831845,3.1353550916424404,0.69245731695388291,0.48587576478687466,0.031481847416927791,0.6602100791823361,0.11284525672909478,0.0027037674939731928,0.1101414892351216,2200,2200,23024760,0,0,0.09738417851137271,0.042613232250938993,0,-0.05334394296604171,0.15072812147743947,0.01639414468274647,0.21810997140648544,-0.040904389353542403,0.16702513071147143,10
ALL,all,CLARA,2.845153263903573,1.5816572982481354,1.2634959656554383,0.64194454410202562,0.44342235254426043,0.10889654407153819,0.42120590776096972,0.084070384392444658,0.013826682492179162,0.070243701900265493,11000,11000,115123800,541,4.9181818181818171,0,0,0,0,0,0,0,0,0,0
ALL,all,NO_BACKOFF_EXACT,2.8490480803931204,1.5839516748372517,1.2650964055558693,0.6424926051085057,0.44406684035019206,0.10454932919929413,0.42178102246171872,0.08354127028974212,0.013295298486541058,0.070245971803201052,11000,11000,115123800,436,3.963636363636363,0.13689302924242419,-0.43472148722440568,-0.95454545454545414,0.080641581535345855,0.056251447707080647,0.033292105465021482,0.27579168450210079,-0.81725256105293254,-0.13351739845959631,10
R01,backoff_required,CLARA,1.4394468959261475,1.2173304209679834,0.22211647495816406,0.57190797153947304,0.34115950400430661,0.15880858713941007,0.18609492479782275,0.045724288761746966,0.019593685402036071,0.026130603359710913,1053,926,2436059,456,42.726736653747629,0,0,0,0,0,0,0,0,0,0
R01,backoff_required,NO_BACKOFF_EXACT,1.4728768917341537,1.261403102635861,0.21147378909829265,0.5899916776921974,0.35353947076494641,0.1400170873120439,0.19294527322340738,0.044364017490723676,0.016935179275445078,0.027428838215278618,1053,926,2436059,374,35.776447760828376,2.3224195281269511,-1.8791499827366165,-6.9502888929192537,3.0617789230439794,-0.73935939491702118,1.6683602650096463,2.9802033919462452,-2.9792199768384502,-0.85330653110203403,10
R02,backoff_required,CLARA,1.6738549675222731,1.2405909368063504,0.43326403071592301,0.57950539249597743,0.34767764518298921,0.14512503488429965,0.20040368894183155,0.045816253588522309,0.017702288187935081,0.028113965400587228,1060,932,2436957,425,40.107370942738832,0,0,0,0,0,0,0,0,0,0
R02,backoff_required,NO_BACKOFF_EXACT,1.6995548654281076,1.2868963720393782,0.41265849338872929,0.59988309446003263,0.36068478991136788,0.12421081195479178,0.21071028345293694,0.044827741967539067,0.014760364353237973,0.030067377614301106,1060,932,2436957,338,32.446202947481403,1.5353718454996557,-2.0914222929507869,-7.6611679952574292,2.7663947075158837,-1.231022862016242,0.94571327104700176,2.0893506633391623,-3.3687921390331903,-0.87480109875090672,9
R05P6179775281,backoff_required,CLARA,2.3857235889105093,1.3908190546235262,0.99490453428698267,0.6491990984727628,0.38986332877091734,0.083222058878352129,0.54149196386307341,0.089789901749106865,0.0077943412771188502,0.081995560471987999,1069,943,2437788,244,23.272772511579948,0,0,0,0,0,0,0,0,0,0
R05P6179775281,backoff_required,NO_BACKOFF_EXACT,2.3950398538029978,1.3927171069402717,1.0023227468627258,0.65141284558831813,0.3903964895340481,0.074127869051846873,0.54394278262729667,0.088511296403365511,0.0066239968306928384,0.08188729957267267,1069,943,2437788,219,21.193796803976319,0.39050059846803542,-0.90941898265052556,-2.0789757076036288,0.079558768902156976,0.31094182956588184,-0.28179923150563474,1.0354452193352275,-1.5035857436064679,-0.35686499900050761,7
R10,backoff_required,CLARA,3.1228936701670356,1.4674073021179113,1.6554863680491247,0.67421830795439086,0.41137701546993666,0.06652095648108905,0.65849205514421061,0.10701826994523995,0.0055588724863799973,0.10145939745885997,1070,947,2438390,182,17.572267216899188,0,0,0,0,0,0,0,0,0,0
R10,backoff_required,NO_BACKOFF_EXACT,3.1532387532154322,1.4316171091757786,1.7216216440396537,0.66411850847047638,0.40132359048619148,0.060794825703123501,0.65612237128975959,0.10502572874693113,0.0048928062047784568,0.10013292254215267,1070,947,2438390,205,19.805488137737488,0.97169760655904103,-0.5726130777965549,2.2332209208382992,-1.1460586469541365,2.1177562535131567,0.12663254948516278,1.8217156805312231,-0.91650904395186072,-0.25242825319851309,7
R20,backoff_required,CLARA,4.7628750710903551,1.5166654551338008,3.2462096159565541,0.68628553271623904,0.42521088238932297,0.050577743252973727,0.71819984153601579,0.1125526549280319,0.0033644713603322939,0.10918818356769962,1069,948,2438341,163,16.064445892976227,0,0,0,0,0,0,0,0,0,0
R20,backoff_required,NO_BACKOFF_EXACT,4.8346476971876324,1.4589654919903978,3.3756822051972351,0.67204347850024315,0.40900302757376028,0.050277724208171871,0.70624654337531767,0.11064941437000882,0.0034189204844692449,0.10723049388553955,1069,948,2438341,194,18.740716909293866,1.5069180909850433,-0.030001904480185526,2.6762710163176386,-1.2114523745044155,2.7183704654894729,0.040625360584422565,3.0104321832017176,-0.35207870859507262,0.32445137100305599,7
ALL,backoff_required,CLARA,2.6769588387232641,1.3665626339299144,1.3103962047933495,0.63222326063576861,0.38305767516349454,0.10085087612722492,0.46093649485659077,0.080180273794529605,0.010802731742760457,0.069377542051769131,5321,4696,12187535,1470,27.948718643588364,0,0,0,0,0,0,0,0,0,0
ALL,backoff_required,NO_BACKOFF_EXACT,2.7110716122736651,1.3663198365563374,1.3447517757173275,0.63548992094225354,0.38298947365406283,0.089885663645995581,0.46199345079374365,0.078675639795713639,0.0093262534297247172,0.069349386365988919,5321,4696,12187535,1330,25.592530511863494,1.2743107236818929,-1.0965212481229336,-2.3561881317248705,-0.0090698956616313935,1.2833806193435304,0.39388432730266154,2.1348341477051056,-1.7385851132395314,-0.50337841367845171,9
R01,nonempty,CLARA,1.643269806966299,1.4248044229617671,0.21846538400453239,0.58339632781167716,0.39936262895303332,0.20270085082441999,0.15670863698569615,0.052627005463838396,0.027619013513262985,0.025007991950575393,2200,2200,22993907,347,15.772727272727275,0,0,0,0,0,0,0,0,0,0
R01,nonempty,NO_BACKOFF_EXACT,1.647782933961506,1.4304146335707675,0.21736830039073843,0.58486771044948482,0.40093853080949404,0.19510651684670727,0.15921820374069123,0.052022312970902526,0.0265962243191466,0.02542608865175592,2200,2200,22993907,298,13.545454545454543,0.27464309123641506,-0.7594333977712725,-2.227272727272732,0.34140532402025758,-0.066762232783874081,0.071537783645812536,0.53640698274983822,-1.4396704050381184,-0.20285271512615793,10
R02,nonempty,CLARA,1.8722311385240016,1.4437796793573316,0.42845145916666966,0.58920303469081947,0.40469275715403458,0.1761596487059057,0.17351898139470504,0.051505594131040722,0.024125295955215193,0.027380298175825518,2200,2200,22993907,175,7.9545454545454533,0,0,0,0,0,0,0,0,0,0
R02,nonempty,NO_BACKOFF_EXACT,1.8764025807504527,1.4504718691627938,0.42593071158765861,0.59102138912523039,0.40657258575107458,0.16734960350094746,0.17751007156157853,0.051039314213718864,0.022999824080271181,0.028039490133447687,2200,2200,22993907,129,5.8636363636363633,0.22280594209855842,-0.88100452049582334,-2.0909090909090899,0.357444637457426,-0.13463869535886025,0.057710175920479001,0.437125553852377,-1.6839092495555417,-0.22126060174265549,10
R05P6179775281,nonempty,CLARA,2.5630308058193165,1.6181632530616734,0.94486755275764334,0.66145266762694521,0.45367690707098429,0.080684858988611274,0.50828278781942504,0.094865622466018568,0.0094425010778752105,0.085423121388143314,2200,2200,22993907,19,0.86363636363636365,0,0,0,0,0,0,0,0,0,0
R05P6179775281,nonempty,NO_BACKOFF_EXACT,2.5656467649151984,1.6210651381728898,0.94458162674230939,0.66202561173163543,0.45449204333817994,0.076072564141754589,0.50973598058797864,0.094351232920400568,0.0089082719311329439,0.085442960989267611,2200,2200,22993907,5,0.22727272727272727,0.10206506648076097,-0.46122948468566849,-0.63636363636363635,0.11322084403463599,-0.011155777553853751,0.032091975612642543,0.19313512297892463,-0.87278094366674597,-0.13069352479238527,9
R10,nonempty,CLARA,3.2839590320895207,1.6862925355668434,1.5976664965226788,0.68254397125069322,0.47281434597693056,0.053918875007160784,0.60392380833802628,0.10804499385592063,0.0053451437311687559,0.10269985012475187,2200,2200,22993907,2,0.090909090909090912,0,0,0,0,0,0,0,0,0,0
R10,nonempty,NO_BACKOFF_EXACT,3.2859493101306056,1.6866977928627302,1.5992515172678763,0.68254610870340959,0.47292818229599992,0.051506325839513326,0.60372549870999836,0.10755667991361754,0.0051088193766480753,0.10244786053696948,2200,2200,22993907,0,0,0.060606055728373853,-0.24125491676474584,-0.090909090909090912,0.012340510095491348,0.048265545632857329,0.020457457576397164,0.10816170268155451,-0.44855079866864794,-0.087274499827781168,10
R20,nonempty,CLARA,4.8634331666765274,1.7354274276170947,3.1280057390594345,0.69310012323469095,0.48661628194610185,0.030998310669880159,0.66348324637415002,0.11331147711703263,0.0026087896042863916,0.11070268751274623,2200,2200,22993907,0,0,0,0,0,0,0,0,0,0,0,0
R20,nonempty,NO_BACKOFF_EXACT,4.8650662894427112,1.7335482559731534,3.1315180334695585,0.69268045498760533,0.4860884247427476,0.031000128592813918,0.66098603124479494,0.11292442571481028,0.0026397103672147803,0.1102847153475955,2200,2200,22993907,0,0,0.033579628016155993,0.00018179229337583758,0,-0.038638788270332007,0.072218416286455867,0.011220567146967286,0.059443462016913744,-0.053311402786308866,0.062883446099271725,9
ALL,nonempty,CLARA,2.8451847900151335,1.5816934637129421,1.2634913263021919,0.64193922492296518,0.44343258422021686,0.10889250883919559,0.42118349218240059,0.084070938606770187,0.013828148776361709,0.070242789830408464,11000,11000,114969535,543,4.9363636363636356,0,0,0,0,0,0,0,0,0,0
ALL,nonempty,NO_BACKOFF_EXACT,2.8481695758400947,1.584439537948467,1.2637300378916283,0.64262825499947318,0.44420395338749918,0.10420702778434732,0.42223515716900833,0.083578793146689964,0.013250570014882718,0.070328223131807227,11000,11000,114969535,432,3.9272727272727272,0.10490657181341234,-0.468548105484827,-1.0090909090909084,0.096516551232876835,0.0083900205805323789,0.031247217714826525,0.19635018335813545,-0.88515937460161753,-0.13473861739895762,10
R01,sparse_nonempty,CLARA,1.4333752943293905,1.2128901549816204,0.22048513934777034,0.57239087575896774,0.33991805618667703,0.16173563165521468,0.18395054967347493,0.045368904363908578,0.019666835882094696,0.025702068481813889,1023,895,2405206,445,42.856282666820057,0,0,0,0,0,0,0,0,0,0
R01,sparse_nonempty,NO_BACKOFF_EXACT,1.4703460770245156,1.2615758531847778,0.20877022383973798,0.59281328824414159,0.35359381410891227,0.14188102261581664,0.19143308407997661,0.043985704944342251,0.016829022472865052,0.027156682471477199,1023,895,2405206,355,35.130918426240008,2.5792814234615324,-1.9854609039398037,-7.7253642405800491,3.3965771836422749,-0.81729576018074335,1.9229159931335056,3.2231302274690368,-3.1452431441435516,-0.91263773297543604,10
R02,sparse_nonempty,CLARA,1.6666653962197984,1.2366694839295853,0.4299959122902135,0.5802249297803681,0.34658094812613904,0.14730491438165871,0.19854264731587684,0.045376016553227191,0.017676535498464634,0.027699481054762554,1030,901,2406104,415,40.215070563489682,0,0,0,0,0,0,0,0,0,0
R02,sparse_nonempty,NO_BACKOFF_EXACT,1.6949727578184881,1.288112115878524,0.40686064193996413,0.60316240832766976,0.36103112563988593,0.12538570733875781,0.20976296531295949,0.044367003490108414,0.014536376178215691,0.029830627311892739,1030,901,2406104,318,31.621123764523741,1.6984429905903209,-2.1919207042900899,-8.5939467989659413,3.0865602697228205,-1.3881172791325125,1.0538590554443972,2.2741210222959647,-3.5449123662677673,-0.912881133294144,9
R05P6179775281,sparse_nonempty,CLARA,2.374162286186011,1.3858505672281853,0.98831171895782499,0.65079049045754311,0.38847330395535579,0.085539898182659807,0.54050801721656239,0.089990858628220427,0.0078896606670389828,0.082101197961181455,1039,912,2406935,239,23.534994408724646,0,0,0,0,0,0,0,0,0,0
R05P6179775281,sparse_nonempty,NO_BACKOFF_EXACT,2.3772028361815005,1.39846252025485,0.97874031592665034,0.65681365154254023,0.39201598738981208,0.075319813816813366,0.54742187628422001,0.08905367002480899,0.0065447799003170879,0.08250889012449189,1039,912,2406935,201,20.126661541969714,0.12806833017189323,-1.022008436584644,-3.4083328667549324,0.53121697282645242,-0.4031486426545296,-0.50286225485674485,0.74116763295577648,-1.6906401328489571,-0.40062349844981293,7
R10,sparse_nonempty,CLARA,3.1082109370383626,1.4593173619152371,1.648893575123126,0.67440718226117657,0.40911008343600086,0.06843489079241491,0.65270249266181724,0.10653319609595251,0.0057239354238743812,0.10080926067207811,1040,916,2407537,178,17.693371549587127,0,0,0,0,0,0,0,0,0,0
R10,sparse_nonempty,NO_BACKOFF_EXACT,3.1159576501508668,1.4389521406510601,1.6770055094998064,0.67003723958875561,0.40338951566516468,0.061617985889124038,0.65506036848847171,0.10505633054945933,0.0049022945753059953,0.10015403597415336,1040,916,2407537,187,18.645001768690467,0.24923382837991337,-0.68169049032908713,0.95163021910333967,-0.65520718113107879,0.90444100951098039,-0.26197826822576903,0.78591874139625428,-1.0501764107266911,-0.3270036077301276,6
R20,sparse_nonempty,CLARA,4.731802784778548,1.5080289038023644,3.2237738809761836,0.68692714686343159,0.42278975668454388,0.052044833215993569,0.71205107120642319,0.11174098410374482,0.0034593935468244102,0.10828159055692041,1039,917,2407488,159,16.124771889917447,0,0,0,0,0,0,0,0,0,0
R20,sparse_nonempty,NO_BACKOFF_EXACT,4.7454756586072273,1.4679199342592413,3.2775557243479851,0.67851487525118881,0.41152319220613859,0.050752185793227059,0.70432369287995189,0.11037403931331531,0.0033770154520295784,0.10699702386128573,1039,917,2407488,177,17.613024215764842,0.28895696736690457,-0.12926474227665102,1.4882523258473945,-0.84764668705439894,1.1366036544212952,-0.5588677802955061,1.1980457549410461,-0.40287623575122367,0.12168667727889758,6
