price_id,events,changed,zero,backoff,changed_supported,changed_condition_mean,delta_ERRF_condition_mean,changed_event_pct
R01,23024760,926055,30853,2436059,0,0.040343212714979315,0.0044232341885974752,4.0219963204828195
R02,23024760,1100180,30853,2436957,0,0.047914118590630557,0.004118260809429679,4.7782474171283438
R05P6179775281,23024760,1163765,30853,2437788,0,0.050650262140381076,0.0030041640990031617,5.0544066474525682
R10,23024760,1128954,30853,2438390,0,0.049165357997629965,0.0031922311383348924,4.9032172322317367
R20,23024760,1042327,30853,2438341,0,0.045384869739750019,0.0047361922123711183,4.5269831259913245
