parameter,value,price_id,ERRF,TUWR_pct,ERRF_change_pct
NMIN,10,ALL,2.8536767729264576,10.206865297760144,0.01966232073240537
NMIN,10,R01,1.6528404773094583,18.48843869900586,0.03954221196800223
NMIN,10,R02,1.878248244837102,15.89286450824102,0.024462338170061493
NMIN,10,R10,3.2897535879719184,5.494373365016814,0.011909658841902093
NMIN,10,R20,4.881792328900077,3.7146616064402895,0.022505101824021878
NMIN,10,Rref,2.565749225613732,7.4439883100967315,0.007878419033247042
NMIN,20,ALL,2.853650614360343,10.215181439179794,0.01874547865190479
NMIN,20,R01,1.652812515763004,18.50241084767982,0.03784981615291283
NMIN,20,R02,1.8782260368138928,15.907195174720904,0.023279669378961643
NMIN,20,R10,3.2897433045565982,5.500274755299282,0.011597032386312378
NMIN,20,R20,4.881719294988544,3.7192131650675044,0.021008718058235232
NMIN,20,Rref,2.5657519196796748,7.446813253131468,0.00798342844592348
NMIN,30,ALL,2.853517550222352,10.21980842578698,0.014081660284270825
NMIN,30,R01,1.652625245912025,18.531169456901946,0.026515152935724373
NMIN,30,R02,1.8781291846189148,15.923654977677012,0.018121890711753075
NMIN,30,R10,3.2896328406865782,5.493332830735172,0.00823881655234171
NMIN,30,R20,4.8814822052684,3.71279775877432,0.016151012907128504
NMIN,30,Rref,2.565718274625843,7.438087104846453,0.006672010159447517
NMIN,50,ALL,2.853077367738476,10.230522530546462,-0.0013464722269151963
NMIN,50,R01,1.652134852405051,18.553357372814602,-0.0031663212385235617
NMIN,50,R02,1.8777816411047692,15.936812334289888,-0.00038623420575145673
NMIN,50,R10,3.289321450751795,5.505952526654693,-0.0012277593456455627
NMIN,50,R20,4.880624808913852,3.7158615481279065,-0.0014160865246304333
NMIN,50,Rref,2.5655240855169112,7.44062887084522,-0.0008971008832348026
NU,0,ALL,2.854067560689578,10.198747356262153,0.03335919785498742
NU,0,R01,1.6524284385373917,18.50413230452649,0.01460322318052043
NU,0,R02,1.878149614941189,15.870532375351958,0.019209889599269836
NU,0,R10,3.2904370039726096,5.486866797865261,0.03268621170302577
NU,0,R20,4.883189716571661,3.73178003836787,0.0511360238488745
NU,0,Rref,2.566133029425038,7.4004252651991855,0.02283833971243876
NU,10,ALL,2.85363156343517,10.212034811534954,0.018077755130874174
NU,10,R01,1.6524056518271213,18.514462285338215,0.013224038622028367
NU,10,R02,1.8780225875191046,15.90311457970796,0.012445155687701437
NU,10,R10,3.289924336822086,5.496977374642257,0.017100600388331166
NU,10,R20,4.881886628977731,3.7248224159812016,0.0244372057241371
NU,10,Rref,2.5659186120298068,7.420797402005136,0.014480769697744478
NU,30,ALL,2.852883684560104,10.230523742422966,-0.00813495166570588
NU,30,R01,1.6524005978456628,18.53596700749578,0.01291814219803733
NU,30,R02,1.877818191706726,15.953401469480616,0.001560236032638329
NU,30,R10,3.288855284039845,5.491823879252371,-0.015399709260677241
NU,30,R20,4.87980007892411,3.7305888274949552,-0.01831388840740633
NU,30,Rref,2.565544270284176,7.440837528391106,-0.00011033819794503685
NU,60,ALL,2.8521419622127935,10.239133360356789,-0.03413187585052935
NU,60,R01,1.6523797234284843,18.56058163646636,0.011654700766650095
NU,60,R02,1.877693893165565,15.974999148809745,-0.005059173719634824
NU,60,R10,3.2881444373099655,5.498924743715553,-0.03701018464397077
NU,60,R20,4.87742687464164,3.7135324455735037,-0.06693820944742024
NU,60,Rref,2.565064882518312,7.4476288272187885,-0.01879593417336567
NU,100,ALL,2.851269844149729,10.242861914862807,-0.06469909180121247
NU,100,R01,1.6522938652857526,18.56761131183483,0.006458065391390377
NU,100,R02,1.8776318330679687,15.990445181111818,-0.00836412976673584
NU,100,R10,3.2872199210089383,5.492824581137001,-0.06511643585820348
NU,100,R20,4.874697854462207,3.6976198351389904,-0.1228528031929077
NU,100,Rref,2.5645057469237775,7.465808665091396,-0.040589944281510526
