tau,price_id,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap,ramp_fraction,backoff_fraction,coverage_deficiency,ERRF,TUWR_pct,flagged_fraction
0.08,ALL,2.911742656988402,1.6100528993058347,1.3016897576825674,0.6373706290136985,0.45122893394962504,0.6752812778453839,0.10730666017177024,0.43932629363469555,0.08499701427687312,0.013470800315656048,0.07152621396121701,0.6222728630829982,0.46598425787746606,0.007481138850204992,2.911742656988402,10.730666017177024,0.6222728630829982
0.1,ALL,2.9116700540236478,1.6105401935831263,1.3011298604405215,0.6372651563848961,0.4513658143645946,0.6748510840368657,0.10679576137013036,0.43862311008812593,0.08479482878021014,0.013427274451908524,0.07136755432830158,0.5572385920960096,0.46481410284194713,0.007614194956425825,2.9116700540236478,10.679576137013036,0.5572385920960096
0.12,ALL,2.9117185529123764,1.6106054961964502,1.301113056715926,0.6371082120772943,0.45138415779530366,0.6745850667856793,0.10662259606385056,0.4381670059157191,0.08473227415660248,0.013473682988571729,0.0712585911680307,0.4998981036749249,0.46376100261897396,0.007775598845628962,2.9117185529123764,10.662259606385057,0.4998981036749249
0.14,ALL,2.911082777308266,1.6098527649662002,1.301230012342066,0.6366942202537141,0.4511727164384919,0.6744321543341986,0.10791154370078786,0.4368225021843637,0.08468343482335956,0.013673010248079136,0.07101042457528037,0.4483467811388525,0.46367943787447385,0.008020986876498314,2.911082777308266,10.791154370078786,0.4483467811388525
0.16,ALL,2.910258129009451,1.6086996158082556,1.3015585132011955,0.636160435552711,0.4508487981356983,0.6743528521023414,0.10951003371169148,0.4351146390298816,0.0846814419579858,0.013936652293197732,0.070744789664788,0.4035280762239644,0.463433125596285,0.008329064325277528,2.910258129009451,10.951003371169147,0.4035280762239644
0.18,ALL,2.9095913622406733,1.6078534344603217,1.3017379277803516,0.6358136963211206,0.4506111067458292,0.674220952940564,0.11128352853252521,0.43464091667729693,0.08481483394222049,0.014179014477450163,0.07063581946477027,0.3626423998519896,0.46324176291323393,0.00859516440627683,2.9095913622406733,11.12835285325252,0.3626423998519896
