case_id,issue_timestamp,seed,zone,predictor,horizon,target_coverage,selected_action,state_code,ramp_state,raw_width_state,raw_width,ramp_proxy,rolling_state,support_n,support_backoff_name
ordinary,2013-11-12 14:00:00+00:00,0,zone1,GBR,6,0.9,Static,2559,ordinary,narrow,0.4829018970659058,0.027306997575403308,volatile,277,exact
ramp,2013-09-06 06:00:00+00:00,0,zone1,GBR,6,0.9,EnbPI_RH,2577,ramp,narrow,0.5894942446880422,0.23953862205852752,stable,595,drop_rolling
