zone_or_farm,price_id,method,rank,excess
zone1,R01,ACI,8.0136363636363637,21.298616504769239
zone1,R01,AgACI,8.9045454545454543,29.071621930489808
zone1,R01,CART,4.790909090909091,10.626696818943351
zone1,R01,CLARA,2.7409090909090907,3.8719072982931007
zone1,R01,EEE,5.581818181818182,13.309120934853595
zone1,R01,EnbPI-RH,3.7136363636363638,6.0585460337115737
zone1,R01,LinUCB,3.2590909090909093,3.9430742041250748
zone1,R01,Static,1.1136363636363635,0.022553324272600098
zone1,R01,TSC,6.8818181818181818,16.93985679101128
zone1,R02,ACI,8.0090909090909097,12.020061811129786
zone1,R02,AgACI,8.9090909090909083,16.867061470274308
zone1,R02,CART,4.7818181818181822,5.8344204508806783
zone1,R02,CLARA,2.6409090909090911,2.6284090817254562
zone1,R02,EEE,5.3454545454545457,6.8592315535184722
zone1,R02,EnbPI-RH,3.2000000000000002,3.3772263740158128
zone1,R02,LinUCB,4.1318181818181818,4.6341440463663615
zone1,R02,Static,1.1227272727272728,0.0148021232207892
zone1,R02,TSC,6.8590909090909093,9.3103187550544408
zone1,R05P6179775281,ACI,5.9363636363636365,3.924407565539402
zone1,R05P6179775281,AgACI,6.4363636363636365,5.0646676853344514
zone1,R05P6179775281,CART,3.1772727272727272,0.97573425305917005
zone1,R05P6179775281,CLARA,2.8659090909090907,1.027575959650268
zone1,R05P6179775281,EEE,4.418181818181818,2.6246870558188924
zone1,R05P6179775281,EnbPI-RH,5.3704545454545451,4.4638662030790695
zone1,R05P6179775281,LinUCB,5.7681818181818185,3.3598580086248604
zone1,R05P6179775281,Static,5.6204545454545451,5.4515479084458782
zone1,R05P6179775281,TSC,5.4068181818181822,3.3526999095689121
zone1,R10,ACI,5.0727272727272723,3.2778466962548412
zone1,R10,AgACI,4.8159090909090905,2.6379487088710589
zone1,R10,CART,4.4863636363636363,2.7674955348103181
zone1,R10,CLARA,2.5249999999999999,0.68011726743155898
zone1,R10,EEE,4.8068181818181817,3.9833149494065609
zone1,R10,EnbPI-RH,6.1772727272727277,8.7636218548199825
zone1,R10,LinUCB,5.1045454545454554,3.1363033047328228
zone1,R10,Static,6.8409090909090908,12.492015052349821
zone1,R10,TSC,5.1704545454545459,3.7619554521810632
zone1,R20,ACI,4.6363636363636367,3.8193920304575562
zone1,R20,AgACI,3.4818181818181819,1.3088984699916004
zone1,R20,CART,5.4909090909090912,6.9515180516067154
zone1,R20,CLARA,2.3227272727272728,0.53091129628649314
zone1,R20,EEE,5.0590909090909095,6.7762107686902189
zone1,R20,EnbPI-RH,6.668181818181818,14.95323931226566
zone1,R20,LinUCB,4.5545454545454547,3.9198279638629709
zone1,R20,Static,7.7772727272727273,22.237283772647924
zone1,R20,TSC,5.0090909090909088,5.4313100959367171
zone10,R01,ACI,8.0227272727272734,15.011540756025544
zone10,R01,AgACI,8.8499999999999996,20.856419888662515
zone10,R01,CART,4.7999999999999998,6.8530337682063234
zone10,R01,CLARA,2.8068181818181817,2.7687974160334803
zone10,R01,EEE,5.6590909090909092,9.2610019579631633
zone10,R01,EnbPI-RH,3.5363636363636362,3.2023447001542982
zone10,R01,LinUCB,3.1272727272727274,2.3303970452503671
zone10,R01,Static,1.2113636363636364,0.052342783331146898
zone10,R01,TSC,6.9863636363636363,11.829405251957365
zone10,R02,ACI,8.0181818181818176,8.4485465646539097
zone10,R02,AgACI,8.8590909090909093,11.978199117959029
zone10,R02,CART,4.8818181818181818,4.0959982576786089
zone10,R02,CLARA,2.872727272727273,1.9879959518135852
zone10,R02,EEE,5.2954545454545459,4.7921469863178672
zone10,R02,EnbPI-RH,3.0045454545454544,1.9523127385385064
zone10,R02,LinUCB,3.9727272727272727,2.725775813484522
zone10,R02,Static,1.1977272727272728,0.030163676500216799
zone10,R02,TSC,6.8977272727272725,6.5941623205318844
zone10,R05P6179775281,ACI,5.9727272727272727,2.7528506074344183
zone10,R05P6179775281,AgACI,6.2227272727272727,3.120549079211079
zone10,R05P6179775281,CART,3.2454545454545456,0.74791000234504756
zone10,R05P6179775281,CLARA,2.5568181818181817,0.61716403462470182
zone10,R05P6179775281,EEE,4.5954545454545457,2.2047027018282122
zone10,R05P6179775281,EnbPI-RH,5.6136363636363633,4.2632957848181032
zone10,R05P6179775281,LinUCB,5.2999999999999998,2.0323858669311989
zone10,R05P6179775281,Static,5.7386363636363633,4.5472173697510598
zone10,R05P6179775281,TSC,5.7545454545454549,2.7497815986159195
zone10,R10,ACI,4.9954545454545451,2.6426610590896225
zone10,R10,AgACI,4.3499999999999996,1.405623318139446
zone10,R10,CART,4.7681818181818185,2.2718297181229921
zone10,R10,CLARA,2.1749999999999998,0.36422301909034449
zone10,R10,EEE,4.7772727272727273,3.8225058040240447
zone10,R10,EnbPI-RH,6.6409090909090907,8.7187659597364835
zone10,R10,LinUCB,4.9363636363636365,2.4672321949845268
zone10,R10,Static,7.038636363636364,10.493882088574097
zone10,R10,TSC,5.3181818181818183,3.6023035968907489
zone10,R20,ACI,4.25,3.562761616215961
zone10,R20,AgACI,2.8090909090909091,0.59629347087745177
zone10,R20,CART,5.4636363636363638,5.918663947838839
zone10,R20,CLARA,2.0227272727272729,0.22162775392113951
zone10,R20,EEE,5.2227272727272727,6.7668959831802455
zone10,R20,EnbPI-RH,7.2681818181818176,15.041253952714856
zone10,R20,LinUCB,4.9045454545454543,5.1196522179187269
zone10,R20,Static,7.9954545454545451,18.84493570101067
zone10,R20,TSC,5.0636363636363644,5.5712804607074604
zone2,R01,ACI,7.959090909090909,24.188972466550251
zone2,R01,AgACI,8.7409090909090903,32.96637621888712
zone2,R01,CART,4.9727272727272727,13.316514950732389
zone2,R01,CLARA,2.9818181818181819,4.8143123006410482
zone2,R01,EEE,5.4636363636363638,15.37786324227392
zone2,R01,EnbPI-RH,3.8045454545454551,7.6652491476185212
zone2,R01,LinUCB,2.9045454545454548,2.9713715466884323
zone2,R01,Static,1.3681818181818182,0.1888556267778794
zone2,R01,TSC,6.8045454545454547,19.34253735073688
zone2,R02,ACI,7.9954545454545451,13.678696481820891
zone2,R02,AgACI,8.7409090909090903,19.334268582837964
zone2,R02,CART,5.1500000000000004,7.2676242996138356
zone2,R02,CLARA,3.0477272727272728,3.1351434181457014
zone2,R02,EEE,5.3136363636363644,8.0371630980801285
zone2,R02,EnbPI-RH,3.5954545454545448,4.2307138485036058
zone2,R02,LinUCB,3.0545454545454547,2.7654127903599446
zone2,R02,Static,1.3431818181818185,0.1942820844337875
zone2,R02,TSC,6.7590909090909088,10.562852981613863
zone2,R05P6179775281,ACI,5.9249999999999998,4.4282984876720306
zone2,R05P6179775281,AgACI,6.6113636363636363,6.2095981279579178
zone2,R05P6179775281,CART,3.6545454545454552,1.3125711034787115
zone2,R05P6179775281,CLARA,2.9113636363636362,1.2448647858244473
zone2,R05P6179775281,EEE,4.5477272727272728,3.1166426002352394
zone2,R05P6179775281,EnbPI-RH,5.3659090909090912,4.780609197440266
zone2,R05P6179775281,LinUCB,5.1409090909090907,3.6293524649966109
zone2,R05P6179775281,Static,5.8659090909090912,6.3119630805958105
zone2,R05P6179775281,TSC,4.9772727272727284,3.507023495512497
zone2,R10,ACI,5.0068181818181818,3.4418088870691999
zone2,R10,AgACI,5.1568181818181822,3.4165297145360438
zone2,R10,CART,4.622727272727273,2.9960034297206102
zone2,R10,CLARA,2.6772727272727272,0.92347055038354242
zone2,R10,EEE,4.8272727272727272,4.3962652938644524
zone2,R10,EnbPI-RH,6.1863636363636365,9.0944973922700303
zone2,R10,LinUCB,4.8636363636363633,3.6010403890019882
zone2,R10,Static,7.0590909090909095,14.09640615022338
zone2,R10,TSC,4.5999999999999996,3.571233419679237
zone2,R20,ACI,4.3136363636363644,3.6295490048658778
zone2,R20,AgACI,3.706818181818182,1.7371106026958802
zone2,R20,CART,5.5954545454545457,6.9860420946473036
zone2,R20,CLARA,2.3999999999999999,0.70040027044481556
zone2,R20,EEE,5.1568181818181822,7.1410556210507767
zone2,R20,EnbPI-RH,6.7636363636363637,15.368508049108589
zone2,R20,LinUCB,4.4772727272727284,4.4137649647831125
zone2,R20,Static,7.9704545454545457,24.785813712555417
zone2,R20,TSC,4.6159090909090912,4.8604109542178637
zone3,R01,ACI,7.9772727272727266,20.139670638363093
zone3,R01,AgACI,8.872727272727273,27.812650065766199
zone3,R01,CART,4.8681818181818182,10.874743580063496
zone3,R01,CLARA,2.7659090909090911,3.7051973965584781
zone3,R01,EEE,5.4909090909090912,12.667679462558318
zone3,R01,EnbPI-RH,3.7000000000000002,5.6138888245031966
zone3,R01,LinUCB,3.1727272727272728,3.2867294393629853
zone3,R01,Static,1.2613636363636365,0.082110775973426697
zone3,R01,TSC,6.8909090909090907,16.056778210429442
zone3,R02,ACI,7.9681818181818178,11.720923922298692
zone3,R02,AgACI,8.8818181818181809,16.635186253429225
zone3,R02,CART,5,6.1061763377048317
zone3,R02,CLARA,2.8840909090909093,2.8106352484555903
zone3,R02,EEE,5.290909090909091,6.816577640841504
zone3,R02,EnbPI-RH,3.3363636363636364,3.4374266536715243
zone3,R02,LinUCB,3.581818181818182,3.3376242044657967
zone3,R02,Static,1.2250000000000001,0.0456733545248664
zone3,R02,TSC,6.831818181818182,9.1690307037915204
zone3,R05P6179775281,ACI,5.8636363636363633,3.9995020403688488
zone3,R05P6179775281,AgACI,6.5977272727272727,5.307057181300471
zone3,R05P6179775281,CART,3.1954545454545453,1.0918103324393009
zone3,R05P6179775281,CLARA,2.8795454545454544,1.1949604397720412
zone3,R05P6179775281,EEE,4.2045454545454541,2.7188992211630381
zone3,R05P6179775281,EnbPI-RH,5.5454545454545459,4.7040414901989367
zone3,R05P6179775281,LinUCB,5.836363636363636,3.4958780364812299
zone3,R05P6179775281,Static,5.581818181818182,4.9908038844501936
zone3,R05P6179775281,TSC,5.2954545454545459,3.482594755747856
zone3,R10,ACI,4.8954545454545455,3.3005037980532848
zone3,R10,AgACI,4.9363636363636365,2.8460926077132771
zone3,R10,CART,4.3545454545454554,2.447201581549808
zone3,R10,CLARA,2.4659090909090908,0.79839917925849457
zone3,R10,EEE,4.5681818181818183,3.9383544462613247
zone3,R10,EnbPI-RH,6.3409090909090908,8.9584805062458379
zone3,R10,LinUCB,5.7681818181818185,4.1649518019226583
zone3,R10,Static,6.915909090909091,11.633811760117306
zone3,R10,TSC,4.7545454545454549,3.7976714269627569
zone3,R20,ACI,4.209090909090909,3.765132304467449
zone3,R20,AgACI,3.4772727272727271,1.4417178714116454
zone3,R20,CART,5.3590909090909093,6.0297486353268583
zone3,R20,CLARA,2.2363636363636363,0.55544715464903482
zone3,R20,EEE,4.9681818181818178,6.5810245260952431
zone3,R20,EnbPI-RH,6.9863636363636363,15.173999820393789
zone3,R20,LinUCB,5.4318181818181817,5.7939069958211968
zone3,R20,Static,7.8136363636363635,21.019722800859547
zone3,R20,TSC,4.5181818181818185,5.3449863943811922
zone4,R01,ACI,8.0272727272727273,16.315021488785689
zone4,R01,AgACI,8.8545454545454554,23.022466962318497
zone4,R01,CART,4.75,7.6173906202255619
zone4,R01,CLARA,2.875,3.1477526283004358
zone4,R01,EEE,5.6863636363636365,10.03783625086049
zone4,R01,EnbPI-RH,3.290909090909091,3.0757344819595982
zone4,R01,LinUCB,3.2999999999999998,2.9993101403147926
zone4,R01,Static,1.2204545454545457,0.040500058699369401
zone4,R01,TSC,6.9954545454545451,12.732831076705343
zone4,R02,ACI,8.0136363636363637,8.9794695652610912
zone4,R02,AgACI,8.8545454545454554,13.095150539661391
zone4,R02,CART,4.8636363636363633,4.227822758535086
zone4,R02,CLARA,3.1000000000000001,2.0336159647211431
zone4,R02,EEE,5.331818181818182,5.0929711664224389
zone4,R02,EnbPI-RH,2.9545454545454546,1.7630580858166205
zone4,R02,LinUCB,3.7363636363636359,2.2115127160212613
zone4,R02,Static,1.2227272727272729,0.041025005693449003
zone4,R02,TSC,6.9227272727272728,6.8537100914024913
zone4,R05P6179775281,ACI,5.6590909090909092,2.971478421305553
zone4,R05P6179775281,AgACI,6.002272727272727,3.6709303657094825
zone4,R05P6179775281,CART,3.6136363636363642,1.031112561270495
zone4,R05P6179775281,CLARA,2.6477272727272729,0.73897992554846614
zone4,R05P6179775281,EEE,4.6181818181818182,2.5011172228696776
zone4,R05P6179775281,EnbPI-RH,5.6727272727272728,4.4990788957616585
zone4,R05P6179775281,LinUCB,5.8045454545454547,2.8929114874358741
zone4,R05P6179775281,Static,5.836363636363636,5.0387495182585198
zone4,R05P6179775281,TSC,5.1454545454545455,2.803386365723334
zone4,R10,ACI,4.7363636363636363,2.8880108566571354
zone4,R10,AgACI,4.3590909090909093,1.9103829656871067
zone4,R10,CART,4.9454545454545453,2.9198056348658983
zone4,R10,CLARA,2.3409090909090908,0.53654333314129743
zone4,R10,EEE,5.168181818181818,4.264610159715243
zone4,R10,EnbPI-RH,6.5363636363636362,9.2443294050580889
zone4,R10,LinUCB,4.9727272727272727,3.174284301260033
zone4,R10,Static,6.9954545454545451,11.290625744546476
zone4,R10,TSC,4.9454545454545453,3.7062880024741287
zone4,R20,ACI,4.2545454545454549,3.7642647076869982
zone4,R20,AgACI,3.1409090909090911,1.0359945811058155
zone4,R20,CART,5.5931818181818178,6.7995924896659483
zone4,R20,CLARA,2.081818181818182,0.3812394138441022
zone4,R20,EEE,5.5181818181818185,7.2509028034723304
zone4,R20,EnbPI-RH,7.1318181818181818,15.66912229067478
zone4,R20,LinUCB,4.6454545454545455,4.3327267999236048
zone4,R20,Static,7.8704545454545451,19.738176731651869
zone4,R20,TSC,4.7636363636363637,5.6251387297480164
zone5,R01,ACI,8.004545454545454,15.475816963773877
zone5,R01,AgACI,8.8454545454545457,22.288642266613319
zone5,R01,CART,4.6545454545454543,6.5248880208583007
zone5,R01,CLARA,2.9840909090909089,2.4387317551495395
zone5,R01,EEE,5.790909090909091,9.4349383229568424
zone5,R01,EnbPI-RH,2.7363636363636363,1.684361829477413
zone5,R01,LinUCB,3.168181818181818,1.8147543368194881
zone5,R01,Static,1.8568181818181819,0.60147695668639589
zone5,R01,TSC,6.959090909090909,11.708078412741004
zone5,R02,ACI,7.9772727272727266,8.9044086852386073
zone5,R02,AgACI,8.8499999999999996,13.16970391293752
zone5,R02,CART,4.581818181818182,3.7776301169813058
zone5,R02,CLARA,3.25,1.824275245263828
zone5,R02,EEE,5.377272727272727,4.980766428615726
zone5,R02,EnbPI-RH,2.4500000000000002,1.0716441948796791
zone5,R02,LinUCB,3.918181818181818,2.0785668499186829
zone5,R02,Static,1.75,0.34861397978584951
zone5,R02,TSC,6.8454545454545457,6.5722372350265994
zone5,R05P6179775281,ACI,6.168181818181818,3.1191425456797943
zone5,R05P6179775281,AgACI,6.3659090909090912,3.9069759272871969
zone5,R05P6179775281,CART,3.2863636363636362,0.79521683783840946
zone5,R05P6179775281,CLARA,2.8386363636363638,0.76723012089294318
zone5,R05P6179775281,EEE,4.5227272727272725,2.2169256329671869
zone5,R05P6179775281,EnbPI-RH,5.540909090909091,4.1169300737426946
zone5,R05P6179775281,LinUCB,5.2363636363636363,2.1813288240103814
zone5,R05P6179775281,Static,5.377272727272727,4.0932874165103774
zone5,R05P6179775281,TSC,5.663636363636364,2.7569258514763084
zone5,R10,ACI,5.2227272727272727,2.9502368362497124
zone5,R10,AgACI,4.5909090909090908,1.9922886752404212
zone5,R10,CART,4.5909090909090908,2.2788197828901438
zone5,R10,CLARA,2.3999999999999999,0.50806221920563588
zone5,R10,EEE,4.6954545454545453,3.6434082704966775
zone5,R10,EnbPI-RH,6.6727272727272728,8.8533242486880859
zone5,R10,LinUCB,5.0590909090909095,2.7653744094140702
zone5,R10,Static,6.5681818181818183,9.3530630452208943
zone5,R10,TSC,5.2000000000000002,3.5864678485593324
zone5,R20,ACI,4.5999999999999996,3.861801357701232
zone5,R20,AgACI,3.2250000000000001,1.0487441587684361
zone5,R20,CART,5.4227272727272728,5.7956693703046724
zone5,R20,CLARA,2.1022727272727271,0.3697415522349437
zone5,R20,EEE,5.0181818181818185,6.3407280125877685
zone5,R20,EnbPI-RH,7.4318181818181817,15.439660967303215
zone5,R20,LinUCB,4.836363636363636,4.3846275865355651
zone5,R20,Static,7.3499999999999996,16.711762427354309
zone5,R20,TSC,5.0136363636363637,5.565725221820955
zone6,R01,ACI,8.0136363636363637,15.785922227648385
zone6,R01,AgACI,8.827272727272728,22.209899199411542
zone6,R01,CART,4.7045454545454541,6.5629338926149128
zone6,R01,CLARA,2.959090909090909,2.2929365346713939
zone6,R01,EEE,5.75,9.4872905134893166
zone6,R01,EnbPI-RH,3.0227272727272729,1.9936464600420292
zone6,R01,LinUCB,3.122727272727273,1.8933299694622576
zone6,R01,Static,1.5454545454545454,0.2164743681644731
zone6,R01,TSC,7.0545454545454547,12.287898403461035
zone6,R02,ACI,8.0090909090909097,8.8999923531227836
zone6,R02,AgACI,8.8227272727272723,12.775152923596073
zone6,R02,CART,4.6136363636363633,3.7156325563232291
zone6,R02,CLARA,2.9886363636363642,1.6771374234868723
zone6,R02,EEE,5.4045454545454543,4.9129225934606353
zone6,R02,EnbPI-RH,2.7045454545454546,1.3227867291911473
zone6,R02,LinUCB,4.040909090909091,2.4224918162806444
zone6,R02,Static,1.4431818181818179,0.12840258268268001
zone6,R02,TSC,6.9727272727272727,6.8525096836758221
zone6,R05P6179775281,ACI,5.8909090909090907,2.9201247873009479
zone6,R05P6179775281,AgACI,6.0477272727272728,3.3588549430614174
zone6,R05P6179775281,CART,3.3409090909090908,0.82837378873215761
zone6,R05P6179775281,CLARA,2.3704545454545456,0.56940255720306454
zone6,R05P6179775281,EEE,4.5499999999999998,2.3184119160880301
zone6,R05P6179775281,EnbPI-RH,5.8863636363636367,4.6873486451934037
zone6,R05P6179775281,LinUCB,5.6363636363636367,2.5717306108805338
zone6,R05P6179775281,Static,5.6954545454545453,4.4949896863864662
zone6,R05P6179775281,TSC,5.581818181818182,2.8913677385363461
zone6,R10,ACI,4.877272727272727,2.8091528224369382
zone6,R10,AgACI,4.163636363636364,1.5215902504896297
zone6,R10,CART,4.6954545454545453,2.6642383529429554
zone6,R10,CLARA,2.1272727272727274,0.34529374651307121
zone6,R10,EEE,4.8136363636363644,4.0667252180122917
zone6,R10,EnbPI-RH,7.040909090909091,9.9091511737779285
zone6,R10,LinUCB,5.0954545454545457,3.3545100321974344
zone6,R10,Static,6.9363636363636365,10.378014071245849
zone6,R10,TSC,5.25,3.834343182534496
