Price ratio,ERRF 0.5x,TUWR 0.5x (%),ERRF 1x,TUWR 1x (%),ERRF 2x,TUWR 2x (%)
R01,1.7167448938299539,8.832692709220517,1.6521871659581868,18.549606741938106,1.6193784542145413,24.316109893717464
R02,1.9246137445864293,7.526035959930829,1.8777888937677887,15.93868003165321,1.8526603825814452,21.895565725790203
Rref,2.581266539175824,4.259532269937229,2.5655471010626147,7.442569392861636,2.558106748267561,9.863301694631907
R10,3.2932907347020697,3.6421234805086327,3.2893618361991512,5.505049544758085,3.28657229218143,6.985618030635895
R20,4.870139571924173,2.991750859503326,4.8806939237628155,3.7172840653851527,4.8829176707515085,4.506417696936317
ALL,2.87721109684369,5.450427055820106,2.8531157841501114,10.230637955319237,2.839927109599297,13.513402608342357
