price_id,method,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap
ALL,CLARA,2.8531157841501114,1.575132476092643,1.2779833080574687,0.643748202004257,0.44163055437955956,0.6727088240358378,0.10230637955319237,0.42427228355141605,0.08235096587458604,0.01312431703019858,0.06922664884438748
ALL,NMIN_10,2.8536767729264576,1.5754319833523307,1.278244789574127,0.6438173784955488,0.4417146856322808,0.6727479918121195,0.10206865297760144,0.4249142796308595,0.08237007367798113,0.013100556314192092,0.06926951736378904
ALL,NMIN_20,2.853650614360343,1.575428705304109,1.2782219090562337,0.6438119185317078,0.4417137648322186,0.6727135116674308,0.10215181439179795,0.4248903702055059,0.08236801908687529,0.01310199499423988,0.06926602409263541
ALL,NMIN_30,2.853517550222352,1.575389756151445,1.278127794070907,0.6438029247522132,0.44170282405899836,0.6727007550207147,0.1021980842578698,0.4247978641759107,0.08237480018071622,0.013109512458440168,0.06926528772227605
ALL,NMIN_50,2.853077367738476,1.5751045418021228,1.277972825936353,0.6437480919371814,0.44162270766873923,0.672724438954852,0.10230522530546463,0.4242317600108918,0.08235118862179726,0.01312421103463737,0.06922697758715989
ALL,NU_0,2.854067560689578,1.5748093835764772,1.2792581771131006,0.6436093458443614,0.44153979805479393,0.6726578431293132,0.10198747356262153,0.42369786897772793,0.08213788034983827,0.013086878727106182,0.06905100162273207
ALL,NU_10,2.85363156343517,1.575014305898412,1.278617257536758,0.6436927160213385,0.4415973605047756,0.6726829230870741,0.10212034811534954,0.42406681777048316,0.08225903296531076,0.01310597574402155,0.06915305722128921
ALL,NU_100,2.851269844149729,1.5764185000922475,1.2748513440574816,0.6442044529308897,0.4419917970760777,0.6726736453830932,0.10242861914862807,0.42634160517912223,0.08283001259101268,0.013134133850263052,0.06969587874074963
ALL,NU_30,2.852883684560104,1.5754278118475873,1.2774558727125167,0.6438490699275605,0.44171351386128554,0.6726997552270557,0.10230523742422966,0.4247777299497503,0.08244429041001872,0.013121004359687927,0.06932328605033079
ALL,NU_60,2.8521419622127935,1.5759042569162163,1.2762377052965772,0.6440156164664746,0.4418473467457319,0.6726742488205305,0.10239133360356789,0.4255329629688072,0.08262652531664187,0.0131285673496181,0.06949795796702378
ALL,TOL_0.5,2.87721109684369,1.6225792721241579,1.254631824719532,0.6566678902917417,0.4549583060738053,0.6711046807873862,0.05450427055820106,0.46843537235378213,0.08253278472939915,0.0066542520330878634,0.07587853269631128
ALL,TOL_1,2.8531157841501114,1.575132476092643,1.2779833080574687,0.643748202004257,0.44163055437955956,0.6727088240358378,0.10230637955319237,0.42427228355141605,0.08235096587458604,0.01312431703019858,0.06922664884438748
ALL,TOL_2,2.839927109599297,1.55011030940625,1.2898168001930472,0.6363971360450624,0.43460185587214584,0.6760906892306391,0.13513402608342356,0.40451586649674354,0.08400254738832985,0.01768439096744274,0.0663181564208871
R01,CLARA,1.6521871659581868,1.4375411506498825,0.21464601530830446,0.5907576100894001,0.40298130565968304,0.6709519356310871,0.18549606741938107,0.18244422642335767,0.05484610146066136,0.026020215973991834,0.028825885486669523
