zone,price_id,method,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap
zone1,R01,CLARA,1.5835796213273228,1.3673946509687755,0.21618497035854692,0.5876941268923446,0.38332379088065666,0.6554583726834261,0.20869775298934076,0.17267357068169556,0.056565670111283606,0.02873343555250484,0.027832234558778767
zone1,R01,NMIN_10,1.584774276740916,1.3688282460878587,0.21594603065305748,0.5880276972995061,0.38372648613882604,0.6553072108643742,0.20769075951483712,0.17379666266765664,0.05661948824274285,0.028594447311030544,0.028025040931712302
zone1,R01,NMIN_20,1.5846958980262136,1.3687311491076806,0.21596474891853298,0.5879923574138955,0.3836992117061917,0.6553130602045814,0.20773286313305525,0.1735733448705634,0.05659052339152852,0.028597856488751138,0.027992666902777383
zone1,R01,NMIN_30,1.584472405908437,1.3684499948324218,0.21602241107601533,0.587910765947468,0.3836202357861752,0.6552662201530931,0.20794011955214511,0.17320492355773134,0.05654629566686757,0.028614468489515706,0.02793182717735187
zone1,R01,NMIN_50,1.5833776838356024,1.3671249789171656,0.21625270491843693,0.5875804349427162,0.38324804030436166,0.6554473062435134,0.2088858633294159,0.17211047616649214,0.056513600928057926,0.028760991882133453,0.027752609045924477
zone1,R01,NU_0,1.5838643522357894,1.3677226822003221,0.21614167003546725,0.5877640811402042,0.38341593448502365,0.655428109529099,0.20779991046993848,0.1726703243281715,0.0565072705561713,0.02867022685607222,0.027837043700099085
zone1,R01,NU_10,1.583711423387405,1.3675488233137973,0.2161626000736074,0.5877423670547225,0.3833670977191459,0.6554237976764272,0.20808937209217707,0.17289687307570448,0.056544238909340204,0.028704379221185655,0.027839859688154552
zone1,R01,NU_100,1.583431091478258,1.3673069220034761,0.2161241694747817,0.5878210940754528,0.3832991479128759,0.6553949404644611,0.20863815122285112,0.17365002616414513,0.05673181329371716,0.028760349509502743,0.027971463784214418
zone1,R01,NU_30,1.5835501177729565,1.3673711163980327,0.2161790013749238,0.5877464634297314,0.38331718004617826,0.655451230053757,0.20839941561371475,0.17308481432298334,0.05663432451405016,0.02874238108217226,0.0278919434318779
zone1,R01,NU_60,1.5836337958903517,1.3675091622709281,0.21612463361942383,0.5878204450977097,0.38335595697676683,0.6554225343260764,0.20837493001091273,0.17377027512248683,0.056716619968297605,0.028752321186341953,0.027964298781955655
zone1,R01,TOL_0.5,1.6521147885924599,1.4532208273808471,0.19889396121161257,0.6127280773866948,0.4074322674009015,0.6493213568351911,0.09629427998053806,0.24161406404438915,0.05205469466843876,0.013639963965095958,0.03841473070334281
zone1,R01,TOL_1,1.5835796213273228,1.3673946509687755,0.21618497035854692,0.5876941268923446,0.38332379088065666,0.6554583726834261,0.20869775298934076,0.17267357068169556,0.056565670111283606,0.02873343555250484,0.027832234558778767
zone1,R01,TOL_2,1.5506904928466732,1.325111597124357,0.2255788957223161,0.5743000793230177,0.3714465285648087,0.6594022005451277,0.2707720641113235,0.1456560404586421,0.06078013906206394,0.03764758386020835,0.023132555201855597
zone1,R02,CLARA,1.8118252887708322,1.3902529795487197,0.42157230922211225,0.5951539941040279,0.3897446696952477,0.6530672189932943,0.1769934776290983,0.19576435140166532,0.05570394213718835,0.024507480592135634,0.03119646154505272
zone1,R02,NMIN_10,1.8127412597684152,1.391693091191008,0.42104816857740707,0.5955164977301896,0.3901491954374635,0.6528971154944392,0.17547878660590116,0.19733867552697312,0.055843694163414614,0.02439850763219025,0.031445186531224356
zone1,R02,NMIN_20,1.8126661460485711,1.39156148544159,0.42110466060698126,0.5954774556585669,0.3901122275303236,0.6528993475461724,0.17551692803484767,0.197131113696014,0.055808627838121565,0.02440127024449095,0.031407357593630614
zone1,R02,NMIN_30,1.8125787827880244,1.391385015287608,0.4211937675004165,0.5954133768390735,0.3900626572623511,0.6528678995197392,0.17575950181156333,0.19691878441196667,0.05575085265855801,0.024402399144459467,0.03134845351409854
zone1,R02,NMIN_50,1.8117199965561523,1.3900842556514648,0.4216357409046876,0.5951031952662865,0.38969727534208615,0.653056725497743,0.1770516789310931,0.19550502186339838,0.05567157946396193,0.02451514520256315,0.031156434261398778
zone1,R02,NU_0,1.812170206716739,1.3908592954813739,0.4213109112353652,0.5953248341039308,0.38991498315947637,0.6530810932500319,0.17634921365437034,0.19598064627719547,0.05568241935213204,0.024408609526368977,0.03127380982576306
zone1,R02,NU_10,1.812165604127935,1.390787485332495,0.4213781187954403,0.5953077088410835,0.3898948117693418,0.6530885893152617,0.17672892450270958,0.19640115009573433,0.055752677099740085,0.024457957780068703,0.03129471931967138
zone1,R02,NU_100,1.8114356093038555,1.389738063510082,0.4216975457937735,0.5951845682414277,0.38960003035855173,0.6529954700370917,0.1776166464464766,0.1959483493604791,0.05588501995170058,0.02458920039890256,0.03129581955279802
zone1,R02,NU_30,1.8118612766332238,1.3903167029226562,0.4215445737105677,0.5952068712162535,0.3897625695193872,0.6530849057142967,0.17683664060943707,0.19591550645641279,0.055721904824247805,0.024496407243574245,0.031225497580673563
zone1,R02,NU_60,1.8116906977302922,1.3900311886022854,0.42165950912800676,0.5952301787885493,0.3896823688675976,0.6530632158255277,0.1771300025452102,0.1962036198039855,0.05583679923254001,0.024543681077623718,0.03129311815491629
zone1,R02,TOL_0.5,1.8608213310260016,1.4690826029883193,0.39173872803768234,0.6182089946193805,0.41188782234682053,0.6500758482083828,0.08305042053070623,0.2663653374116591,0.05403238469142033,0.011857038051697735,0.0421753466397226
zone1,R02,TOL_1,1.8118252887708322,1.3902529795487197,0.42157230922211225,0.5951539941040279,0.3897446696952477,0.6530672189932943,0.1769934776290983,0.19576435140166532,0.05570394213718835,0.024507480592135634,0.03119646154505272
zone1,R02,TOL_2,1.786151190690241,1.3438052188659473,0.4423459718242936,0.580320457259098,0.37669754590795207,0.6578436997667787,0.2456256678840279,0.15989640996716364,0.05938700670735451,0.03390041851918145,0.025486588188173058
zone1,R10,CLARA,3.2273406260720074,1.600011914743628,1.6273287113283792,0.6803112839453059,0.44866571890730056,0.6600563321166728,0.0579092406718946,0.5778615458057047,0.10405336038213878,0.005641139257326271,0.09841222112481252
zone1,R10,NMIN_10,3.2276289187493097,1.6003145850893492,1.6273143336599607,0.6802570766861447,0.4487507386673346,0.6597479442943663,0.05692484189165439,0.57801867430342,0.1038550176674386,0.005571020599502657,0.09828399706793593
zone1,R10,NMIN_20,3.2276572434337956,1.6004557815436793,1.6272014618901165,0.6802738405200144,0.4487904005927083,0.6597585986271618,0.05691542030369565,0.578125166046382,0.1038724167848529,0.005570156051662391,0.09830226073319051
zone1,R10,NMIN_30,3.2275121899868195,1.6008087612555364,1.626703428731283,0.6803793982180512,0.44888955219716253,0.6597912367236821,0.056893774822713836,0.5782335592879707,0.1039711419620082,0.005567215931410361,0.09840392603059785
zone1,R10,NMIN_50,3.2272434909168637,1.5998329510209626,1.627410539895901,0.680300553410496,0.4486154481986867,0.6600980036187578,0.05808257744383137,0.5778604035882037,0.10406180944874074,0.005651066280334261,0.09841074316840648
zone1,R10,NU_0,3.228512207076677,1.5994914509934024,1.6290207560832748,0.6800351081319772,0.4485195212246529,0.659724759847347,0.0575144073827417,0.5769164433361,0.1037277944891414,0.005612456140948106,0.0981153383481933
zone1,R10,NU_10,3.2280742905895523,1.5994564734592003,1.6286178171303523,0.6801291738398256,0.4485096960745961,0.6597294959295272,0.057457151415646376,0.5773625392407253,0.10386330353034416,0.005628961630186073,0.09823434190015808
zone1,R10,NU_100,3.224767951779146,1.6024140771382818,1.6223538746408646,0.6810257843074359,0.44934048362489987,0.6602381788215519,0.05843610765593972,0.5809342462070615,0.10487751297447542,0.005680520260563388,0.09919699271391202
zone1,R10,NU_30,3.2265494572228297,1.6003804943932345,1.6261689628295952,0.6803906234445803,0.4487692525167405,0.6597348927545673,0.05774020448566284,0.5783710175484791,0.10413719646039608,0.005638573317428592,0.09849862314296748
zone1,R10,NU_60,3.226336258895169,1.601689476290001,1.624646782605168,0.6807001617570768,0.4491369440607761,0.6599849499850537,0.05803757918336098,0.57919413062188,0.10446937503195788,0.005643554611615171,0.09882582042034271
zone1,R10,TOL_0.5,3.2338622459337305,1.6287772165504193,1.6050850293833112,0.6858880030152719,0.45674585986426436,0.6613077690385548,0.041126035806902536,0.6008613879558259,0.10608748003919655,0.0038114959920945157,0.10227598404710203
zone1,R10,TOL_1,3.2273406260720074,1.600011914743628,1.6273287113283792,0.6803112839453059,0.44866571890730056,0.6600563321166728,0.0579092406718946,0.5778615458057047,0.10405336038213878,0.005641139257326271,0.09841222112481252
zone1,R10,TOL_2,3.2251198383338995,1.587240706839512,1.6378791314943875,0.6779816695282588,0.4450783009567062,0.6632385078707986,0.07298944685884755,0.57248503281701,0.1049930167431747,0.007324642585856829,0.09766837415731787
zone1,R20,CLARA,4.816696236333972,1.6412371570753232,3.1754590792586486,0.6894260146860159,0.4602458431577767,0.6625331532455476,0.04393892039103042,0.6228445371514368,0.10973092166494751,0.0038115564294686675,0.10591936523547886
zone1,R20,NMIN_10,4.818156948607216,1.6406844604191269,3.1774724881880885,0.6892615505135077,0.4600905912880586,0.6624407519990885,0.04357681601159668,0.6226818724838084,0.10949350831334848,0.0037793575623299757,0.1057141507510185
zone1,R20,NMIN_20,4.818018147970267,1.6408497555983377,3.1771683923719287,0.6892772956619352,0.46013702251817407,0.662433211068426,0.04350489667906223,0.6227870222320762,0.10951116165894666,0.003779380577348779,0.10573178108159788
zone1,R20,NMIN_30,4.817235472917362,1.6412014737360798,3.176033999181283,0.6893902954039407,0.4602358197478769,0.6624472505923296,0.04347240013182037,0.6230782148748973,0.10961784614259688,0.003776487403079026,0.10584135873951786
zone1,R20,NMIN_50,4.816678240828687,1.6410765367323137,3.1756017040963735,0.6894212322834926,0.46020072508389764,0.6625682229518849,0.04392644308385557,0.6228617874533171,0.10974151619623958,0.00381939362947699,0.10592212256676259
zone1,R20,NU_0,4.819484139447145,1.6401641144088266,3.179320025038318,0.6891634507875447,0.4599444266784238,0.6624980496518582,0.04379822701703634,0.6222021784369312,0.10942853732523729,0.0037940514462783516,0.10563448587895893
zone1,R20,NU_10,4.818645289473391,1.6399953305223371,3.1786499589510546,0.689139230121171,0.45989701547435363,0.662581808601624,0.04436530951864761,0.6216762092735284,0.1095142467300894,0.0038489808323001165,0.10566526589778928
zone1,R20,NU_100,4.809124818814106,1.6444071048100712,3.164717714004035,0.6903571818841178,0.4611362779147284,0.6628387332867647,0.04324392736494413,0.6263957144346303,0.11060893960226355,0.003764829442021303,0.10684411016024223
zone1,R20,NU_30,4.816322151638001,1.6414776662918076,3.1748444853461932,0.6894772891861168,0.46031340192645215,0.6627162588628974,0.04436102650546622,0.6243899165238269,0.10977778250569725,0.0038076451348204718,0.10597013737087678
zone1,R20,NU_60,4.8122081153643235,1.6426208398737332,3.1695872754905907,0.6898470833323694,0.4606345181011503,0.66287401211232,0.04419368160841886,0.6250710104154596,0.11022050922775435,0.0038372137621153824,0.10638329546563896
zone1,R20,TOL_0.5,4.807775304565131,1.659734708552575,3.1480405960125557,0.692785686682946,0.46544178458397106,0.6635393955797791,0.033999828361382475,0.6382291351540672,0.11125908392404987,0.002850718306666244,0.10840836561738362
zone1,R20,TOL_1,4.816696236333972,1.6412371570753232,3.1754590792586486,0.6894260146860159,0.4602458431577767,0.6625331532455476,0.04393892039103042,0.6228445371514368,0.10973092166494751,0.0038115564294686675,0.10591936523547886
zone1,R20,TOL_2,4.817764527139218,1.63439490446813,3.183369622671089,0.6883720925036193,0.4583238620883404,0.6633422546099267,0.050791464861291914,0.6185232119188182,0.10987984040873136,0.0044290411192982135,0.10545079928943316
zone1,Rref,CLARA,2.5021558980069663,1.5455634089467747,0.9565924890601913,0.6639235874611898,0.4333711948070609,0.6567050768676601,0.0807859161935759,0.5032183989876813,0.0943190378920191,0.009156788718511836,0.08516224917350726
zone1,Rref,NMIN_10,2.5025422361166365,1.5459038820830546,0.9566383540335816,0.6638839547240603,0.43346683332848784,0.6564390015134723,0.079943904412772,0.5030992670966475,0.09414961219357566,0.009089297324601429,0.08506031486897424
zone1,Rref,NMIN_20,2.502601140207612,1.5460353005089769,0.9565658396986353,0.6639013522851378,0.4335037486166682,0.6564219899882903,0.07981257273335518,0.503193847378825,0.0941529666338768,0.00908103930088658,0.08507192733299024
zone1,Rref,NMIN_30,2.5025761644455944,1.5462676455634417,0.956308518882153,0.6639825008299114,0.4335690140814055,0.6564202547009262,0.07972657111643956,0.503580144863539,0.09421977868185165,0.009074292477232768,0.08514548620461887
zone1,Rref,NMIN_50,2.5021639538279286,1.5455870720949274,0.9565768817330013,0.6639278773920213,0.4333778417587892,0.6566761653792382,0.08072889645518481,0.5032326526326093,0.09431430346577954,0.009152141799178998,0.08516216166660055
zone1,Rref,NU_0,2.5025543164831046,1.5456009479546131,0.956953368528491,0.6638584818063141,0.433381739472184,0.6565145830205639,0.08077732832210208,0.5025574394969545,0.09424778129138076,0.00916197914160188,0.08508580214977887
zone1,Rref,NU_10,2.5023874122084946,1.5457114670241865,0.9566759451843078,0.6639344589791466,0.43341278415464846,0.6565815843607397,0.08088980179735814,0.50328240084805,0.09435514853525469,0.00917115383823355,0.08518399469702113
zone1,Rref,NU_100,2.501099463987551,1.5463553240352617,0.9547441399522896,0.6644184729063012,0.43359364286562463,0.6566492190086995,0.08042456427707735,0.5059726326882268,0.09474298020270126,0.009096983440393312,0.08564599676230795
zone1,Rref,NU_30,2.5021052162938258,1.5457815798300436,0.956323636463782,0.6640133398090942,0.43343247876303526,0.6567421098162556,0.0811730254007109,0.5036573750825069,0.09446041710973936,0.00917679170274933,0.08528362540699003
zone1,Rref,NU_60,2.501515583629804,1.545943324500841,0.9555722591289635,0.6642335162648175,0.4334779126593266,0.6566813183319365,0.08039014752459404,0.5040420332801703,0.09451009088623033,0.009093805329992375,0.08541628555623797
zone1,Rref,TOL_0.5,2.5192636304362064,1.5862180141154056,0.9330456163208012,0.6730115241191225,0.44479102771959755,0.6572293945730016,0.04797034072744709,0.5380597842373431,0.09553570136373896,0.005109465145353905,0.09042623621838505
zone1,Rref,TOL_1,2.5021558980069663,1.5455634089467747,0.9565924890601913,0.6639235874611898,0.4333711948070609,0.6567050768676601,0.0807859161935759,0.5032183989876813,0.0943190378920191,0.009156788718511836,0.08516224917350726
zone1,Rref,TOL_2,2.495178486041173,1.5257383279762875,0.9694401580648859,0.65916789355662,0.42780235183782284,0.6604220686170784,0.10526009383743622,0.49281534995616305,0.0960674620060589,0.01249442037042567,0.08357304163563324
zone10,R01,CLARA,1.8863399868152642,1.6533260837710246,0.2330139030442396,0.592061143854156,0.4635810500059268,0.7473400692179972,0.17920511687343188,0.1807216933118634,0.05263155442500325,0.024166221739286505,0.028465332685716743
zone10,R01,NMIN_10,1.886724654713922,1.653875802482592,0.2328488522313302,0.592204909883742,0.4637354653743446,0.7473865342225605,0.17907882180449378,0.18211775682383613,0.05276107341387688,0.024153793687880624,0.02860727972599626
zone10,R01,NMIN_20,1.886680496110068,1.6538063523801625,0.23287414372990567,0.592188091925205,0.463715956918606,0.747381682339958,0.17906202559051668,0.18200842921412771,0.05273810832489953,0.024151527454666647,0.028586580870232883
zone10,R01,NMIN_30,1.8865788155045464,1.6536522577862323,0.23292655771831433,0.5921368076948023,0.4636726719203109,0.7473728987250624,0.17944303497510133,0.18178561068336282,0.05274251033325674,0.024179067225983925,0.02856344310727282
zone10,R01,NMIN_50,1.8863584281824406,1.653347323708997,0.23301110447344364,0.5920740328610647,0.46358701628063814,0.7473085857275799,0.17921839492821645,0.18078067504659595,0.05263058961050796,0.024159281398957514,0.028471308211550445
zone10,R01,NU_0,1.8867857091360254,1.6536827637283547,0.23310294540767088,0.5920794627233223,0.4636812410051768,0.747005993248807,0.17804739910805814,0.18066137948010072,0.052465213174663766,0.024065699216029753,0.028399513958634017
zone10,R01,NU_10,1.886722890414547,1.6537396039701626,0.2329832864443845,0.5921762260861085,0.4636972073652352,0.7471749962158587,0.17826917406742387,0.18100334394439113,0.052550027499330416,0.024065675812828327,0.02848435168650209
zone10,R01,NU_100,1.8870905515881333,1.6542564365020174,0.2328341150861161,0.5923680455407608,0.4638423850427225,0.747313016879541,0.17892039893834277,0.1824376395946085,0.052826304070524764,0.024112285976900644,0.028714018093624127
zone10,R01,NU_30,1.8869545576638842,1.6540682199413195,0.2328863377225649,0.5922769697725414,0.46378951522230183,0.7471351851078747,0.17853027318966824,0.1814771264273049,0.05266495190929845,0.0240729516386711,0.02859200027062735
zone10,R01,NU_60,1.8871509565267426,1.6543479423608538,0.23280301416588892,0.5923486710649142,0.4638680889356541,0.747321526522551,0.17883727388158005,0.1818328805303897,0.05275174511678975,0.02408287697498075,0.028668868141808995
zone10,R01,TOL_0.5,1.946617439781331,1.7295435367132161,0.2170739030681148,0.6146569100999235,0.4849904468998008,0.7388870005618876,0.081553805376055,0.24931615405010846,0.049596759900792646,0.011007168399251538,0.03858959150154111
zone10,R01,TOL_1,1.8863399868152642,1.6533260837710246,0.2330139030442396,0.592061143854156,0.4635810500059268,0.7473400692179972,0.17920511687343188,0.1807216933118634,0.05263155442500325,0.024166221739286505,0.028465332685716743
zone10,R01,TOL_2,1.8590483776411977,1.6183373498261413,0.24071102781505616,0.580832162811965,0.4537527539539934,0.7508851623058863,0.2207500045542389,0.14258356308021275,0.053500855593981655,0.030308502971294286,0.023192352622687373
zone10,R02,CLARA,2.130967631244372,1.6742709802315574,0.45669665101281454,0.598403947512758,0.46946444788809893,0.7449558326846213,0.15584343714381232,0.2013525843891492,0.05221046039233942,0.020710423162555947,0.03150003722978347
zone10,R02,NMIN_10,2.1309592999870155,1.6745143091072325,0.456444990879783,0.5984179722565239,0.4695327986958729,0.7449871143423792,0.15634303570460437,0.20188724600415392,0.0523358172304683,0.020768365119321144,0.03156745211114716
zone10,R02,NMIN_20,2.130930972799588,1.6744166429702012,0.4565143298293869,0.5983716068809068,0.469505364387718,0.7449912833499494,0.15638906178361522,0.2015950033694025,0.05231156470638536,0.020780255518319118,0.03153130918806624
zone10,R02,NMIN_30,2.1308581210630733,1.6742184446122226,0.45663967645085063,0.5983372618948921,0.4694496906916566,0.7449788820027118,0.15649604809049117,0.20165739596398105,0.0523274460609676,0.020802520509895762,0.031524925551071836
zone10,R02,NMIN_50,2.1309761228621285,1.674282506051483,0.4566936168106457,0.5983937412765439,0.4694676854779657,0.7448712866789536,0.15584285684832586,0.2011801440342285,0.05220667631667891,0.020713955399255458,0.03149272091742345
zone10,R02,NU_0,2.131266817384998,1.6745286812534668,0.456738136131531,0.5984483447901565,0.4695368358156016,0.7448354440145027,0.15435307870591056,0.20177892345232745,0.05204977439479747,0.02059920314214541,0.03145057125265207
zone10,R02,NU_10,2.1309670020637266,1.674172947650606,0.45679405441312027,0.5984095005643403,0.4694369106462587,0.7448310666170534,0.1546995343143674,0.2012729346585548,0.052107667101406276,0.02064883236804224,0.031458834733364034
zone10,R02,NU_100,2.131211198588989,1.6748333720398774,0.45637782654911163,0.59849432965217,0.4696224231151552,0.7448278919178051,0.15602248888419168,0.20212874674948597,0.05233904594410575,0.020739605379045036,0.031599440565060706
zone10,R02,NU_30,2.1308949790451415,1.6742580901822344,0.45663688886290715,0.5984376599811467,0.46946082708772724,0.744953588589803,0.1556739268262572,0.2016528945381779,0.052242475345423076,0.020708516556371286,0.03153395878905178
zone10,R02,NU_60,2.131049957921229,1.6746898174177287,0.4563601405035002,0.5985109579685483,0.4695820987830909,0.7448939570329777,0.15569115908634817,0.2016597414948806,0.05228326442470765,0.020699367628191138,0.031583896796516506
zone10,R02,TOL_0.5,2.171527737280711,1.7427492252555623,0.42877851202514833,0.618933583784798,0.4886999099734936,0.7377865648869718,0.06865897697565272,0.26978264299854726,0.050480129194936565,0.009284992797437261,0.041195136397499305
zone10,R02,TOL_1,2.130967631244372,1.6742709802315574,0.45669665101281454,0.598403947512758,0.46946444788809893,0.7449558326846213,0.15584343714381232,0.2013525843891492,0.05221046039233942,0.020710423162555947,0.03150003722978347
zone10,R02,TOL_2,2.107854850479025,1.6332601790975998,0.474594671381425,0.5855825473089817,0.4579445599291221,0.7499163684404587,0.2033221687796153,0.1585927232704315,0.05311426283496156,0.02769810219518099,0.025416160639780562
zone10,R10,CLARA,3.669094786357613,1.8765671416850418,1.7925276446725718,0.673139631642241,0.5262892123413249,0.7439791615234844,0.05354331698380586,0.5795097751203377,0.09606440081221032,0.005000791909973596,0.09106360890223672
zone10,R10,NMIN_10,3.669831726993275,1.8759617444574748,1.7938699825358004,0.6729762769020711,0.526119156940323,0.7445274521325652,0.053636109154993845,0.5792871928862976,0.09590218708890509,0.0050034407851899595,0.09089874630371514
