price_id,method,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap
R01,ACI,1.8421451304278278,1.673445024999555,0.1687001054282727,0.6725350133466893,0.46924643890397305,0.6660802366055419,0.012938352247251558,0.601192661211112,0.08788434913965457,0.0013773084082293113,0.08650704073142525
R01,AgACI,1.9334229609247173,1.779366493050781,0.15405646787393631,0.6993629191107409,0.49899966026667697,0.6814772364853693,0.013179207396198288,0.6861955051511243,0.11450259298107099,0.0011142915642941874,0.1133883014167768
R01,CART,1.734704587140311,1.5388955410079588,0.1958090461323523,0.6223858271185896,0.4314516400299292,0.6741453612793704,0.11267015507244475,0.33377064547199786,0.06576325281777783,0.015418601439513386,0.05034465137826444
R01,CLARA,1.6521871659581868,1.4375411506498825,0.2146460153083045,0.5907576100894001,0.40298130565968304,0.6709519356310871,0.18549606741938107,0.1824442264233577,0.05484610146066136,0.026020215973991834,0.02882588548666952
R01,EEE,1.7464583328588839,1.562657807073203,0.1838005257856811,0.6265460154561504,0.4381264338684809,0.655812388769388,0.07920130117183243,0.35308795354030464,0.061417805138423,0.011245152679708778,0.05017265245871422
R01,EnbPI-RH,1.6542773560912183,1.4391666366529936,0.21511071943822468,0.5934953145947452,0.40343790285156816,0.6656002158105635,0.16746835374419256,0.1920094818208795,0.05356841152656414,0.02377945975341808,0.02978895177314606
R01,LinUCB,1.6245908722442162,1.4021072029413613,0.22248366930285493,0.5794508824291873,0.39302794956178383,0.674569118062765,0.24098706304558587,0.17763877949757104,0.0620562204774526,0.03567175651973712,0.02638446395771548
R01,LinUCB (pre-period initialization),1.6246184706680435,1.3997610581818496,0.22485741248619415,0.5774043888812291,0.39236892013495467,0.6705636176837265,0.24256284578137727,0.1647701904377215,0.06143059259216534,0.03611058693576565,0.02532000565639968
R01,Static,1.5910296222076585,1.3586530735894822,0.2323765486181766,0.5656717479643949,0.3808217334517054,0.6771430195818395,0.29536959294357634,0.12830154430425747,0.06319049573365199,0.042945330431775085,0.020245165301876887
R01,TSC,1.7911207872906652,1.613431627938141,0.17768915935252394,0.6574929722261769,0.4523887431002051,0.6582432017331491,0.017047101747731202,0.5225509242050661,0.07407246621799783,0.002043460589103265,0.07202900562889457
R02,ACI,2.0108452358561,1.673445024999555,0.3374002108565454,0.6725350133466893,0.46924643890397305,0.6660802366055419,0.012938352247251558,0.601192661211112,0.08788434913965457,0.0013773084082293113,0.08650704073142525
