scope,metric,baseline,clara_mean,baseline_mean,difference,ci_low,ci_high,sign_flip_p,n_zones,bootstrap_draws,bootstrap_seed,relative_difference_pct,relative_ci_low_pct,relative_ci_high_pct,holm_p
ALL,mean_errf,Static,2.853115784150112,3.1534355401078487,-0.300319755957737,-0.313023192096766,-0.28624256247479607,0.001953125,10,10000,20260925,-9.523573643349813,-10.067844071604348,-8.966570757005323,0.017578125
ALL,mean_errf,ACI,2.853115784150112,2.976416401082641,-0.12330061693252974,-0.12671206067567903,-0.12005743864922311,0.001953125,10,10000,20260925,-4.142586262045855,-4.3685561164783335,-3.9116479551481227,0.017578125
ALL,mean_errf,AgACI,2.853115784150112,2.969236335933296,-0.11612055178318426,-0.12681609996235904,-0.10460270219083707,0.001953125,10,10000,20260925,-3.910788453512737,-4.4261118235777595,-3.4070956037942297,0.017578125
ALL,mean_errf,EnbPI-RH,2.853115784150112,3.1005948225163156,-0.24747903836620383,-0.260526674936166,-0.23492845927021086,0.001953125,10,10000,20260925,-7.98166327857569,-8.145769039902262,-7.8611663632240685,0.017578125
ALL,mean_errf,TSC,2.853115784150112,2.9858308205103317,-0.13271503636022008,-0.13811229352054483,-0.1268581654047351,0.001953125,10,10000,20260925,-4.444827732655543,-4.552084584220362,-4.345531904832746,0.017578125
ALL,mean_errf,EEE,2.853115784150112,2.9822587219617107,-0.12914293781159936,-0.13426772922906755,-0.12333918864236042,0.001953125,10,10000,20260925,-4.33037337976665,-4.472865491127943,-4.187404596387962,0.017578125
ALL,mean_errf,CART,2.853115784150112,2.934668078451565,-0.08155229430145403,-0.08739515690604596,-0.07438885018292272,0.001953125,10,10000,20260925,-2.7789273649128754,-2.9779459446292753,-2.5166814098553405,0.017578125
ALL,mean_errf,LinUCB,2.853115784150112,2.8969429512637404,-0.04382716711362904,-0.0558653925300094,-0.034089228418252696,0.001953125,10,10000,20260925,-1.512876430463006,-1.8822226605678636,-1.2137086849485978,0.017578125
ALL,mean_errf,LinUCB (pre-period initialization),2.853115784150112,2.904063463849841,-0.05094767969972982,-0.07505576359152,-0.030821116213820682,0.001953125,10,10000,20260925,-1.7543583442281019,-2.519548858616386,-1.0907536595069953,0.017578125
ALL,tuwr,Static,0.1023063795531924,0.29536959294357634,-0.19306321339038396,-0.2228613316489579,-0.16028668954230108,0.001953125,10,10000,20260925,,,,0.017578125
ALL,tuwr,ACI,0.1023063795531924,0.012938352247251558,0.08936802730594082,0.07909789740091029,0.10155722089919939,0.001953125,10,10000,20260925,,,,0.017578125
ALL,tuwr,AgACI,0.1023063795531924,0.01317920739619829,0.0891271721569941,0.07895749173163027,0.10118318792950579,0.001953125,10,10000,20260925,,,,0.017578125
ALL,tuwr,EnbPI-RH,0.1023063795531924,0.16746835374419256,-0.06516197419100019,-0.07125538044576687,-0.05840515917862336,0.001953125,10,10000,20260925,,,,0.017578125
ALL,tuwr,TSC,0.1023063795531924,0.017047101747731205,0.08525927780546118,0.07510134591598205,0.0971234787733309,0.001953125,10,10000,20260925,,,,0.017578125
ALL,tuwr,EEE,0.1023063795531924,0.07920130117183244,0.023105078381359938,0.012877509356056579,0.03393616003243259,0.00390625,10,10000,20260925,,,,0.017578125
ALL,tuwr,CART,0.1023063795531924,0.11458301818317133,-0.012276638629978975,-0.015771131527979727,-0.00868107385688642,0.001953125,10,10000,20260925,,,,0.017578125
ALL,tuwr,LinUCB,0.1023063795531924,0.13352019283579633,-0.03121381328260393,-0.038605805046861716,-0.02499699416670075,0.001953125,10,10000,20260925,,,,0.017578125
ALL,tuwr,LinUCB (pre-period initialization),0.1023063795531924,0.12457834014255906,-0.0222719605893667,-0.03152787953857282,-0.01270608198110193,0.005859375,10,10000,20260925,,,,0.017578125
R01,mean_errf,Static,1.6521871659581868,1.5910296222076585,0.06115754375052829,0.05362034526207199,0.06786112846748071,0.001953125,10,10000,20260925,3.8438972409368555,3.239563435546983,4.4257945794517335,0.017578125
R01,mean_errf,ACI,1.6521871659581868,1.8421451304278278,-0.18995796446964075,-0.20072327621708008,-0.17851163839126222,0.001953125,10,10000,20260925,-10.311780615543809,-11.22348458798057,-9.394825435833754,0.017578125
R01,mean_errf,AgACI,1.6521871659581868,1.9334229609247173,-0.2812357949665303,-0.2953713564315752,-0.26630871908757053,0.001953125,10,10000,20260925,-14.54600471032066,-15.714402179439377,-13.364122512329613,0.017578125
R01,mean_errf,EnbPI-RH,1.6521871659581868,1.6542773560912185,-0.0020901901330311777,-0.009128506761856616,0.004783588226543867,0.58984375,10,10000,20260925,-0.12635064642185778,-0.5626813034322053,0.2843179957483597,0.58984375
