method,price_id,rho,ERRF,TUWR_pct,TUWR,condition_count,zone_count,seed_count
CLARA,R01,1.0,1.6432419163456096,20.264373524753815,0.20264373524753815,2200,10,3
CLARA,R02,2.0,1.8722003280282553,17.609789931203288,0.17609789931203287,2200,10,3
CLARA,R05P6179775281,5.617977528089887,2.5629952925671176,8.072019866131802,0.08072019866131802,2200,10,3
CLARA,R10,10.0,3.28391843731497,5.396517204238353,0.053965172042383526,2200,10,3
CLARA,R20,20.0,4.863410345261913,3.10557150944184,0.0310557150944184,2200,10,3
CART,R01,1.0,1.7260457182016318,12.009867228915077,0.12009867228915076,2200,10,3
CART,R02,2.0,1.915073372688949,11.641978578129946,0.11641978578129945,2200,10,3
CART,R05P6179775281,5.617977528089887,2.5630395444529293,13.133960437178398,0.131339604371784,2200,10,3
CART,R10,10.0,3.3479846772713593,13.071008556358038,0.13071008556358038,2200,10,3
CART,R20,20.0,5.135696285185096,12.98776840704145,0.1298776840704145,2200,10,3
LinUCB,R01,1.0,1.6339683913162155,24.018849940681513,0.24018849940681514,2200,10,3
LinUCB,R02,2.0,1.8799237826678314,18.630873653607654,0.18630873653607655,2200,10,3
LinUCB,R05P6179775281,5.617977528089887,2.610144726590555,8.26261769751818,0.0826261769751818,2200,10,3
LinUCB,R10,10.0,3.3755831954219047,5.642841790107765,0.056428417901077645,2200,10,3
LinUCB,R20,20.0,5.093844754207209,5.1436797173501505,0.051436797173501504,2200,10,3
TSC,R01,1.0,1.7977265352554561,1.7045121368021747,0.01704512136802175,2200,10,3
TSC,R02,2.0,1.9758678278804127,1.7045121368021747,0.01704512136802175,2200,10,3
TSC,R05P6179775281,5.617977528089887,2.62037902142239,1.7045121368021747,0.01704512136802175,2200,10,3
TSC,R10,10.0,3.400998168880064,1.7045121368021747,0.01704512136802175,2200,10,3
TSC,R20,20.0,5.182411095129629,1.7045121368021747,0.01704512136802175,2200,10,3
EEE,R01,1.0,1.752326803951672,7.834058685171036,0.07834058685171036,2200,10,3
EEE,R02,2.0,1.9368762402045951,7.834058685171036,0.07834058685171036,2200,10,3
EEE,R05P6179775281,5.617977528089887,2.6045719533893297,7.834058685171036,0.07834058685171036,2200,10,3
EEE,R10,10.0,3.413271730227984,7.834058685171036,0.07834058685171036,2200,10,3
EEE,R20,20.0,5.2587660927572175,7.834058685171036,0.07834058685171036,2200,10,3
Static,R01,1.0,1.5974121119459779,29.578432586917742,0.2957843258691774,2200,10,3
Static,R02,2.0,1.8311503486711178,29.578432586917742,0.2957843258691774,2200,10,3
Static,R05P6179775281,5.617977528089887,2.6768100365980287,29.578432586917742,0.2957843258691774,2200,10,3
Static,R10,10.0,3.701056242472238,29.578432586917742,0.2957843258691774,2200,10,3
Static,R20,20.0,6.038438609723637,29.578432586917742,0.2957843258691774,2200,10,3
ACI,R01,1.0,1.8485445135032736,1.3165939004077865,0.013165939004077865,2200,10,3
ACI,R02,2.0,2.0178330036327203,1.3165939004077865,0.013165939004077865,2200,10,3
ACI,R05P6179775281,5.617977528089887,2.6303149566853254,1.3165939004077865,0.013165939004077865,2200,10,3
ACI,R10,10.0,3.372140924668294,1.3165939004077865,0.013165939004077865,2200,10,3
ACI,R20,20.0,5.065025825962764,1.3165939004077865,0.013165939004077865,2200,10,3
AgACI,R01,1.0,1.9352313868158766,1.4820152621089715,0.014820152621089714,2200,10,3
AgACI,R02,2.0,2.090549888420484,1.4820152621089715,0.014820152621089714,2200,10,3
AgACI,R05P6179775281,5.617977528089887,2.652488736922547,1.4820152621089715,0.014820152621089714,2200,10,3
AgACI,R10,10.0,3.333097901257345,1.4820152621089715,0.014820152621089714,2200,10,3
AgACI,R20,20.0,4.886282917303432,1.4820152621089715,0.014820152621089714,2200,10,3
EnbPI-RH,R01,1.0,1.663103424259121,16.251233773843904,0.16251233773843904,2200,10,3
EnbPI-RH,R02,2.0,1.8779401615291722,16.251233773843904,0.16251233773843904,2200,10,3
EnbPI-RH,R05P6179775281,5.617977528089887,2.655214649180368,16.251233773843904,0.16251233773843904,2200,10,3
EnbPI-RH,R10,10.0,3.596634059689582,16.251233773843904,0.16251233773843904,2200,10,3
EnbPI-RH,R20,20.0,5.745001432390093,16.251233773843904,0.16251233773843904,2200,10,3
