parameter,value,price_id,ERRF,TUWR_pct,ERRF_change_pct
NMIN,10,R01,1.6432838078371763,20.26129304013749,0.002549319801903316
NMIN,10,R02,1.872232044481692,17.60606798630592,0.001694073703628618
NMIN,10,R05P6179775281,2.562998022882921,8.0707254957311,0.0001065283190770927
NMIN,10,R10,3.2839215575827887,5.39410514597302,9.501660527266864e-05
NMIN,10,R20,4.863417389621448,3.106811302152,0.00014484402992565037
NMIN,10,ALL,2.8451705644812053,10.88780059405991,0.0006080719043177751
NMIN,20,R01,1.6432739798614076,20.2619177747445,0.001951235267250162
NMIN,20,R02,1.8722217578506344,17.606859905690612,0.0011446329785336218
NMIN,20,R05P6179775281,2.5629966490480465,8.07034427954302,5.292561140457508e-05
NMIN,20,R10,3.2839222563777177,5.39497106382352,0.00011629590750406038
NMIN,20,R20,4.863407292817682,3.10516795707462,-6.276345226874369e-05
NMIN,20,ALL,2.845164387191097,10.88785219617525,0.0003909556530734548
NMIN,30,R01,1.643275435523366,20.26176325771845,0.0020398200303306524
NMIN,30,R02,1.8722221626520528,17.60758244116249,0.0011662546721247224
NMIN,30,R05P6179775281,2.5629983044889664,8.07037590321132,0.00011751569959361774
NMIN,30,R10,3.2839168399858125,5.39490296368731,-4.864095096701604e-05
NMIN,30,R20,4.863402097462911,3.10512710517637,-0.0001695887950181607
NMIN,30,ALL,2.845162968022622,10.88795033419119,0.00034107544124584166
NMIN,50,R01,1.6432435708027653,20.26336682800438,0.00010068250688721747
NMIN,50,R02,1.8721989277801847,17.610017501572433,-7.479157277945347e-05
NMIN,50,R05P6179775281,2.5629953466441746,8.072532784409841,2.1099163527438236e-06
NMIN,50,R10,3.2839182890299483,5.39651720423835,-4.515490381606924e-06
NMIN,50,R20,4.863411216438043,3.10557150944184,1.791286501351408e-05
NMIN,50,ALL,2.845153470139023,10.88960116553337,7.248658717706746e-06
NU,0,R01,1.6432584744842154,20.26220408779496,0.0010076506959277864
NU,0,R02,1.8722215815293517,17.60109016823227,0.0011352151144228273
NU,0,R05P6179775281,2.563100997584004,8.07144131416401,0.004124276669292826
NU,0,R10,3.2840097758169096,5.39564915760653,0.00278138765270608
NU,0,R20,4.863584685372088,3.10871740188189,0.0035847295991819905
NU,0,ALL,2.845235102957313,10.88782042593593,0.002876437441123869
NU,10,R01,1.643254094794091,20.26149237842657,0.0007411232856302519
NU,10,R02,1.8722135121187753,17.601694781054462,0.0007042029809722905
NU,10,R05P6179775281,2.563075263937318,8.069112326289291,0.0031202308655275957
NU,10,R10,3.283958474236786,5.39444380454393,0.0012191813707040922
NU,10,R20,4.863490497311753,3.10836692500643,0.0016480626587211944
NU,10,ALL,2.845198368479745,10.88702204306414,0.0015853127050879934
NU,30,R01,1.643259488179862,20.25921929092227,0.0010693394610683526
NU,30,R02,1.872209354571329,17.60654274890821,0.0004821355352957468
NU,30,R05P6179775281,2.5630512679785573,8.06660402235562,0.002183984168913078
NU,30,R10,3.2839277300426253,5.39952470021582,0.00028297681058386814
NU,30,R20,4.863466875226054,3.1040067369992,0.0011623523439086014
NU,30,ALL,2.845182943199686,10.88717949988022,0.0010431528061793927
NU,60,R01,1.643266929594288,20.25447634762137,0.001522189059910417
NU,60,R02,1.8722053443433668,17.61004446399125,0.00026793687812887157
NU,60,R05P6179775281,2.5629372772897456,8.06806488959312,-0.002263573309724265
NU,60,R10,3.2837990472470997,5.4079211288433005,-0.003635597842899241
NU,60,R20,4.863247021153321,3.1059877686976702,-0.003358221844274034
NU,60,ALL,2.8450911239255645,10.88929891974934,-0.002184064345389647
NU,100,R01,1.6432891262928018,20.24837313562448,0.0028729760799484083
NU,100,R02,1.8722059088623115,17.61690165523172,0.00029808957793253654
NU,100,R05P6179775281,2.56283047321869,8.07120827785638,-0.006430731609441409
NU,100,R10,3.283670817153687,5.40908471294003,-0.007540387071403032
NU,100,R20,4.863039531845971,3.10346567460393,-0.007624555396656962
NU,100,ALL,2.845007171474692,10.889806691251309,-0.005134782394133897
