zone_or_farm,price_id,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap
Farm A,R01,ACI,0.47299084731881974,0.43416961848230534,0.038821228836514426,0.7199785310495513,0.47138041756300386,0.02931484081240594,0.8035201683398706,0.13754888265096674,,
Farm A,R01,AgACI,0.49419782082494296,0.4568287454894841,0.037369075335458905,0.7321771514450198,0.4968401108294968,0.07289861955030706,0.797450953400956,0.15750929615173315,,
Farm A,R01,CART,0.40835018864335343,0.3567574319995223,0.05159275664383111,0.6190959388709125,0.3844004327508881,0.2625717519587631,0.48780358847545613,0.0847846572278268,,
Farm A,R01,CLARA_online,0.40956419070759115,0.3624936966565485,0.047070494051042334,0.6441399887687286,0.39084567393855457,0.1386913134965109,0.6019039909809605,0.07850114326975687,0.010276808762722371,0.0682243345070345
Farm A,R01,EEE,0.42781100839041014,0.3841660812171365,0.043644927173273666,0.6430850389542309,0.41519666782685577,0.18869044070968252,0.5960602803068846,0.0937745276215924,0.019143047115821446,0.07463148050577095
Farm A,R01,EnbPI-RH,0.38374792351047965,0.32696794996533207,0.056779973545147584,0.6051555245509019,0.3509291046225845,0.2897778179087549,0.42143877091410503,0.07166858632326423,,
Farm A,R01,LinUCB,0.38340523063422494,0.3264758768649303,0.056929353769294665,0.6040055853477798,0.35037621349853754,0.28787720094703656,0.4261943186429731,0.07770050033498833,,
Farm A,R01,Static,0.37787848898102877,0.3186980109314127,0.059180478049616084,0.5964856857997352,0.341637038292338,0.3292677214807976,0.4042309503834691,0.07988251651133711,,
Farm A,R01,TSC,0.38393533250455064,0.3266451128562432,0.057290219648307446,0.6019017632869255,0.35056636629776067,0.290864964813616,0.4295534968999784,0.07384499890827674,0.02961501872812362,0.044229980180153096
Farm A,R02,ACI,0.5118120761553342,0.43416961848230534,0.07764245767302885,0.7199785310495513,0.47138041756300386,0.02931484081240594,0.8035201683398706,0.13754888265096674,,
Farm A,R02,AgACI,0.5315668961604019,0.4568287454894841,0.07473815067091781,0.7321771514450198,0.4968401108294968,0.07289861955030706,0.797450953400956,0.15750929615173315,,
Farm A,R02,CART,0.4621485977503653,0.36452525037005173,0.09762334738031354,0.6312902429096294,0.39312831856047176,0.22082079273244118,0.5474633926059517,0.08761781747221817,,
Farm A,R02,CLARA_online,0.46234421519949986,0.3713768704587748,0.09096734474072417,0.6525545253639617,0.40082676809835943,0.11767579968280438,0.6421265150860326,0.08312565265727821,0.008301427519613075,0.07482422513766511
Farm A,R02,EEE,0.4714559355636837,0.3841660812171365,0.08728985434654733,0.6430850389542309,0.41519666782685577,0.18869044070968252,0.5960602803068846,0.0937745276215924,0.019143047115821446,0.07463148050577095
Farm A,R02,EnbPI-RH,0.4405278970556273,0.32696794996533207,0.11355994709029517,0.6051555245509019,0.3509291046225845,0.2897778179087549,0.42143877091410503,0.07166858632326423,,
Farm A,R02,LinUCB,0.4445802048767788,0.3365128534791061,0.10806735139767269,0.6154551729391411,0.3616537153122182,0.2608194369575548,0.4746678324523365,0.08222259887526234,,
Farm A,R02,Static,0.4370589670306449,0.3186980109314127,0.11836095609923217,0.5964856857997352,0.341637038292338,0.3292677214807976,0.4042309503834691,0.07988251651133711,,
Farm A,R02,TSC,0.4412255521528581,0.3266451128562432,0.11458043929661489,0.6019017632869255,0.35056636629776067,0.290864964813616,0.4295534968999784,0.07384499890827674,0.02961501872812362,0.044229980180153096
Farm A,R05P6179775281,ACI,0.6522664096986786,0.43416961848230534,0.2180967912163732,0.7199785310495513,0.47138041756300386,0.02931484081240594,0.8035201683398706,0.13754888265096674,,
Farm A,R05P6179775281,AgACI,0.6667673709695904,0.4568287454894841,0.20993862548010622,0.7321771514450198,0.4968401108294968,0.07289861955030706,0.797450953400956,0.15750929615173315,,
Farm A,R05P6179775281,CART,0.6232327319173796,0.3805785875515937,0.2426541443657859,0.6704773170193545,0.41116577606782223,0.17434189627520988,0.6340283157520527,0.11628240505677058,,
Farm A,R05P6179775281,CLARA_online,0.6212761725873661,0.40602955746878405,0.21524661511857904,0.7163931716405192,0.4397623714803913,0.062172688142924246,0.772201590544531,0.13788492185079473,0.0033169808206937085,0.13456794103010095
Farm A,R05P6179775281,EEE,0.6293623012917074,0.3841660812171365,0.2451962200745711,0.6430850389542309,0.41519666782685577,0.18869044070968252,0.5960602803068846,0.0937745276215924,0.019143047115821446,0.07463148050577095
Farm A,R05P6179775281,EnbPI-RH,0.6459565653875096,0.32696794996533207,0.31898861542217744,0.6051555245509019,0.3509291046225845,0.2897778179087549,0.42143877091410503,0.07166858632326423,,
Farm A,R05P6179775281,LinUCB,0.6298742398261022,0.39088267072016214,0.23899156910594002,0.6805522231985061,0.42274339760553964,0.13009915858699486,0.6843610968740645,0.11798676544015296,,
Farm A,R05P6179775281,Static,0.6511726067157727,0.3186980109314127,0.33247459578436006,0.5964856857997352,0.341637038292338,0.3292677214807976,0.4042309503834691,0.07988251651133711,,
Farm A,R05P6179775281,TSC,0.6341568048963532,0.42021171714772865,0.213945087748622,0.7241762510869121,0.45569738235560686,0.02040775550775797,0.8401712650603751,0.14120541277563206,0.0007617266752629786,0.1404436861003691
Farm A,R10,ACI,0.8223819068474497,0.43416961848230534,0.38821228836514426,0.7199785310495513,0.47138041756300386,0.02931484081240594,0.8035201683398706,0.13754888265096674,,
Farm A,R10,AgACI,0.8305194988440732,0.4568287454894841,0.37369075335458907,0.7321771514450198,0.4968401108294968,0.07289861955030706,0.797450953400956,0.15750929615173315,,
Farm A,R10,CART,0.8075020788852453,0.3822560779903723,0.4252460008948729,0.6786303751110295,0.41305059678555106,0.1676746015330304,0.6478311868349138,0.12274012098668906,,
Farm A,R10,CLARA_online,0.7907981624872128,0.42093048518676357,0.3698676773004467,0.7305709049605713,0.4565049868938511,0.04944375567928654,0.8041722860901335,0.1502204056130556,0.0022459585347454117,0.14797444707831015
Farm A,R10,EEE,0.8206153529498731,0.3841660812171365,0.43644927173273673,0.6430850389542309,0.41519666782685577,0.18869044070968252,0.5960602803068846,0.0937745276215924,0.019143047115821446,0.07463148050577095
Farm A,R10,EnbPI-RH,0.894767685416808,0.32696794996533207,0.5677997354514758,0.6051555245509019,0.3509291046225845,0.2897778179087549,0.42143877091410503,0.07166858632326423,,
Farm A,R10,LinUCB,0.8114400739946531,0.4164470859636081,0.394992988031045,0.7078868946210823,0.4514674596768271,0.09835388417159258,0.7519676378202669,0.13956117964492645,,
Farm A,R10,Static,0.9105027914275735,0.3186980109314127,0.5918047804961609,0.5964856857997352,0.341637038292338,0.3292677214807976,0.4042309503834691,0.07988251651133711,,
Farm A,R10,TSC,0.8010339733402787,0.42021171714772865,0.38082225619254745,0.7241762510869121,0.45569738235560686,0.02040775550775797,0.8401712650603751,0.14120541277563206,0.0007617266752629786,0.1404436861003691
Farm A,R20,ACI,1.210594195212594,0.43416961848230534,0.7764245767302885,0.7199785310495513,0.47138041756300386,0.02931484081240594,0.8035201683398706,0.13754888265096674,,
Farm A,R20,AgACI,1.2042102521986624,0.4568287454894841,0.7473815067091781,0.7321771514450198,0.4968401108294968,0.07289861955030706,0.797450953400956,0.15750929615173315,,
