method,R01,R02,R05P6179775281,R10,R20
CLARA_online,18.104539251998681,14.97276333760102,8.7409871301221305,5.4998042359053496,5.0197881037366203
TSC,25.72781920458241,25.72781920458241,12.2049587392895,1.76384677298448,2.1152664512206898
LinUCB,37.591129129864939,33.385112711513699,16.970549225646732,12.37376372931277,9.7743243023055904
CART,25.208912783972,22.797689918365368,19.988051127651229,17.158673955786842,15.85463936978813
EEE,16.444270621753379,16.444270621753379,16.444270621753379,16.444270621753379,16.444270621753379
EnbPI-RH,26.49050406087175,26.49050406087175,26.49050406087175,26.49050406087175,26.49050406087175
ACI,3.4404622661861297,3.4404622661861297,3.4404622661861297,3.4404622661861297,3.4404622661861297
Static,37.627870766889913,37.627870766889913,37.627870766889913,37.627870766889913,37.627870766889913
AgACI,9.4734731108021499,9.4734731108021499,9.4734731108021499,9.4734731108021499,9.4734731108021499
