method,n,median_TUWR_pct,mean_TUWR_pct,maximum_TUWR_pct
ACI,2161,0,1.1075449935146582,23.795058728230053
AgACI,2112,0,0.81867052174100519,20.909275010125558
EEE,1800,2.3302232643529828,4.7923072939672933,31.257594167679219
EnbPI-RH,1571,13.238841978287095,13.464350067746006,33.242203321182664
Static,401,10.927814437112577,11.693891979896049,34.811664641555282
TSC,2163,0,1.504822167442385,24.767112191170515
