zone_or_farm,price_id,predictor,horizon_steps,target_coverage,method,excess_ERRF_pct
zone1,R05P6179775281,GBR,1,0.5,Static,3.373895368999591
zone1,R05P6179775281,GBR,1,0.59999999999999998,Static,0.78692889531628563
zone1,R05P6179775281,GBR,1,0.69999999999999996,Static,0
zone1,R05P6179775281,GBR,1,0.80000000000000004,Static,0
zone1,R05P6179775281,GBR,1,0.90000000000000002,Static,0
zone1,R05P6179775281,GBR,1,0.94999999999999996,Static,0
zone1,R05P6179775281,GBR,1,0.98999999999999999,Static,0
zone1,R05P6179775281,GBR,3,0.10000000000000001,Static,11.971401048359986
zone1,R05P6179775281,GBR,3,0.20000000000000001,Static,11.38677461649953
zone1,R05P6179775281,GBR,3,0.29999999999999999,Static,8.0412072774280539
zone1,R05P6179775281,GBR,3,0.40000000000000002,Static,5.8069894848783221
zone1,R05P6179775281,GBR,3,0.5,Static,3.1586295990466473
zone1,R05P6179775281,GBR,3,0.59999999999999998,Static,0.84552799240371623
zone1,R05P6179775281,GBR,3,0.69999999999999996,Static,0
zone1,R05P6179775281,GBR,3,0.80000000000000004,Static,0
zone1,R05P6179775281,GBR,3,0.90000000000000002,Static,0
zone1,R05P6179775281,GBR,3,0.94999999999999996,Static,0
zone1,R05P6179775281,GBR,3,0.98999999999999999,Static,0
zone1,R05P6179775281,GBR,6,0.10000000000000001,Static,13.375033868098551
zone1,R05P6179775281,GBR,6,0.20000000000000001,Static,12.481176842027253
zone1,R05P6179775281,GBR,6,0.29999999999999999,Static,9.2183939742327645
zone1,R05P6179775281,GBR,6,0.40000000000000002,Static,6.4188133236849687
zone1,R05P6179775281,GBR,6,0.5,Static,3.1164024742537322
zone1,R05P6179775281,GBR,6,0.59999999999999998,Static,0.54701295142811635
zone1,R05P6179775281,GBR,6,0.69999999999999996,Static,0
zone1,R05P6179775281,GBR,6,0.80000000000000004,Static,0
zone1,R05P6179775281,GBR,6,0.90000000000000002,Static,0
zone1,R05P6179775281,GBR,6,0.94999999999999996,Static,0
zone1,R05P6179775281,GBR,6,0.98999999999999999,Static,0
zone1,R05P6179775281,GBR,12,0.10000000000000001,Static,13.757490991268263
zone1,R05P6179775281,GBR,12,0.20000000000000001,Static,13.646124019303251
zone1,R05P6179775281,GBR,12,0.29999999999999999,Static,10.853880468604915
zone1,R05P6179775281,GBR,12,0.40000000000000002,Static,7.0777169045638022
zone1,R05P6179775281,GBR,12,0.5,Static,4.4102267607759371
zone1,R05P6179775281,GBR,12,0.59999999999999998,Static,1.5158534254059663
zone1,R05P6179775281,GBR,12,0.69999999999999996,Static,0
zone1,R05P6179775281,GBR,12,0.80000000000000004,Static,0
zone1,R05P6179775281,GBR,12,0.90000000000000002,Static,0
zone1,R05P6179775281,GBR,12,0.94999999999999996,Static,0
zone1,R05P6179775281,GBR,12,0.98999999999999999,Static,0
