price_id,target_predictor,source_predictor,ERRF,matched_ERRF,change_pct,ci95_low,ci95_high,zones_increase,zones_decrease
ALL,GBR,GBR,2.7213627864049417,2.7213627864049417,0,0,0,0,0
ALL,GBR,MLP,2.7274611933620347,2.7213627864049417,0.2240938616328014,0.1613060149262002,0.27548144986429268,9,1
ALL,GBR,QRLSTM,2.7250904929049442,2.7213627864049417,0.13697940306323089,0.0932154531972995,0.181662862079323,9,1
ALL,GBR,Ridge,2.7261161027969658,2.7213627864049417,0.1746667668041324,0.14394041490815021,0.20733733145942559,10,0
ALL,MLP,GBR,2.9033497878414041,2.8959484006212715,0.25557731686602908,0.1671557452912569,0.34666658509458481,10,0
ALL,MLP,MLP,2.8959484006212715,2.8959484006212715,0,0,0,0,0
ALL,MLP,QRLSTM,2.8972286672316372,2.8959484006212715,0.044208888876995298,-0.027312455324006901,0.1064325661203951,7,3
ALL,MLP,Ridge,2.9021546795573872,2.8959484006212715,0.21430903032610971,0.12546006965153669,0.29163500828788602,9,1
ALL,QRLSTM,GBR,2.8591886126578623,2.8532138512956435,0.20940461085683371,0.168856962448205,0.24793586141556351,10,0
ALL,QRLSTM,MLP,2.8573320988360811,2.8532138512956435,0.1443371494417755,0.085714418514565793,0.20232611656128319,9,1
ALL,QRLSTM,QRLSTM,2.8532138512956435,2.8532138512956435,0,0,0,0,0
ALL,QRLSTM,Ridge,2.8646260420515999,2.8532138512956435,0.39997670524325452,0.32026352366938238,0.47372703944277611,10,0
ALL,Ridge,GBR,2.8065463094719201,2.8005226882172822,0.21508917888724,0.17818071709008509,0.2537795002825593,10,0
ALL,Ridge,MLP,2.8062123440807234,2.8005226882172822,0.20316406959954841,0.17547701451870901,0.23037041121053531,10,0
ALL,Ridge,QRLSTM,2.8071825217950681,2.8005226882172822,0.2378068067723671,0.18377023244882101,0.28249098425143782,10,0
ALL,Ridge,Ridge,2.8005226882172822,2.8005226882172822,0,0,0,0,0
R01,GBR,GBR,1.6319376540674759,1.6319376540674759,0,0,0,0,0
R01,GBR,MLP,1.6334471824583223,1.6319376540674759,0.092499145851809794,0.016425247834530501,0.1566875897836999,9,1
R01,GBR,QRLSTM,1.6326441128611957,1.6319376540674759,0.043289570037119397,-0.024020298673368901,0.095773817365941094,8,2
R01,GBR,Ridge,1.6320793120563557,1.6319376540674759,0.0086803554367742009,-0.040639489771155599,0.066191500247358398,5,5
R01,MLP,GBR,1.553569119591468,1.5517940412743263,0.11438878291374351,0.0094112414973478997,0.22640158000438149,7,3
R01,MLP,MLP,1.5517940412743263,1.5517940412743263,0,0,0,0,0
R01,MLP,QRLSTM,1.5515020043387702,1.5517940412743263,-0.018819310281425999,-0.117200969201531,0.066497984818590899,4,6
R01,MLP,Ridge,1.5564823883064265,1.5517940412743263,0.3021243095024273,0.10170524532598529,0.50645579444609279,9,1
R01,QRLSTM,GBR,1.5539737023761959,1.552007292811693,0.1267010518320788,0.073099860594335597,0.17398664490371191,9,1
R01,QRLSTM,MLP,1.5541264211094887,1.552007292811693,0.1365411301616159,0.094088730339515397,0.1858773023181603,10,0
R01,QRLSTM,QRLSTM,1.552007292811693,1.552007292811693,0,0,0,0,0
R01,QRLSTM,Ridge,1.5578788906162333,1.552007292811693,0.37832282307790338,0.19797244975684081,0.56513553263668848,10,0
R01,Ridge,GBR,1.6250110190987239,1.6224079328464489,0.16044585332544159,0.078580471370570101,0.24619669726608781,9,1
R01,Ridge,MLP,1.626804193421967,1.6224079328464489,0.27097134367466408,0.22273954094434889,0.32086071572533559,10,0
R01,Ridge,QRLSTM,1.6263657242215637,1.6224079328464489,0.24394551425614969,0.17421647528585879,0.30663908031811399,10,0
R01,Ridge,Ridge,1.6224079328464489,1.6224079328464489,0,0,0,0,0
R02,GBR,GBR,1.8366779105718043,1.8366779105718043,0,0,0,0,0
R02,GBR,MLP,1.8379891731759299,1.8366779105718043,0.071393171147660001,0.0086519205179296996,0.1244598577660927,9,1
R02,GBR,QRLSTM,1.837609292520892,1.8366779105718043,0.0507101405056831,0.0092873817380150995,0.088308910673438504,9,1
R02,GBR,Ridge,1.836566629222836,1.8366779105718043,-0.0060588385327742002,-0.0486241209824195,0.0457286568238734,4,6
R02,MLP,GBR,1.8126566136414552,1.8110056522063411,0.091162688150791996,0.0101509992838311,0.17299704173331751,7,3
R02,MLP,MLP,1.8110056522063411,1.8110056522063411,0,0,0,0,0
R02,MLP,QRLSTM,1.8112579789040075,1.8110056522063411,0.013932960251050701,-0.057428414124913403,0.075300230927811601,5,5
R02,MLP,Ridge,1.814689082899422,1.8110056522063411,0.20339145206935691,0.063223036533304702,0.3456515373230577,8,2
R02,QRLSTM,GBR,1.8020371011972656,1.8002938870279703,0.096829422232436096,0.057686440707656599,0.1336158646751672,9,1
R02,QRLSTM,MLP,1.8020278788952344,1.8002938870279703,0.0963171557576636,0.058492891809877601,0.14005894068567501,10,0
R02,QRLSTM,QRLSTM,1.8002938870279703,1.8002938870279703,0,0,0,0,0
R02,QRLSTM,Ridge,1.8048754102572773,1.8002938870279703,0.2544875179724348,0.12662300198651441,0.386026459785898,10,0
R02,Ridge,GBR,1.8565219546084224,1.85395728525402,0.13833486751835261,0.069387770231266702,0.2111203896904299,10,0
R02,Ridge,MLP,1.8579223315850573,1.85395728525402,0.21386934653644379,0.17412147084632121,0.25656086007905138,10,0
R02,Ridge,QRLSTM,1.8580606040929908,1.85395728525402,0.22132758244259859,0.16322736878837671,0.27362052883819971,10,0
R02,Ridge,Ridge,1.85395728525402,1.85395728525402,0,0,0,0,0
R05P6179775281,GBR,GBR,2.476508331312393,2.476508331312393,0,0,0,0,0
R05P6179775281,GBR,MLP,2.4839125482325288,2.476508331312393,0.29897807435244061,0.2403303524216471,0.3620829705798228,10,0
R05P6179775281,GBR,QRLSTM,2.4816561743371581,2.476508331312393,0.20786697786059349,0.14350027215373759,0.2748773678666343,10,0
R05P6179775281,GBR,Ridge,2.480913924961146,2.476508331312393,0.17789536958343621,0.14079380461881341,0.21178846526650469,10,0
R05P6179775281,MLP,GBR,2.5989760945036218,2.5920904239868885,0.26564160158202288,0.16302992332152211,0.36518223200042049,9,1
R05P6179775281,MLP,MLP,2.5920904239868885,2.5920904239868885,0,0,0,0,0
R05P6179775281,MLP,QRLSTM,2.593588888459573,2.5920904239868885,0.057809112630402497,-0.024499035597010301,0.12351531649245399,8,2
R05P6179775281,MLP,Ridge,2.5975980498857827,2.5920904239868885,0.21247815461711281,0.1102399160206174,0.30263478247394221,9,1
R05P6179775281,QRLSTM,GBR,2.5621951611036038,2.555474687172254,0.26298338876469263,0.1721952906149693,0.34658947067006329,10,0
R05P6179775281,QRLSTM,MLP,2.5596850539451941,2.555474687172254,0.16475869606828999,0.098660796878061105,0.22431335610166131,9,1
R05P6179775281,QRLSTM,QRLSTM,2.555474687172254,2.555474687172254,0,0,0,0,0
R05P6179775281,QRLSTM,Ridge,2.56739368352354,2.555474687172254,0.46641026855462892,0.34089886787962098,0.56883558239255783,10,0
R05P6179775281,Ridge,GBR,2.5572476633851502,2.5510742337474035,0.24199333583008181,0.185622711499277,0.29982463558283651,10,0
R05P6179775281,Ridge,MLP,2.5586128176874707,2.5510742337474035,0.29550625537828612,0.22903977725622471,0.36726792368857558,10,0
R05P6179775281,Ridge,QRLSTM,2.5601384706314332,2.5510742337474035,0.35531058893236711,0.27024292786054721,0.43934343196784631,10,0
R05P6179775281,Ridge,Ridge,2.5510742337474035,2.5510742337474035,0,0,0,0,0
R10,GBR,GBR,3.1274883101332533,3.1274883101332533,0,0,0,0,0
R10,GBR,MLP,3.1358651590797324,3.1274883101332533,0.26784589152060168,0.21527101829556189,0.32116525715280669,10,0
R10,GBR,QRLSTM,3.1328415450148919,3.1274883101332533,0.17116722272929591,0.1126849554787667,0.23574487961203869,10,0
R10,GBR,Ridge,3.1349804119296132,3.1274883101332533,0.23955650839957429,0.20089069520735969,0.27475959273056899,10,0
R10,MLP,GBR,3.4002296064826232,3.3898866450339527,0.30511230998897521,0.1903703815616114,0.41607127663254689,9,1
R10,MLP,MLP,3.3898866450339527,3.3898866450339527,0,0,0,0,0
R10,MLP,QRLSTM,3.3920158255156627,3.3898866450339527,0.062809784062522994,-0.020075233887428798,0.14021643003253689,7,3
R10,MLP,Ridge,3.3961972543602266,3.3898866450339527,0.18615989226420379,0.12153905168123311,0.23904594948543961,9,1
R10,QRLSTM,GBR,3.3397159600989874,3.3317907331208274,0.23786688939904099,0.1672014447059072,0.29862023960211748,10,0
R10,QRLSTM,MLP,3.3364320536436112,3.3317907331208274,0.13930408283584489,0.076890071472128702,0.20152285544625659,9,1
R10,QRLSTM,QRLSTM,3.3317907331208274,3.3317907331208274,0,0,0,0,0
R10,QRLSTM,Ridge,3.3464116192033053,3.3317907331208274,0.4388296640942535,0.3468787877185503,0.52415009630816467,10,0
R10,Ridge,GBR,3.2504572185564826,3.2422323470648493,0.25367927437647259,0.1352261142278082,0.36178735202143542,9,1
R10,Ridge,MLP,3.2487875244037481,3.2422323470648493,0.20218098634519061,0.13614040734689631,0.2543316940286422,9,1
R10,Ridge,QRLSTM,3.2503100813757491,3.2422323470648493,0.2491411301294377,0.1630550207284015,0.33212081326672349,10,0
R10,Ridge,Ridge,3.2422323470648493,3.2422323470648493,0,0,0,0,0
R20,GBR,GBR,4.5342017259397824,4.5342017259397824,0,0,0,0,0
R20,GBR,MLP,4.5460919038636582,4.5342017259397824,0.26223310391888521,0.17121645490826559,0.33234984890436581,9,1
R20,GBR,QRLSTM,4.5407013397905818,4.5342017259397824,0.1433463759147546,0.079872709424096397,0.2011841462509133,9,1
R20,GBR,Ridge,4.5460402358148784,4.5342017259397824,0.26109358583163988,0.2002971659252433,0.32361477547675649,10,0
R20,MLP,GBR,5.1513175049878503,5.13496524060485,0.31844936853115952,0.1955891445650359,0.45685844515294222,10,0
R20,MLP,MLP,5.13496524060485,5.13496524060485,0,0,0,0,0
R20,MLP,QRLSTM,5.1377786389401736,5.13496524060485,0.054789043420910802,-0.022419151217300499,0.13048040509735101,7,3
R20,MLP,Ridge,5.145806622335078,5.13496524060485,0.2111286293527303,0.14380807422797401,0.27232884240215349,9,1
R20,QRLSTM,GBR,5.0380211385132565,5.0265026563454702,0.22915500011215781,0.14718497100423769,0.32858952705781591,10,0
R20,QRLSTM,MLP,5.034389086586879,5.0265026563454702,0.15689696754568319,0.0774006246610459,0.23778145432910669,8,2
R20,QRLSTM,QRLSTM,5.0265026563454702,5.0265026563454702,0,0,0,0,0
R20,QRLSTM,Ridge,5.0465706066576415,5.0265026563454702,0.399242807259581,0.33219588272029088,0.46202331153078757,10,0
R20,Ridge,GBR,4.7434936917108184,4.732941642173687,0.222949073428369,0.1482250432084386,0.287894599692603,10,0
R20,Ridge,MLP,4.7389348533053743,4.732941642173687,0.1266276152294798,0.050613574545892402,0.19765684518032009,8,2
R20,Ridge,QRLSTM,4.7410377286536027,4.732941642173687,0.17105823591345709,0.075696971043258607,0.26571078479238952,8,2
R20,Ridge,Ridge,4.732941642173687,4.732941642173687,0,0,0,0,0
