method,R01,R02,R05P6179775281,R10,R20
CLARA_online,6.888236941320325,4.259800625790411,0.0,0.0,0.0
TSC,2.018008374139324,0.12820199752512362,0.3162020221658235,2.4260669164175575,1.3558028955474422
LinUCB,0.0,0.0,0.2665974273276639,2.082326769794518,2.5990833175371986
CART,10.634946367578246,6.932376605422341,0.15872691115079718,1.881977224973963,4.542674643916245
EEE,16.56287213465677,9.957369437565045,1.4830252267238997,2.9391737396070594,5.638638218794378
EnbPI-RH,3.291211305795705,1.092739832126588,1.8638146116620735,9.606500791970829,20.104688490476374
ACI,31.30154167299226,22.18813507712971,8.852681597459778,7.5400500287489125,6.8711088808991905
Static,1.0432088783996374,0.3172890387983074,4.299359481069098,14.388671547896159,27.818150132947682
AgACI,36.68615276248779,26.71853184536037,11.747638393343562,9.532953344733519,7.77095462447408
