method,R01,R02,R05P6179775281,R10,R20
CLARA_online,18.10453925199868,14.97276333760102,8.74098713012213,5.49980423590535,5.01978810373662
TSC,25.72781920458241,25.72781920458241,12.2049587392895,1.76384677298448,2.11526645122069
LinUCB,37.59112912986494,33.3851127115137,16.97054922564673,12.37376372931277,9.77432430230559
CART,25.208912783972,22.797689918365368,19.98805112765123,17.158673955786842,15.85463936978813
EEE,16.44427062175338,16.44427062175338,16.44427062175338,16.44427062175338,16.44427062175338
EnbPI-RH,26.49050406087175,26.49050406087175,26.49050406087175,26.49050406087175,26.49050406087175
ACI,3.4404622661861297,3.4404622661861297,3.4404622661861297,3.4404622661861297,3.4404622661861297
Static,37.627870766889906,37.627870766889906,37.627870766889906,37.627870766889906,37.627870766889906
AgACI,9.47347311080215,9.47347311080215,9.47347311080215,9.47347311080215,9.47347311080215
