farm_id,price_id,regime,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap
FarmA,rho_1,ordinary,ACI,0.411072840227274,0.386548548363819,0.02452429186345488,0.7594257259616947,0.42799299409816133,0.02539007569013586,0.817533549748773,0.1415750944563878,0.0011348215954545295,0.14044027286093327
FarmA,rho_1,ordinary,AgACI,0.43293952943706965,0.40913978909658366,0.02379974034048601,0.7647119394600691,0.4533764106518286,0.06721513472870493,0.8090449521244786,0.1604242712567088,0.004453479340590654,0.15597079191611818
FarmA,rho_1,ordinary,CART,0.3563401415329491,0.3257622413321583,0.030577900200790764,0.6961312978746522,0.359693772714273,0.2380968580725512,0.5153869791605452,0.08663893612339445,0.02275619436506282,0.06388274175833164
FarmA,rho_1,ordinary,CLARA,0.330621743454715,0.2991540673858034,0.031467676068911536,0.6926363005780591,0.3297969480554473,0.12918069100119003,0.6243367228792515,0.08285063329491653,0.009988014336554572,0.07286261895836199
FarmA,rho_1,ordinary,CLARA_cost_update,0.32649554868650965,0.2943736552812279,0.03212189340528174,0.6869963343046664,0.3244256984997445,0.15176403676890324,0.5991537735450017,0.08401452472791555,0.013257939742295282,0.0707565849856203
FarmA,rho_1,ordinary,CLARA_coverage_update,0.3354441719449756,0.30430844846344834,0.031135723481527263,0.6990860506023848,0.33558838746853153,0.11761044656538835,0.6499179687208035,0.08578114667825663,0.009210872066914552,0.07657027461134212
FarmA,rho_1,ordinary,CLARA_frozen,0.33109160681567507,0.2993045853142459,0.03178702150142908,0.6922253695081237,0.32996606932336053,0.14095350700526887,0.6170358740601413,0.08614514888664607,0.012383596034356093,0.07376155285229004
FarmA,rho_1,ordinary,EEE,0.3708662476158234,0.34532222406914204,0.025544023546681494,0.7184507324867225,0.38167128140751405,0.17104703872404464,0.6160434900742929,0.09549861687526925,0.016736853037416663,0.0787617638378526
FarmA,rho_1,ordinary,EnbPI-RH,0.32902752795419965,0.29623035117306973,0.03279717678112993,0.6943493903696714,0.32651187365911805,0.25713218951323263,0.46050611772823324,0.07381498424011969,0.02339376770312855,0.050421216536991165
FarmA,rho_1,ordinary,LinUCB,0.3272124696423499,0.2949122121865738,0.03230025745577608,0.6952572666338611,0.32503081861811106,0.25743868386180696,0.46223086802117647,0.079760356091453,0.026798545878478016,0.05296181021297497
FarmA,rho_1,ordinary,Static,0.3224255464833455,0.28937020764309834,0.03305533884024713,0.6919013430602344,0.3188038472209476,0.2975416681089961,0.4376612443275494,0.08107865663395504,0.031391570374111326,0.04968708625984368
FarmA,rho_1,ordinary,TSC,0.3296835980261535,0.29692695549001547,0.03275664253613805,0.6923364329039919,0.32729457513883214,0.26110855932327265,0.46837302752517385,0.07580626189548867,0.0259629291313947,0.04984333276409402
FarmA,rho_1,overall,ACI,0.47299084731882707,0.4341696184823116,0.03882122883651445,0.7199785310495513,0.47138041756300403,0.02931484081240594,0.8035201683398706,0.13754888265096676,0.0013198389923520825,0.1362290436586146
FarmA,rho_1,overall,AgACI,0.4941978208249486,0.45682874548948826,0.037369075335458926,0.7321771514450198,0.4968401108294968,0.07289861955030706,0.797450953400956,0.15750929615173312,0.004897837064872085,0.15261145908686102
FarmA,rho_1,overall,CART,0.40835018864335787,0.35675743199952653,0.05159275664383111,0.6190959388709125,0.3844004327508888,0.2625717519587631,0.48780358847545613,0.08478465722782672,0.026114449786746343,0.05867020744108034
FarmA,rho_1,overall,CLARA,0.40956419070759115,0.3624936966565485,0.047070494051042334,0.6441399887687286,0.39084567393855457,0.1386913134965109,0.6019039909809605,0.07850114326975687,0.010276808762722371,0.0682243345070345
FarmA,rho_1,overall,CLARA_cost_update,0.406483112651044,0.3586278764295925,0.047855236221451186,0.638574388507459,0.38650205570602003,0.16328387838205832,0.5759291520660205,0.07981150195358816,0.013707816684781639,0.06610368526880649
FarmA,rho_1,overall,CLARA_coverage_update,0.4128550641832469,0.3660749034278379,0.046780160755408765,0.6485672545615261,0.3948695017714627,0.12766585120704957,0.627397221345819,0.08126383460473129,0.009516608843601714,0.07174722576112953
FarmA,rho_1,overall,CLARA_frozen,0.4093814865909344,0.3618561817409432,0.047525304849990894,0.642457121699482,0.39012936504461515,0.15217103725755046,0.5940770789747591,0.08180160021226174,0.01281011187564004,0.06899148833662169
FarmA,rho_1,overall,EEE,0.42781100839041,0.38416608121713636,0.04364492717327366,0.6430850389542309,0.4151966678268556,0.18869044070968252,0.5960602803068846,0.09377452762159244,0.019143047115821446,0.07463148050577097
FarmA,rho_1,overall,EnbPI-RH,0.38374792351048354,0.326967949965336,0.05677997354514759,0.6051555245509019,0.3509291046225847,0.2897778179087549,0.42143877091410503,0.07166858632326423,0.027141340838259823,0.04452724548500432
FarmA,rho_1,overall,LinUCB,0.38340523063422877,0.3264758768649338,0.056929353769294665,0.6040055853477798,0.3503762134985388,0.28787720094703656,0.4261943186429731,0.0777005003349883,0.0305266109060352,0.04717388942895307
FarmA,rho_1,overall,Static,0.3778784889810333,0.3186980109314172,0.0591804780496161,0.5964856857997352,0.341637038292339,0.3292677214807976,0.4042309503834691,0.07988251651133713,0.0358020755697675,0.04408044094156955
FarmA,rho_1,overall,TSC,0.3839353325045503,0.326645112856243,0.05729021964830743,0.6019017632869255,0.3505663662977606,0.290864964813616,0.4295534968999784,0.07384499890827684,0.02961501872812363,0.04422998018015311
FarmA,rho_1,ramp,ACI,0.5825490146772577,0.5287111862832433,0.05383782839401396,0.6762305231865743,0.5749153854416136,0.03342884098573314,0.78115747520119,0.12893407037470256,0.0014907127548225865,0.12744335761987993
FarmA,rho_1,ramp,AgACI,0.6057932716036989,0.5548669737831882,0.05092629782051004,0.6968754914593318,0.60430391072245,0.07940119655406513,0.7789958475852609,0.15061184855228613,0.005277346763807864,0.1453345017884783
FarmA,rho_1,ramp,CART,0.49128552273250353,0.41224888712837854,0.07903663560412477,0.5211799497395879,0.4440588695372727,0.2945466446261445,0.43664713869547767,0.07778938491598895,0.029361702456567804,0.048427682459421174
FarmA,rho_1,ramp,CLARA,0.525098650488382,0.4578340950427226,0.06726455544565896,0.586974527932782,0.49527820427249075,0.1571662559518331,0.5599868159474084,0.0701738653730722,0.010499568354845619,0.05967429701822658
FarmA,rho_1,ramp,CLARA_cost_update,0.5254113788655619,0.45771123511789064,0.06770014374767054,0.5865958607441288,0.4951401594131293,0.17936554051214923,0.5348680540926724,0.07168963686907646,0.013786997041589321,0.057902639827487175
FarmA,rho_1,ramp,CLARA_coverage_update,0.5268470763702765,0.45995093399082093,0.06689614237945504,0.5887368620254864,0.49765667500069083,0.1467857686483662,0.5827482089668163,0.07249153737744937,0.009807109266281462,0.06268442811116791
FarmA,rho_1,ramp,CLARA_frozen,0.5265797666681699,0.4592682446370061,0.06731152203116314,0.5883373075807019,0.49688960831101164,0.16834234665198802,0.5514500541072077,0.07325510072206153,0.012914959959217449,0.060340140762844066
FarmA,rho_1,ramp,EEE,0.5222725945599614,0.45833805453890625,0.06393454002105513,0.5575608079612232,0.49584445089741713,0.2043565005997188,0.5627799806089299,0.08601285289293353,0.019976515115724815,0.06603633777720876
FarmA,rho_1,ramp,EnbPI-RH,0.46616011328418067,0.37919573570404563,0.08696437758013491,0.4953368598999294,0.40692049715038164,0.34010913323822795,0.3521753320398929,0.06552905652254805,0.03181820686421109,0.03371084965833697
FarmA,rho_1,ramp,LinUCB,0.4688293348839604,0.3823568396500226,0.08647249523393774,0.495983327384752,0.41047229933687285,0.3297635885839954,0.36772001269872284,0.07078283924887713,0.03390988782468168,0.03687295142419549
FarmA,rho_1,ramp,Static,0.4608618624659812,0.37057832238515404,0.09028354008082713,0.4833600696513708,0.39723801027522293,0.3671032790829835,0.3528966803160618,0.07363074863860343,0.039209465044453454,0.034421283594150004
FarmA,rho_1,ramp,TSC,0.4659859859366515,0.3779934106687533,0.08799257526789815,0.4921185864473342,0.4055695701444352,0.33533950060895035,0.36798781918615653,0.06867717299683572,0.0338619701846509,0.0348152028121848
FarmA,rho_10,ordinary,ACI,0.6317914669983667,0.386548548363819,0.24524291863454872,0.7594257259616947,0.42799299409816133,0.02539007569013586,0.817533549748773,0.1415750944563878,0.0011348215954545295,0.14044027286093327
FarmA,rho_10,ordinary,AgACI,0.6471371925014421,0.40913978909658366,0.2379974034048601,0.7647119394600691,0.4533764106518286,0.06721513472870493,0.8090449521244786,0.1604242712567088,0.004453479340590654,0.15597079191611818
FarmA,rho_10,ordinary,CART,0.6051490711207024,0.3294636990470096,0.27568537207369337,0.7335454203870996,0.3638527139669151,0.15479632605652244,0.6637562956036195,0.1256672924193524,0.013656896216344161,0.11201039620300825
FarmA,rho_10,ordinary,CLARA,0.5978957329807272,0.35998224553199865,0.2379134874487291,0.7709946076884411,0.3981432156354421,0.0435213776654872,0.8186696965176704,0.1548703119819864,0.0020073526649585487,0.15286295931702784
FarmA,rho_10,ordinary,CLARA_cost_update,0.598317299008342,0.3611335209769834,0.237183778031359,0.7705348060520024,0.3994367835511555,0.04620010118293191,0.8189412953662597,0.15500167531909925,0.002203667299804117,0.15279800801929516
FarmA,rho_10,ordinary,CLARA_coverage_update,0.6027696723740156,0.36216183318640655,0.24060783918760933,0.7685693278986754,0.4005921905280356,0.04046251310166466,0.825001553697541,0.1531154388941235,0.001789513055764174,0.15132592583835935
FarmA,rho_10,ordinary,CLARA_frozen,0.6019211828458704,0.36160531399638074,0.24031586884948986,0.7682481838987485,0.3999668880673322,0.046319112420923084,0.818245402701547,0.15270836230875537,0.0022276273645327233,0.15048073494422265
FarmA,rho_10,ordinary,EEE,0.6007624595359569,0.34532222406914204,0.25544023546681494,0.7184507324867225,0.38167128140751405,0.17104703872404464,0.6160434900742929,0.09549861687526925,0.016736853037416663,0.0787617638378526
FarmA,rho_10,ordinary,EnbPI-RH,0.6242021189843687,0.29623035117306973,0.32797176781129944,0.6943493903696714,0.32651187365911805,0.25713218951323263,0.46050611772823324,0.07381498424011969,0.02339376770312855,0.050421216536991165
FarmA,rho_10,ordinary,LinUCB,0.6109483117473168,0.37150485552087686,0.2394434562264406,0.7613800067795112,0.4110899684319344,0.08799033906914566,0.7698097666804545,0.14276724705130397,0.0074922407857664465,0.13527500626553757
FarmA,rho_10,ordinary,Static,0.6199235960455693,0.28937020764309834,0.33055338840247134,0.6919013430602344,0.3188038472209476,0.2975416681089961,0.4376612443275494,0.08107865663395504,0.031391570374111326,0.04968708625984368
FarmA,rho_10,ordinary,TSC,0.6087646658420978,0.370859898799331,0.23790476704276733,0.7748869426742366,0.4103652979582874,0.016678909376480196,0.859380874652389,0.1469465561538848,0.0006053669968828786,0.14634118915700192
FarmA,rho_10,overall,ACI,0.8223819068474594,0.4341696184823116,0.38821228836514443,0.7199785310495513,0.47138041756300403,0.02931484081240594,0.8035201683398706,0.13754888265096676,0.0013198389923520825,0.1362290436586146
FarmA,rho_10,overall,AgACI,0.8305194988440846,0.45682874548948826,0.3736907533545892,0.7321771514450198,0.4968401108294968,0.07289861955030706,0.797450953400956,0.15750929615173312,0.004897837064872085,0.15261145908686102
FarmA,rho_10,overall,CART,0.8075020788852517,0.38225607799037714,0.42524600089487324,0.6786303751110295,0.41305059678555145,0.1676746015330304,0.6478311868349138,0.1227401209866892,0.014989827590391845,0.10775029339629731
FarmA,rho_10,overall,CLARA,0.7907981624872128,0.42093048518676357,0.3698676773004467,0.7305709049605713,0.4565049868938511,0.04944375567928654,0.8041722860901335,0.1502204056130556,0.0022459585347454117,0.14797444707831015
FarmA,rho_10,overall,CLARA_cost_update,0.7909824126015994,0.42168105923820876,0.36930135336338793,0.7305222721799663,0.4573483285246882,0.051216983208862345,0.8052410102310277,0.15048585257410502,0.0023979731445605396,0.14808787942954438
FarmA,rho_10,overall,CLARA_coverage_update,0.7929940167287388,0.4232184987459981,0.3697755179827387,0.7296132235126557,0.4590757886457988,0.044807870422143015,0.8122052046393357,0.1487619294117775,0.0019779586032987744,0.1467839708084787
FarmA,rho_10,overall,CLARA_frozen,0.7928651550602743,0.4222370601623993,0.37062809489787296,0.7284090011638574,0.45797304866422733,0.050525510171320696,0.8055007407111319,0.14837203385460782,0.0024033545393685927,0.14596867931523916
FarmA,rho_10,overall,EEE,0.8206153529498731,0.38416608121713636,0.4364492717327369,0.6430850389542309,0.4151966678268556,0.18869044070968252,0.5960602803068846,0.09377452762159244,0.019143047115821446,0.07463148050577097
FarmA,rho_10,overall,EnbPI-RH,0.8947676854168113,0.326967949965336,0.5677997354514762,0.6051555245509019,0.3509291046225847,0.2897778179087549,0.42143877091410503,0.07166858632326423,0.027141340838259823,0.04452724548500432
FarmA,rho_10,overall,LinUCB,0.8114400739946593,0.41644708596361285,0.3949929880310451,0.7078868946210823,0.4514674596768275,0.09835388417159258,0.7519676378202669,0.1395611796449265,0.00856477976224864,0.13099639988267783
FarmA,rho_10,overall,Static,0.9105027914275787,0.3186980109314172,0.591804780496161,0.5964856857997352,0.341637038292339,0.3292677214807976,0.4042309503834691,0.07988251651133713,0.0358020755697675,0.04408044094156955
FarmA,rho_10,overall,TSC,0.8010339733402779,0.42021171714772837,0.3808222561925474,0.7241762510869121,0.45569738235560686,0.02040775550775797,0.8401712650603751,0.14120541277563217,0.0007617266752629778,0.14044368610036917
FarmA,rho_10,ramp,ACI,1.0670894702233855,0.5287111862832433,0.5383782839401395,0.6762305231865743,0.5749153854416136,0.03342884098573314,0.78115747520119,0.12893407037470256,0.0014907127548225865,0.12744335761987993
FarmA,rho_10,ramp,AgACI,1.0641299519882916,0.5548669737831882,0.5092629782051005,0.6968754914593318,0.60430391072245,0.07940119655406513,0.7789958475852609,0.15061184855228613,0.005277346763807864,0.1453345017884783
FarmA,rho_10,ramp,CART,1.0688520903383016,0.47308246603977316,0.5957696242985278,0.6138002914307624,0.5124112053927722,0.1858895208424216,0.6167133490274552,0.11493800531560189,0.01627515684923447,0.09866284846636746
FarmA,rho_10,ramp,CLARA,1.0423961243710067,0.5269704288484621,0.515425695522542,0.6845839272178067,0.5729594782115232,0.05771984184438488,0.7766699679893356,0.1411653370461607,0.0025218646714164506,0.13864347237474423
FarmA,rho_10,ramp,CLARA_cost_update,1.0425657354218414,0.5275981979781733,0.5149675374436657,0.6853893945759616,0.5736648367842319,0.05789122917334787,0.7794654246927252,0.14157391251158644,0.0025794589067957546,0.1389944536047907
FarmA,rho_10,ramp,CLARA_coverage_update,1.0415373429528443,0.5287082716713379,0.5128290712815038,0.6849465559674282,0.5749121105967764,0.05044994695802591,0.7881557938954441,0.14002990085629347,0.0021991432749467444,0.1378307575813467
FarmA,rho_10,ramp,CLARA_frozen,1.0423664553874856,0.5271896103391938,0.5151768450482898,0.6826837791690219,0.5732057495494232,0.05630928951837564,0.7822755123079765,0.13953266565093556,0.0025535975636438763,0.1369790680872917
FarmA,rho_10,ramp,EEE,1.0976834547494578,0.45833805453890625,0.6393454002105513,0.5575608079612232,0.49584445089741713,0.2043565005997188,0.5627799806089299,0.08601285289293353,0.019976515115724815,0.06603633777720876
FarmA,rho_10,ramp,EnbPI-RH,1.2488395115053947,0.37919573570404563,0.8696437758013491,0.4953368598999294,0.40692049715038164,0.34010913323822795,0.3521753320398929,0.06552905652254805,0.03181820686421109,0.03371084965833697
FarmA,rho_10,ramp,LinUCB,1.0658938866971022,0.5072454610766864,0.5586484256204152,0.6507203541483638,0.5507965930746958,0.11118959516493178,0.7190627944035856,0.1306373501716998,0.009420647886109473,0.12121670228559035
FarmA,rho_10,ramp,Static,1.2734137231934257,0.37057832238515404,0.9028354008082714,0.4833600696513708,0.39723801027522293,0.3671032790829835,0.3528966803160618,0.07363074863860343,0.039209465044453454,0.034421283594150004
FarmA,rho_10,ramp,TSC,1.0525445296575546,0.5136027756193083,0.5389417540382441,0.6662499431106821,0.5579396431225858,0.02404877409510966,0.8128510002837526,0.13024249273403798,0.0009030115166011987,0.1293394812174368
FarmA,rho_2,ordinary,ACI,0.4355971320907288,0.386548548363819,0.04904858372690976,0.7594257259616947,0.42799299409816133,0.02539007569013586,0.817533549748773,0.1415750944563878,0.0011348215954545295,0.14044027286093327
FarmA,rho_2,ordinary,AgACI,0.4567392697775556,0.40913978909658366,0.04759948068097202,0.7647119394600691,0.4533764106518286,0.06721513472870493,0.8090449521244786,0.1604242712567088,0.004453479340590654,0.15597079191611818
FarmA,rho_2,ordinary,CART,0.3850084175672943,0.32436805406677655,0.06064036350051778,0.702653450188619,0.3581272701689004,0.19897585646882893,0.5733400702203217,0.08961114134248754,0.018437670606121462,0.07117347073636611
FarmA,rho_2,ordinary,CLARA,0.36812198438609944,0.30690374431331,0.06121824007278939,0.6974116299465046,0.3385044502211852,0.1097715820713539,0.6612127815331096,0.08726545980550371,0.008075232261729872,0.07919022754377389
FarmA,rho_2,ordinary,CLARA_cost_update,0.3650196977815034,0.3024868834794104,0.06253281430209309,0.6920039595449861,0.33354168523927535,0.13243702235107777,0.6346007897438191,0.08768750284088332,0.010452546659325839,0.0772349561815575
FarmA,rho_2,ordinary,CLARA_coverage_update,0.3726757111028785,0.3121912601841321,0.060484450918746276,0.7031820520675165,0.34444547928952474,0.09846840686789173,0.6876171245709467,0.09045703221500657,0.00729672774091512,0.08316030447409149
FarmA,rho_2,ordinary,CLARA_frozen,0.3690855350951377,0.3071299502427877,0.06195558485235,0.6967424383946997,0.33875861418689046,0.12064547124548573,0.6545588118596491,0.08988009497305353,0.009556570864150014,0.08032352410890353
FarmA,rho_2,ordinary,EEE,0.3964102711625049,0.34532222406914204,0.05108804709336299,0.7184507324867225,0.38167128140751405,0.17104703872404464,0.6160434900742929,0.09549861687526925,0.016736853037416663,0.0787617638378526
FarmA,rho_2,ordinary,EnbPI-RH,0.3618247047353296,0.29623035117306973,0.06559435356225986,0.6943493903696714,0.32651187365911805,0.25713218951323263,0.46050611772823324,0.07381498424011969,0.02339376770312855,0.050421216536991165
