method,metric,effect,CI_low,CI_high,p_unadjusted,p_Holm_four
GLOBAL_SCORE_SAME_SCREEN,ERRF,1.4677474941777957,1.4030038610746387,1.5310174948616151,0.001953125,0.0078125
WIDTH_SAME_SCREEN,ERRF,3.333418643656727,3.2689780878950554,3.4012774840432511,0.001953125,0.0078125
NO_RWG,below_floor,7.4090909090909083,4.9545454545454541,9.8181818181818183,0.001953125,0.0078125
NO_SCREEN,below_floor,9.0454545454545432,6.6818181818181817,11.5,0.001953125,0.0078125
