price_id,regime,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,IS,below_floor
ALL,ordinary,CLARA,2.6433333019755807,1.4384720932382624,1.2048612087373181,0.65584989107359648,0.40343641871564201,0.08826354765013153,0.44702732586537525,0.084675445281085587,0.011230975115530799,0.073444470165554776,0.61825271562569095,0.015545454545454546
ALL,ordinary,FEASIBLE_STATE_ORACLE,2.5967909676473382,1.4366657978054354,1.1601251698419026,0.65726560479350338,0.40292903235810629,0.090499777099297421,0.44890833959678245,0.085836754696747564,0.011321908619829239,0.074514846076918315,0.61597002990077643,0.021454545454545455
ALL,ordinary,FIX_REFERENCE_PRICE,2.6976035501415727,1.4660119717040825,1.23159157843749,0.67394484668201216,0.41117233963300714,0.064063194895159686,0.53888842065452214,0.096096578791868628,0.00715779655667949,0.088938782235189126,0.61768029578532324,0.0045454545454545452
ALL,ordinary,GLOBAL_SCORE_SAME_SCREEN,2.6458772125486578,1.4779224582175206,1.167954754331137,0.65711140843246707,0.41451798191206296,0.075252701683960296,0.45126678680224452,0.082575676974033327,0.010226129252863782,0.072349547721169555,0.61921050657659149,0.015727272727272725
ALL,ordinary,NO_BACKOFF_EXACT,2.6501600391307401,1.4420248716204267,1.2081351675103134,0.6561701447349797,0.40443439017130611,0.085327423760005558,0.448432835338194,0.083956692853587075,0.010914441878191062,0.073042250975396003,0.6181515325431477,0.014545454545454545
ALL,ordinary,NO_G,2.6290762138492707,1.4248066562594706,1.2042695575897997,0.65296136299081387,0.39959781282272289,0.10124619226619709,0.4361380216736902,0.085478505581407099,0.012905381739560634,0.072573123841846457,0.61897725929372727,0.038545454545454542
ALL,ordinary,NO_RWG,2.612971779551907,1.4312469132324472,1.1817248663194599,0.65489085781473144,0.40140687377018819,0.14173759880372991,0.42080172310590447,0.089225183221954274,0.018333814492886111,0.070891368729068163,0.62115079328567246,0.045545454545454542
ALL,ordinary,NO_SCREEN,2.6306813426490785,1.4097580122864852,1.220923330362593,0.64802451745803091,0.39537066563930007,0.14531135572065274,0.41013368986782639,0.08724067364166091,0.01934260478121801,0.067898068860442889,0.62087136196715753,0.054181818181818185
ALL,ordinary,OUTCOME_ORACLE,2.314742076693054,1.3509609301565981,0.96378114653645586,0.66328035079551362,0.37885463133315184,0.12119720811042071,0.46943751737690809,0.096669113177694471,0.017108018366623366,0.079561094811071084,0.54655417098402104,0.091999999999999998
ALL,ordinary,STATE_ORACLE,2.5722759680831624,1.4056268324119479,1.1666491356712143,0.64935074138711668,0.39421022185431764,0.15427782113685395,0.40684233244471413,0.088403319727082541,0.02006410597011548,0.068339213756967054,0.61744824126714859,0.064818181818181816
