price_id,subset,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,IS,below_floor_pct,delta_ERRF_pct,delta_ERRF_pct_CI_low,delta_ERRF_pct_CI_high,delta_TUWR_pp,delta_TUWR_pp_CI_low,delta_TUWR_pp_CI_high,delta_below_floor_pp,delta_below_floor_pp_CI_low,delta_below_floor_pp_CI_high,delta_ERRF_exact_p,delta_below_floor_exact_p,delta_capacity_contribution_pct,delta_exceedance_contribution_pct
R01,empty,CLARA,1.4903556851800068,1.2433533071914138,0.2470023779885929,0.54198682970586121,0.34851299158046722,0.099996755617560759,0.27195076942160512,0.05004087338996762,0.010449018027669127,0.039591855362298492,0.64304366100749211,38.615893328296494,0,0,0,0,0,0,0,0,0,1,1,0,0
R01,empty,NO_BACKOFF_EXACT,1.4452438989077343,1.1841217180960442,0.26112218081169042,0.51884974517420879,0.33187490475592507,0.1015624030316878,0.27624429212554868,0.051113925642248662,0.010976966820618175,0.040136958821630486,0.66299088823829955,49.916576725329136,-3.0269140931162286,-3.4125436327855327,-2.6882941862564258,0.15656474141270318,-0.46460487364241487,0.86137588398542786,11.300683397032643,8.4703507315423607,13.766564000174565,0.001953125,0.001953125,-3.9743257052235537,0.94741161210735525
R01,nonempty,CLARA,1.6544333049103233,1.4394713740402996,0.21496193087002369,0.59073417065925771,0.40352141512060208,0.1866995360403359,0.17665456737398127,0.054318621858084962,0.026322172653144172,0.027996449204940755,0.67166902708091913,10.681818181818182,0,0,0,0,0,0,0,0,0,1,1,0,0
R01,nonempty,NO_BACKOFF_EXACT,1.6596528524858865,1.445938376659947,0.21371447582593966,0.5926574751478626,0.40533798889016592,0.18252331054535903,0.18453856404797672,0.05485654788321951,0.025740909241570138,0.029115638641649337,0.67232052628725403,10.22727272727273,0.31548854584053654,0.24711414290089717,0.38320044352745936,-0.41762254949769073,-0.53188113409827986,-0.29766268539373264,-0.45454545454545425,-0.95454545454545414,-0.045454545454545262,0.001953125,0.140625,0.39088929124271499,-0.075400745402162919
R01,sparse_nonempty,CLARA,1.5786643864429162,1.3631718171512979,0.21549256929161825,0.5761314097310678,0.38203095911446372,0.16838701981984164,0.37630045979805749,0.066678144475247406,0.016050084347112095,0.05062806012813531,0.66123118928729563,28.100429859989752,0,0,0,0,0,0,0,0,0,1,1,0,0
R01,sparse_nonempty,NO_BACKOFF_EXACT,1.6125328948201987,1.4064019217316415,0.20613097308855735,0.59077771015880443,0.3941742469179309,0.16328421213027755,0.39493348138626294,0.069305902267634459,0.015365665698150271,0.053940236569484171,0.66946446410224913,23.462160023268552,2.1453900314807095,1.7158401351068986,2.5966009114613242,-0.51028076895640662,-0.89188809541407388,-0.15734037969847428,-4.6382698367212001,-6.517208008522636,-2.7544103753733591,0.001953125,0.001953125,2.7383974042608696,-0.59300737278014304
R01,supported,CLARA,1.6645554883082052,1.4487357545771702,0.21581973373103552,0.5908192243578545,0.40612847155049747,0.18830893747005048,0.14797991024666365,0.05179648228871446,0.027464545387636364,0.024331936901078061,0.67382141061556866,11.242885052612337,0,0,0,0,0,0,0,0,0,1,1,0,0
R01,supported,NO_BACKOFF_EXACT,1.6645554883082052,1.4487357545771702,0.21581973373103552,0.5908192243578545,0.40612847155049747,0.18442649232112918,0.15364432629075386,0.051937904189086725,0.026921802329231664,0.025016101859855023,0.67382141061556866,11.242885052612337,0,0,0,-0.38824451489213208,-0.49700038562588245,-0.28520331938673271,0,0,0,1,1,0,0
R02,empty,CLARA,1.7434868017449865,1.2532384626649897,0.49024833907999721,0.54450228020333635,0.35128972064607838,0.099453103761601089,0.28877167165826323,0.052391455291969924,0.0097334322186421272,0.042658023073327798,0.64371040706103477,38.069833186988902,0,0,0,0,0,0,0,0,0,1,1,0,0
R02,empty,NO_BACKOFF_EXACT,1.7063660797194249,1.1841217180960442,0.52224436162338084,0.51884974517420879,0.33187490475592507,0.10127970645897114,0.29662477229497641,0.053868281719938405,0.010132989884322369,0.043735291835616023,0.66299088823829955,49.916576725329136,-2.1291082896875979,-2.445917352769611,-1.9085097354800888,0.18266026973700444,-0.40540294241247343,0.73874827145634492,11.846743538340229,9.4355403055051461,14.154933672801405,0.001953125,0.001953125,-3.9642826375152005,1.8351743478275881
