price_id,regime,method,changed_fraction,delta_ERRF_contribution,delta_capacity_contribution,delta_exceedance_contribution,delta_covered_contribution,delta_width_contribution
ALL,ordinary,FIX_REFERENCE_PRICE,0.4241424705790301,0.054270248165991818,0.027539878465819873,0.026730369700171962,0.01809495560841564,0.0077359209173651329
ALL,ordinary,GLOBAL_SCORE_SAME_SCREEN,0.44484044933711148,0.0025439105730775428,0.039450364979258579,-0.036906454406181025,0.0012615173588705546,0.011081563196420948
ALL,ordinary,NO_BACKOFF_EXACT,0.094675515996452075,0.006826737155159605,0.0035527783821642949,0.0032739587729953105,0.00032025366138317809,0.0009979714556641278
ALL,ordinary,NO_G,0.3001025454291093,-0.01425708812631033,-0.013665436978792045,-0.00059165114751828589,-0.0028885280827826679,-0.0038386058929191142
ALL,ordinary,NO_RWG,0.427805338122562,-0.030361522423673883,-0.0072251800058156304,-0.023136342417858245,-0.0009590332588651501,-0.0020295449454538288
ALL,ordinary,NO_SCREEN,0.17305735283090812,-0.012651959326502362,-0.028714080951777344,0.016062121625274976,-0.0078253736155655639,-0.0080657530763419503
ALL,ordinary,WIDTH_ONLY,0.74379415651628356,0.23136164471655102,-0.20733615538851832,0.43869780010506904,-0.082356996764018864,-0.058240493086662459
ALL,ordinary,WIDTH_SAME_SCREEN,0.65328718656796469,0.18301685115060509,-0.14897217285475964,0.33198902400536445,-0.063895235469240946,-0.041846115970438101
ALL,overall,FIX_REFERENCE_PRICE,0.4322067237945596,0.06918766921254646,0.038556694606997025,0.030630974605549411,0.019702377799420509,0.010830532192976708
ALL,overall,GLOBAL_SCORE_SAME_SCREEN,0.39844991476804381,0.007682896504237033,0.027970062736704483,-0.02028716623246745,-3.2472572792336196e-05,0.0078567591957035051
ALL,overall,NO_BACKOFF_EXACT,0.081295908219326862,0.0088064783805202225,0.0018485715403468652,0.0069579068401733586,-4.8277660930185688e-05,0.00051926166863675949
ALL,overall,NO_G,0.32206311041354835,-0.014551893605678448,-0.011507295678398793,-0.0030445979272796546,-0.0026091776285685785,-0.0032323864265165147
ALL,overall,NO_RWG,0.44509572701479938,-0.034303857805408115,-0.036990548015928063,0.0026866902105199516,-0.0099960771525185437,-0.010390603375260692
ALL,overall,NO_SCREEN,0.23889145364917388,-0.024666832653995632,-0.048032418048305402,0.02336558539430976,-0.014201758722579019,-0.013492252260759946
ALL,overall,WIDTH_ONLY,0.7645904428733763,0.33775346628080005,-0.27331855655374837,0.61107202283454898,-0.09938882964660356,-0.076774875436446219
