zone_or_farm,price_id,regime,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,IS,below_floor
zone1,R01,ordinary,CLARA,1.4507971605017727,1.2543278916583505,0.19646926884342186,0.60572799588946846,0.35187802726000167,0.18158842052688698,0.20548624681468283,0.057867103116563436,0.024961916802187494,0.03290518631437591,0.60752956356030008,0.013636363636363636
zone1,R01,ordinary,FEASIBLE_STATE_ORACLE,1.4352174090978593,1.2362592122814768,0.19895819681638216,0.60155830965882828,0.34680255552492489,0.1913544216046251,0.19220433119474264,0.057007625057144497,0.026036086160738259,0.03097153889640622,0.61078798051677385,0.031818181818181815
zone1,R01,ordinary,FIX_REFERENCE_PRICE,1.5503171548498753,1.3882237430954472,0.16209341175442782,0.67238120138276114,0.38948922148390558,0.072014548647820087,0.53174765682820047,0.099662891488684693,0.0079548243966756048,0.091708067092009057,0.60863629340542558,0.0045454545454545452
zone1,R01,ordinary,GLOBAL_SCORE_SAME_SCREEN,1.4424558309237125,1.2452922784519616,0.19716355247175074,0.60553115570559957,0.3493399336627015,0.18490144911163434,0.20639359784088562,0.058340322716480188,0.025364187158507672,0.032976135557972477,0.6099736230638213,0.018181818181818181
zone1,R01,ordinary,NO_BACKOFF_EXACT,1.4544129310718317,1.2585354490480791,0.19587748202375202,0.6071630328093014,0.35305992540318387,0.17776649640816741,0.21275217324310719,0.058518316558408154,0.024324998708317606,0.034193317850090499,0.60871854056098496,0.018181818181818181
zone1,R01,ordinary,NO_G,1.4356688554270973,1.2355440997433873,0.20012475568370974,0.60009204329517485,0.34660168121647272,0.20081061425050967,0.18236848495992011,0.05650383193051816,0.027454373180835424,0.029049458749682736,0.60761680096687309,0.027272727272727271
zone1,R01,ordinary,NO_RWG,1.4254820856129047,1.2249436025177618,0.20053848309514252,0.59889797078320905,0.34362401345646548,0.26323947556710342,0.16513206122328411,0.062924510426331695,0.036622835776554383,0.026301674649777285,0.61250002931450565,0.05909090909090909
zone1,R01,ordinary,NO_SCREEN,1.4170132370374264,1.2119607036829299,0.20505253335449652,0.59342065902671381,0.3399771317612878,0.2847933347851227,0.15683054233169536,0.065008345731460221,0.040489498891729633,0.024518846839730577,0.61228583709118756,0.054545454545454543
zone1,R01,ordinary,OUTCOME_ORACLE,1.3702401297593607,1.1577130031011693,0.21252712665819112,0.56782210875642325,0.32473901362034413,0.37261721218636296,0.090232436140902775,0.067117768001121528,0.052661993968177473,0.014455774032944024,0.60723281157656472,0.39090909090909093
zone1,R01,ordinary,STATE_ORACLE,1.4007810545141548,1.1928305654172235,0.20795048909693079,0.58777798184909513,0.33460349741698847,0.30332744461241601,0.13267954959482869,0.063653979614282291,0.042723669455779822,0.020930310158502431,0.61702744350476468,0.090909090909090912
zone1,R01,ordinary,WIDTH_ONLY,1.3702401297593607,1.1537784415451811,0.21646168821417944,0.56780618862485455,0.32363379970012268,0.37284481426916932,0.090230950212643393,0.067136546891833251,0.052681818659836455,0.014454728231996783,0.62524198480403992,0.39090909090909093
