price_id,oracle,CLARA_ERRF,oracle_ERRF,gap_pct,ci95_low,ci95_high
R01,FEASIBLE_STATE_ORACLE,1.6521871659581904,1.6395917974176151,0.76820148529732624,0.6701930886340296,0.87590084774318677
R01,STATE_ORACLE,1.6521871659581904,1.5778577954940254,4.7107775286487463,4.1654971553279276,5.2864567489652137
R01,OUTCOME_ORACLE,1.6521871659581904,1.5463962943561638,6.8411229377701055,6.1938660001359613,7.5912745985283134
R02,FEASIBLE_STATE_ORACLE,1.8777888937677922,1.8667551605874748,0.59106482806481342,0.54103398894473687,0.6443409537448519
R02,STATE_ORACLE,1.8777888937677922,1.8128599977196891,3.5815725499914075,3.1845420842857477,3.982402949737363
R02,OUTCOME_ORACLE,1.8777888937677922,1.762970620026699,6.512772954738999,6.0274447165795211,7.012823934837269
R05P6179775281,FEASIBLE_STATE_ORACLE,2.5655471010626192,2.5384123982762676,1.0689635303064771,0.97675407120946078,1.1730829735634312
R05P6179775281,STATE_ORACLE,2.5655471010626192,2.5133307292226603,2.0775766290061171,1.869962730913532,2.292804585517771
R05P6179775281,OUTCOME_ORACLE,2.5655471010626192,2.2464183430316145,14.206114325096287,13.251957501702822,15.22901191570292
R10,FEASIBLE_STATE_ORACLE,3.2893618361991548,3.243816715083689,1.4040596345558543,1.2989102930202912,1.5157278778849537
R10,STATE_ORACLE,3.2893618361991548,3.2249764976890822,1.9964591542359855,1.8169482152472944,2.1834578155213635
R10,OUTCOME_ORACLE,3.2893618361991548,2.811908809235514,16.979676773140028,15.745537858239823,18.334931180249647
R20,FEASIBLE_STATE_ORACLE,4.8806939237628182,4.7997547255105442,1.6863194659111347,1.5719111389395002,1.8104454262441776
R20,STATE_ORACLE,4.8806939237628182,4.7776048816595083,2.1577557093315214,1.980210707294161,2.3426554362841854
R20,OUTCOME_ORACLE,4.8806939237628182,4.0941851828550897,19.210385114022976,17.709666181502122,20.907997849214084
ALL,FEASIBLE_STATE_ORACLE,2.8531157841501149,2.8176661593751184,1.2581201167869427,1.1669220560146731,1.3568634720215527
ALL,STATE_ORACLE,2.8531157841501149,2.7813259803569927,2.5811359150324398,2.3363441542979309,2.8365277209126738
ALL,OUTCOME_ORACLE,2.8531157841501149,2.4923758499010162,14.473737348378869,13.395179300423921,15.67695685517152
