price_id,regime,excluded_fraction,empty_fraction,exact_empty_fraction,backoff_fraction,no_g_selects_full_ineligible_fraction,no_g_on_ineligible_gap,clara_on_no_g_ineligible_gap
ALL,ordinary,0.13957524898646773,0.027778938631895289,0.018774268516287482,0.16112541363918692,0.11555810819252091,0.025533210330736474,0.060972397289867655
ALL,overall,0.2030116654494579,0.037295248585101103,0.016705781720104101,0.13973166300038101,0.13125387083260465,0.013863361279948316,0.050218900435700251
ALL,ramp,0.31851301014544553,0.071848708487992463,0.016386754835941115,0.1556080369687389,0.15101761949155085,-0.00019385863889607023,0.038155049859443749
R01,ordinary,0.076711798298834052,0.016172203201638438,0.018774268516287478,0.1595480568957614,0.13267261026374411,0.0094317337205798071,0.061984349820564708
R01,overall,0.12428857624336524,0.018199257954754196,0.016705781720104101,0.1386971291932548,0.16959803062755344,-0.014785372093882712,0.04386862605447206
R01,ramp,0.21380928252576642,0.032184595823922441,0.016386754835941115,0.15372001770607913,0.21040575738363271,-0.029826109827294094,0.032999987841055664
R02,ordinary,0.098488775012815249,0.019862315100548724,0.018774268516287478,0.16131898252676485,0.17123122404521129,0.0068889772712292172,0.062632483493877525
R02,overall,0.15408304629155065,0.024409172549821299,0.016705781720104101,0.13981442431426383,0.2016137156312367,-0.01088007309287113,0.048449222983067322
R02,ramp,0.25657974736561168,0.045506274559165033,0.016386754835941115,0.15551327178924162,0.2359716500341337,-0.023938376129522414,0.038936931758613812
R05P6179775281,ordinary,0.14531849647795891,0.029479199755205715,0.018774268516287478,0.16184164125673917,0.11761378898350797,0.028777564195205378,0.066032265731347836
R05P6179775281,overall,0.21362044995677607,0.040264973844929323,0.016705781720104101,0.14004728695261875,0.12927559992300139,0.020464663371980708,0.060028954765410411
R05P6179775281,ramp,0.33746902669517437,0.080042545924693148,0.016386754835941115,0.15596444604211174,0.14175709336849102,0.0080203094656429493,0.049856582532064306
R10,ordinary,0.16973143661819892,0.033471775297365627,0.018774268516287478,0.16161099026803413,0.08753599554688439,0.039150266058179915,0.060462447957505286
R10,overall,0.24054024494904575,0.047002562438157695,0.016705781720104101,0.14008386860298552,0.089947880823212562,0.034544382519708955,0.054547983570774991
R10,ramp,0.36844100563057292,0.092426622817460904,0.016386754835941115,0.15640228367207781,0.097061160000524505,0.018432756779404515,0.039380399529889538
R20,ordinary,0.20762573852453162,0.039909199804717951,0.018774268516287478,0.16130739724863513,0.068736922123256786,0.043417510408488035,0.053750439446042922
R20,overall,0.28252600980655174,0.056600276137842999,0.016705781720104101,0.14001560593878207,0.065834127158019118,0.039973205694805759,0.044199714804776462
R20,ramp,0.41626598851010244,0.10908350331472079,0.016386754835941115,0.15644016563418428,0.069892436670972322,0.026342126517288695,0.029601347635595444
