price_id,regime,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap,IS,below_floor
ALL,ordinary,CLARA,2.6433333019755807,1.4384720932382624,1.2048612087373181,0.65584989107359648,0.40343641871564201,0.08826354765013153,0.44702732586537525,0.084675445281085587,0.011230975115530799,0.073444470165554776,0.61825271562569095,0.015545454545454546
ALL,ordinary,FEASIBLE_STATE_ORACLE,2.5967909676473382,1.4366657978054354,1.1601251698419026,0.65726560479350338,0.40292903235810629,0.090499777099297421,0.44890833959678245,0.085836754696747564,0.011321908619829239,0.074514846076918315,0.61597002990077643,0.021454545454545455
ALL,ordinary,OUTCOME_ORACLE,2.314742076693054,1.3509609301565981,0.96378114653645586,0.66328035079551362,0.37885463133315184,0.12119720811042071,0.46943751737690809,0.096669113177694471,0.017108018366623366,0.079561094811071084,0.54655417098402104,0.091999999999999998
ALL,ordinary,STATE_ORACLE,2.5722759680831624,1.4056268324119479,1.1666491356712143,0.64935074138711668,0.39421022185431764,0.15427782113685395,0.40684233244471413,0.088403319727082541,0.02006410597011548,0.068339213756967054,0.61744824126714859,0.064818181818181816
ALL,ordinary,WIDTH_ONLY,2.8746949466921325,1.2311359378497451,1.6435590088423875,0.57349289430957762,0.34519592562897955,0.34595360656359675,0.081549390726374058,0.063094194559073197,0.04943500934576045,0.013659185213312736,0.62892175095825109,0.34363636363636363
ALL,overall,CLARA,2.8531157841501149,1.5751324760926471,1.2779833080574685,0.64374820200425698,0.44163055437955967,0.10230637955319237,0.42427228355141605,0.082350965874586068,0.01312431703019859,0.069226648844387464,0.67270882403583776,0.038272727272727278
ALL,overall,FEASIBLE_STATE_ORACLE,2.817666159375118,1.5727208357307281,1.2449453236443904,0.64489578232819345,0.44095312731160502,0.10415282210485455,0.4277219290927442,0.083561828417461334,0.01312288806708635,0.070438940350374984,0.67093942219572311,0.046090909090909092
ALL,overall,OUTCOME_ORACLE,2.4923758499010162,1.4562579111020069,1.0361179387990089,0.6444170760410618,0.40823882264061639,0.13515136828890267,0.45563953590710904,0.095427748276995919,0.019213233113660622,0.076214515163335286,0.59432651957724114,0.21727272727272728
ALL,overall,STATE_ORACLE,2.7813259803569927,1.5184205148549628,1.2629054655020304,0.62949027410222447,0.42570022818919923,0.17354235724382663,0.38784827729984384,0.087453673478667254,0.022891086068015491,0.064562587410651739,0.6755028465493641,0.23509090909090907
ALL,overall,WIDTH_ONLY,3.1908692504309135,1.3018139195388962,1.8890553308920173,0.54435937235765341,0.36485567894311338,0.38195324857482887,0.06767253764141723,0.067105564788730976,0.055422383388502784,0.011683181400228181,0.6909001873004943,0.66454545454545455
