zone_or_farm,predictor,horizon_steps,target_coverage,method,coverage,TUWR,width,overall_gap_pp,TUWR_pct
zone1,Ridge,1,0.10000000000000001,Static,0.0841654778887303,0.24955062911923301,0.018814756465158799,-1.5834522111269622,24.955062911923307
zone1,Ridge,1,0.10000000000000001,ACI,0.21512125534950069,0,0.057477916411089902,11.512125534950073,0
zone1,Ridge,1,0.10000000000000001,AgACI,0.2639087018544935,0,0.071921685318124207,16.390870185449355,0
zone1,Ridge,1,0.10000000000000001,EnbPI-RH,0.1141226818830242,0.056620730976632699,0.026087510796559799,1.4122681883024248,5.6620730976632716
zone1,Ridge,1,0.10000000000000001,TSC,0.1885877318116975,0,0.050626519315342802,8.8587731811697576,0
zone1,Ridge,1,0.10000000000000001,EEE,0.15834522111269611,0,0.0435754672477335,5.8345221112696137,0
zone1,Ridge,1,0.20000000000000001,Static,0.17717546362339509,0.3217495506291192,0.039577270078286597,-2.2824536376604865,32.174955062911927
zone1,Ridge,1,0.20000000000000001,ACI,0.33552068473609131,0,0.091852666377814196,13.552068473609133,0
zone1,Ridge,1,0.20000000000000001,AgACI,0.38316690442225387,0,0.10994497388433121,18.316690442225397,0
zone1,Ridge,1,0.20000000000000001,EnbPI-RH,0.2159771754636233,0.13840623127621321,0.050977299979175203,1.5977175463623372,13.840623127621328
zone1,Ridge,1,0.20000000000000001,TSC,0.31098430813124101,0,0.082448447052669099,11.098430813124104,0
zone1,Ridge,1,0.20000000000000001,EEE,0.27731811697574887,0,0.073088052579901294,7.7318116975748916,0
zone1,Ridge,1,0.29999999999999988,Static,0.26761768901569177,0.34601557819053319,0.062974656345931398,-3.2382310984308105,34.601557819053326
zone1,Ridge,1,0.29999999999999988,ACI,0.43908701854493581,0,0.12796808752276251,13.908701854493582,0
zone1,Ridge,1,0.29999999999999988,AgACI,0.4807417974322396,0,0.14557322069158091,18.074179743223969,0
zone1,Ridge,1,0.29999999999999988,EnbPI-RH,0.32239657631954338,0.076393049730377402,0.077361782673197002,2.2396576319543504,7.6393049730377474
zone1,Ridge,1,0.29999999999999988,TSC,0.42025677603423672,0,0.1170270169272154,12.025677603423681,0
zone1,Ridge,1,0.29999999999999988,EEE,0.37261055634807411,0,0.1034694368083712,7.261055634807418,0
zone1,Ridge,1,0.40000000000000002,Static,0.36034236804564901,0.3792690233672858,0.0892068955146052,-3.965763195435096,37.926902336728574
zone1,Ridge,1,0.40000000000000002,ACI,0.54094151212553487,0,0.16170463516088701,14.094151212553497,0
zone1,Ridge,1,0.40000000000000002,AgACI,0.57517831669044206,0,0.18035573656700771,17.517831669044213,0
zone1,Ridge,1,0.40000000000000002,EnbPI-RH,0.4211126961483595,0.076692630317555396,0.1076127934734258,2.111269614835948,7.6692630317555421
zone1,Ridge,1,0.40000000000000002,TSC,0.51783166904422251,0,0.150384626408502,11.783166904422249,0
zone1,Ridge,1,0.40000000000000002,EEE,0.4730385164051355,0,0.13472001517898199,7.3038516405135487,0
zone1,Ridge,1,0.5,Static,0.46191155492154062,0.38346315158777711,0.1206180242408402,-3.8088445078459321,38.346315158777713
zone1,Ridge,1,0.5,ACI,0.63166904422253922,0,0.196713882750191,13.16690442225392,0
zone1,Ridge,1,0.5,AgACI,0.65905848787446497,0,0.21485520648392531,15.905848787446509,0
zone1,Ridge,1,0.5,EnbPI-RH,0.51982881597717545,0.084781306171359996,0.1416715978244838,1.9828815977175449,8.47813061713601
zone1,Ridge,1,0.5,TSC,0.61740370898716124,0,0.1868314512118649,11.740370898716124,0
