price_id,target_coverage,lowest_cost_candidate,lowest_ERRF,second_lowest_ERRF,runner_up_gap_pct,ties_at_1e_12
R01,0.10000000000000001,Static,0.74485525543195075,0.76391208205329664,2.5584603830571817,1
R01,0.20000000000000001,Static,0.84876054595455475,0.88279727866604318,4.0101690487049257,1
R01,0.29999999999999988,Static,0.9627550360730236,1.0115207003850224,5.0652203815945596,1
R01,0.40000000000000002,Static,1.0893965339597256,1.1518631206667274,5.7340541079150542,1
R01,0.5,Static,1.2353757550469149,1.3086317269735055,5.9298534577286732,1
R01,0.59999999999999987,Static,1.4036897232314032,1.4854107008209128,5.8218690524699079,1
R01,0.69999999999999984,Static,1.6060078846020711,1.693808455080196,5.4670074362604737,1
R01,0.80000000000000004,Static,1.8624728734341405,1.952668561921042,4.8427920628230758,1
R01,0.90000000000000002,Static,2.2310524406680661,2.323108588141638,4.1261310489863146,1
R01,0.94999999999999996,Static,2.5365531892674769,2.6230089285884355,3.4083944971769364,1
R01,0.98999999999999999,Static,3.0506139937364285,3.097407523553509,1.5339053027737082,1
R02,0.10000000000000001,Static,1.303108071334611,1.3065805687741203,0.2664780854248594,1
R02,0.20000000000000001,Static,1.3266679597713824,1.3373181747178049,0.80277923861653555,1
R02,0.29999999999999988,Static,1.3663710529209012,1.3868582676927006,1.4993888174082537,1
R02,0.40000000000000002,Static,1.4240666712154293,1.4561261347901959,2.251261420745454,1
R02,0.5,Static,1.5043097836337125,1.5479950380933305,2.904006537409765,1
R02,0.59999999999999987,Static,1.6113370816734589,1.666252198729506,3.408046502536588,1
R02,0.69999999999999984,Static,1.7560713518818705,1.8215630508198304,3.7294440722910553,1
R02,0.80000000000000004,Static,1.9585605523580525,2.0324183834959886,3.771026177822967,1
R02,0.90000000000000002,Static,2.2775104472829288,2.3600862295932687,3.62570377707172,1
R02,0.94999999999999996,Static,2.559436031419644,2.6408140885024194,3.179530806153319,1
R02,0.98999999999999999,Static,3.0552148318903067,3.1013296416117262,1.5093802648531884,1
R05P6179775281,0.10000000000000001,AgACI,2.9253243818531347,3.0198237669725398,3.2303899596783041,1
R05P6179775281,0.20000000000000001,AgACI,2.6972855951111443,2.7434582074544225,1.7118177039526783,1
R05P6179775281,0.29999999999999988,AgACI,2.5671537499910078,2.5683556319503991,0.046817685126798701,1
R05P6179775281,0.40000000000000002,TSC,2.4479800283479678,2.4516909547140462,0.15159136606941451,1
R05P6179775281,0.5,EEE,2.3489970334849364,2.3591044931799479,0.4302883124554846,1
R05P6179775281,0.59999999999999987,EEE,2.2921677096511592,2.3166174674041584,1.066665307693393,1
R05P6179775281,0.69999999999999984,EnbPI-RH,2.2837763073160349,2.2874143668592515,0.15930017014198489,1
R05P6179775281,0.80000000000000004,Static,2.3062036154310808,2.3209514458233245,0.63948518220870987,1
R05P6179775281,0.90000000000000002,Static,2.445594471215355,2.4938705054070369,1.9739999725993276,1
R05P6179775281,0.94999999999999996,Static,2.642225640105011,2.7052327569552581,2.384622868459596,1
R05P6179775281,0.98999999999999999,Static,3.0718605609414165,3.1155197766088736,1.4212629382525543,1
R10,0.10000000000000001,AgACI,4.7918770133612956,5.0478338222616905,5.3414728338541551,1
R10,0.20000000000000001,AgACI,4.1522646751042025,4.3420831450544766,4.5714443756047496,1
R10,0.29999999999999988,AgACI,3.727102023000159,3.8427139657746201,3.1019258947303507,1
R10,0.40000000000000002,AgACI,3.4111808646328323,3.4688288744366087,1.6899722439660758,1
R10,0.5,AgACI,3.1648073793275238,3.173836826159417,0.28530794293750711,1
R10,0.59999999999999987,TSC,2.935927824345745,2.9448208724558782,0.30290418028635629,1
R10,0.69999999999999984,EEE,2.7454563208658369,2.7550080669935131,0.34791105781148962,1
R10,0.80000000000000004,EEE,2.6321999882641323,2.6593144391231669,1.0301060322136069,1
R10,0.90000000000000002,Static,2.6491745002018336,2.6559073612063209,0.2541493964997032,1
R10,0.94999999999999996,Static,2.7424987686369775,2.7832553678142871,1.4861118496532599,1
R10,0.98999999999999999,Static,3.0920215371213322,3.1327065860774685,1.3158074246149898,1
R20,0.10000000000000001,AgACI,9.0514458391106807,9.6758567689471864,6.8984661780604251,1
R20,0.20000000000000001,AgACI,7.4726015499601548,7.9902272334238269,6.9269809182644249,1
R20,0.29999999999999988,AgACI,6.374163466533874,6.7508650352709205,5.9098197075558643,1
R20,0.40000000000000002,AgACI,5.5213672035521322,5.7808134736134953,4.6989497437238015,1
R20,0.5,AgACI,4.8178614240571989,4.9740975891033354,3.2428530274033247,1
R20,0.59999999999999987,AgACI,4.206463501817602,4.2946898459251779,2.0973994917453438,1
R20,0.69999999999999984,AgACI,3.7049018953341482,3.7338112974046993,0.7803014192348634,1
R20,0.80000000000000004,TSC,3.2726418573956351,3.2807817330555658,0.24872491444598571,1
R20,0.90000000000000002,EEE,2.9660919355445761,2.9827359819929882,0.56114398373683372,1
R20,0.94999999999999996,EEE,2.9469602557376118,2.9613069669541217,0.48683083487732748,1
R20,0.98999999999999999,Static,3.1380299186601137,3.1719277666596453,1.0802270493968091,1
