zone,price_id,target_predictor,source_predictor,ERRF
zone10,R02,QRLSTM,MLP,2.050583821163131
zone10,R02,QRLSTM,QRLSTM,2.037887311694891
zone10,R02,QRLSTM,Ridge,2.0409319512488784
zone10,R02,Ridge,GBR,2.1313555148977055
zone10,R02,Ridge,MLP,2.154056126763784
zone10,R02,Ridge,QRLSTM,2.139964508376896
zone10,R02,Ridge,Ridge,2.1310642820116064
zone10,R05P6179775281,GBR,GBR,2.810778991469368
zone10,R05P6179775281,GBR,MLP,2.8264077154602325
zone10,R05P6179775281,GBR,QRLSTM,2.8184826900994397
zone10,R05P6179775281,GBR,Ridge,2.8185670366079685
zone10,R05P6179775281,MLP,GBR,2.885514635945661
zone10,R05P6179775281,MLP,MLP,2.8931983196984663
zone10,R05P6179775281,MLP,QRLSTM,2.8811084542501284
zone10,R05P6179775281,MLP,Ridge,2.8973155904364036
zone10,R05P6179775281,QRLSTM,GBR,2.8719598608556516
zone10,R05P6179775281,QRLSTM,MLP,2.8765824892839276
zone10,R05P6179775281,QRLSTM,QRLSTM,2.8648068770084345
zone10,R05P6179775281,QRLSTM,Ridge,2.8804296399757403
zone10,R05P6179775281,Ridge,GBR,2.878166800952649
zone10,R05P6179775281,Ridge,MLP,2.896007481578377
zone10,R05P6179775281,Ridge,QRLSTM,2.882302524174414
zone10,R05P6179775281,Ridge,Ridge,2.886846397687735
zone10,R10,GBR,GBR,3.536561561504217
zone10,R10,GBR,MLP,3.5476902268960466
zone10,R10,GBR,QRLSTM,3.5397014286815027
zone10,R10,GBR,Ridge,3.548467626862323
zone10,R10,MLP,GBR,3.77008178704538
zone10,R10,MLP,MLP,3.772609824989319
zone10,R10,MLP,QRLSTM,3.7569738948068143
zone10,R10,MLP,Ridge,3.785289661400948
zone10,R10,QRLSTM,GBR,3.7397007202236074
zone10,R10,QRLSTM,MLP,3.732460916924224
zone10,R10,QRLSTM,QRLSTM,3.721425727019598
zone10,R10,QRLSTM,Ridge,3.7525510359960057
zone10,R10,Ridge,GBR,3.631886063918497
zone10,R10,Ridge,MLP,3.642236233463412
zone10,R10,Ridge,QRLSTM,3.625947330360498
zone10,R10,Ridge,Ridge,3.6491061732302827
zone10,R20,GBR,GBR,5.112141995075851
zone10,R20,GBR,MLP,5.132580178483763
zone10,R20,GBR,QRLSTM,5.11761511013587
zone10,R20,GBR,Ridge,5.131791845392236
zone10,R20,MLP,GBR,5.715068304438917
zone10,R20,MLP,MLP,5.723899708834362
zone10,R20,MLP,QRLSTM,5.692645552530512
zone10,R20,MLP,Ridge,5.739348509884371
zone10,R20,QRLSTM,GBR,5.619806617319207
zone10,R20,QRLSTM,MLP,5.620253647652737
zone10,R20,QRLSTM,QRLSTM,5.600459017101904
zone10,R20,QRLSTM,Ridge,5.642190230216745
zone10,R20,Ridge,GBR,5.269138546024279
zone10,R20,Ridge,MLP,5.279530968746267
zone10,R20,Ridge,QRLSTM,5.2531600000724294
