outer,inner,index,selected_configuration_id,feasible_pool_nonempty,no_feasible_fallback_used,primary_objective,mean_coverage_gap,mean_tuwr,complexity_rank
zone4,zone3,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6374107831983733,0.0673312200600828,0.058661997852670913,14
zone4,zone5,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.631854708392687,0.0664228734201196,0.05723648211552056,14
zone4,zone6,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6264149338542913,0.0644203947783882,0.05629537246779323,14
zone4,zone7,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6371092564348437,0.0687670392523027,0.05579386422474533,14
zone4,zone8,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.610964565309048,0.06897255902279716,0.05620986434052025,14
zone4,zone9,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6556881082721917,0.0656921364583615,0.05941732888656212,14
zone4,zone10,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.616836042905013,0.0656921364583615,0.05842204481334673,14
zone5,,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6505106451694758,0.06628263382059152,0.05737951532184419,14
zone5,zone1,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.630462807067702,0.06736505047497898,0.056883677573594194,14
zone5,zone2,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6766643868300406,0.06678739614062623,0.05673353724931454,14
zone5,zone3,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.659275818908556,0.06651336977996694,0.05878890924809257,14
zone5,zone4,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.631854708392687,0.0664228734201196,0.05723648211552056,14
zone5,zone6,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6482799695644736,0.06360254449827236,0.05642228386321488,14
zone5,zone7,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.658974292145026,0.06794918897218685,0.05592077562016698,14
zone5,zone8,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.632829601019231,0.06815470874268131,0.0563367757359419,14
zone5,zone9,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.677553143982374,0.06487428617824566,0.05954424028198377,14
zone5,zone10,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6387010786151954,0.06487428617824566,0.058548956208768384,14
zone6,,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6456752900242355,0.06450265280571917,0.05654297341275324,14
zone6,zone1,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6250230325293065,0.06536257183324759,0.05594256792586686,14
zone6,zone2,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.671224612291645,0.06478491749889484,0.05579242760158721,14
zone6,zone3,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6538360443701605,0.06451089113823555,0.057847799600365235,14
zone6,zone4,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6264149338542913,0.0644203947783882,0.05629537246779323,14
zone6,zone5,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6482799695644736,0.06360254449827236,0.05642228386321488,14
zone6,zone7,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6535345176066305,0.06594671033045546,0.05497966597243965,14
zone6,zone8,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6273898264808353,0.06615223010094992,0.05539566608821457,14
zone6,zone9,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.672113369443979,0.06287180753651427,0.05860313063425644,14
zone6,zone10,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6332613040768003,0.06287180753651427,0.05760784656104105,14
zone7,,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.655181354540282,0.06836633678253205,0.05609718830782177,14
zone7,zone1,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6357173551098585,0.06970921630716209,0.05544105968281896,14
zone7,zone2,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.681918934872197,0.06913156197280934,0.05529091935853931,14
zone7,zone3,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6645303669507125,0.06885753561215005,0.057346291357317336,14
zone7,zone4,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6371092564348437,0.0687670392523027,0.05579386422474533,14
zone7,zone5,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.658974292145026,0.06794918897218685,0.05592077562016698,14
zone7,zone6,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6535345176066305,0.06594671033045546,0.05497966597243965,14
zone7,zone8,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6380841490613873,0.07049887457486442,0.054894157845166665,14
zone7,zone9,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6828076920245305,0.06721845201042875,0.058101622391208536,14
zone7,zone10,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6439556266573523,0.06721845201042875,0.05710633831799315,14
zone8,,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6319416290951305,0.06854902102297158,0.05646696618851058,14
zone8,zone1,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6095726639840633,0.06991473607765655,0.055857059798593886,14
zone8,zone2,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.655774243746402,0.0693370817433038,0.055706919474314234,14
zone8,zone3,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6383856758249173,0.06906305538264451,0.05776229147309226,14
zone8,zone4,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.610964565309048,0.06897255902279716,0.05620986434052025,14
zone8,zone5,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.632829601019231,0.06815470874268131,0.0563367757359419,14
zone8,zone6,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6273898264808353,0.06615223010094992,0.05539566608821457,14
zone8,zone7,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6380841490613873,0.07049887457486442,0.054894157845166665,14
zone8,zone9,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6566630008987353,0.06742397178092323,0.05851762250698346,14
zone8,zone10,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.617810935531557,0.06742397178092323,0.057522338433768076,14
zone9,,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6716958895068132,0.06563308985458433,0.05931804578499225,14
zone9,zone1,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6542962069472065,0.0666343135132209,0.05906452434463576,14
zone9,zone2,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.700497786709545,0.06605665917886813,0.058914384020356106,14
zone9,zone3,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6831092187880605,0.06578263281820886,0.060969756019134125,14
zone9,zone4,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6556881082721917,0.0656921364583615,0.05941732888656212,14
zone9,zone5,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.677553143982374,0.06487428617824566,0.05954424028198377,14
zone9,zone6,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.672113369443979,0.06287180753651427,0.05860313063425644,14
zone9,zone7,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6828076920245305,0.06721845201042875,0.058101622391208536,14
zone9,zone8,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6566630008987353,0.06742397178092323,0.05851762250698346,14
zone9,zone10,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6625344784947003,0.06414354921648756,0.06072980297980995,14
zone10,,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.637160720291544,0.06563308985458433,0.058433348831023024,14
zone10,zone1,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6154441415800282,0.0666343135132209,0.058069240271420366,14
zone10,zone2,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6616457213423668,0.06605665917886813,0.057919099947140715,14
zone10,zone3,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6442571534208823,0.06578263281820886,0.05997447194591874,14
zone10,zone4,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.616836042905013,0.0656921364583615,0.05842204481334673,14
zone10,zone5,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6387010786151954,0.06487428617824566,0.058548956208768384,14
zone10,zone6,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6332613040768003,0.06287180753651427,0.05760784656104105,14
zone10,zone7,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6439556266573523,0.06721845201042875,0.05710633831799315,14
zone10,zone8,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.617810935531557,0.06742397178092323,0.057522338433768076,14
zone10,zone9,14,996f625def857d7772788a87f7a8e4ebe87202ded973bcde2462122dde17cf7d,True,False,2.6625344784947003,0.06414354921648756,0.06072980297980995,14
