zone_or_farm,price_id,method,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD
Pooled,ALL,ACI,2.9867718448904759,1.6792560233738263,1.3075158215166502,0.67171124240617675,0.47083772477057761,0.0131659390040778,0.60662181567324391,0.088901596368712393
Pooled,ALL,AgACI,2.9795301661439373,1.7799128852112684,1.1996172809326715,0.69758298743713854,0.49911212416311668,0.0148201526210897,0.6869647390507988,0.11520993945710729
Pooled,ALL,CART,2.9375679195599926,1.5459563543239243,1.3916115652360688,0.63184412211270358,0.43339399750937002,0.1256891664152458,0.40624598710496401,0.078907636605985307
Pooled,ALL,CLARA,2.845153263903573,1.5816572982481354,1.2634959656554383,0.6419445441020255,0.44342235254426038,0.10889654407153811,0.42120590776096972,0.084070384392444603
Pooled,ALL,EEE,2.9931625641061599,1.5677773676987483,1.4253851964074111,0.62501336326473234,0.43952349564836551,0.078340586851710303,0.35814913562754258,0.0615904051043401
Pooled,ALL,EnbPI-RH,3.1075787454096675,1.4482666869890697,1.6593120584205974,0.59291681078095004,0.40595307971868028,0.16251233773843901,0.20016842983208669,0.053697498004302499
Pooled,ALL,GLOBAL_FIXED,2.8505030465134409,1.5709901777125921,1.2795128688008504,0.62931044503963307,0.44042597037135472,0.1399099087664489,0.39774063381360608,0.083629155871818198
Pooled,ALL,LinUCB,2.9186929700407438,1.5493913178249406,1.3693016522158028,0.62747764331808487,0.4343588748972958,0.1233977255985305,0.39186978653830251,0.076559470536552696
Pooled,ALL,OUTCOME_ORACLE,2.5046916972763178,1.4643142235290101,1.0403774737473079,0.64274374808867585,0.41046081470180967,0.13572648257815739,0.45762237387324628,0.096059935023655604
Pooled,ALL,Static,3.1689734698822001,1.3636738752208379,1.805299594661363,0.56318644352957814,0.38219105394108738,0.29578432586917741,0.128312277669445,0.063067747670268098
Pooled,ALL,TSC,2.9954765297135904,1.6195852426304995,1.3758912870830913,0.65653681984966927,0.45407626950559871,0.0170451213680217,0.52913435569531442,0.075030020377442594
Pooled,ALL,WIDTH_ONLY,3.2065220153578444,1.3085088937116738,1.8980131216461704,0.54244451184190778,0.36669527261828849,0.3821947680750305,0.069770850562859102,0.067353976108578906
