horizon,clara_ERRF,clara_TUWR_pct,lowest_baseline,baseline_ERRF,baseline_TUWR_pct,cost_reduction_pct
1,1.7822306324323998,6.302112202187475,LinUCB,1.8129127703535948,8.041890489387667,1.6924221850569632
3,2.3671307215258266,8.81536054095421,LinUCB,2.400678416845041,11.03897246113605,1.3974256228496573
6,2.92391037929238,10.963320397018924,LinUCB,2.9566466480656,14.757976439880483,1.1072093716250397
12,3.437289352312232,13.080288655051465,LinUCB,3.497572290365149,16.596250934391353,1.723565177451225
24,3.7550178351877186,11.99210798138412,LinUCB,3.8169046306893177,16.325006093102605,1.621387000450747
