price_id,method,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap,economic_rank,relative_excess_pct,excess_over_price_min_pct
R01,ACI,1.842145130427828,1.673445024999555,0.1687001054282727,0.6725350133466893,0.469246438903973,0.6660802366055419,0.0129383522472515,0.601192661211112,0.0878843491396545,0.0013773084082293,0.0865070407314252,7.938863636363636,19.624259153291412,15.783207598091753
R01,AgACI,1.933422960924717,1.779366493050781,0.1540564678739363,0.6993629191107409,0.4989996602666769,0.6814772364853693,0.0131792073961982,0.6861955051511243,0.1145025929810709,0.0011142915642941,0.1133883014167768,8.85,27.514121683482863,21.520236577491602
R01,CART,1.734704587140311,1.5388955410079588,0.1958090461323523,0.6223858271185896,0.4314516400299292,0.6741453612793704,0.1126701550724447,0.3337706454719978,0.0657632528177778,0.0154186014395133,0.0503446513782644,5.033863636363637,11.1029372876489,9.030313636354181
R01,CLARA,1.6521871659581868,1.4375411506498823,0.2146460153083045,0.5907576100894001,0.402981305659683,0.6709519356310871,0.185496067419381,0.1824442264233577,0.0548461014606613,0.0260202159739918,0.0288258854866695,3.2961363636363634,4.831265505220292,3.8438972409368777
R01,EEE,1.746458332858884,1.562657807073203,0.1838005257856811,0.6265460154561504,0.4381264338684809,0.655812388769388,0.0792013011718324,0.3530879535403046,0.061417805138423,0.0112451526797087,0.0501726524587142,5.472272727272728,12.264127101145505,9.76906454045514
R01,EnbPI-RH,1.6542773560912185,1.4391666366529936,0.2151107194382246,0.5934953145947452,0.4034379028515681,0.6656002158105635,0.1674683537441925,0.1920094818208795,0.0535684115265641,0.023779459753418,0.029788951773146,3.2365909090909093,4.59976404406097,3.975270667544195
R01,LinUCB,1.6245908722442162,1.4021072029413613,0.2224836693028549,0.5794508824291873,0.3930279495617838,0.674569118062765,0.2409870630455858,0.177638779497571,0.0620562204774526,0.0356717565197371,0.0263844639577154,3.000681818181818,2.935873257007884,2.1094044741913454
R01,Static,1.5910296222076583,1.3586530735894822,0.2323765486181766,0.5656717479643949,0.3808217334517054,0.6771430195818395,0.2953695929435763,0.1283015443042574,0.0631904957336519,0.042945330431775,0.0202451653018768,1.364090909090909,0.1997438400428685,0.0
R01,TSC,1.7911207872906652,1.613431627938141,0.1776891593525239,0.6574929722261769,0.4523887431002051,0.6582432017331491,0.0170471017477312,0.5225509242050661,0.0740724662179978,0.0020434605891032,0.0720290056288945,6.8075,15.481646800159314,12.576206142872891
R02,ACI,2.0108452358561,1.673445024999555,0.3374002108565454,0.6725350133466893,0.469246438903973,0.6660802366055419,0.0129383522472515,0.601192661211112,0.0878843491396545,0.0013773084082293,0.0865070407314252,7.968181818181818,11.176348370395798,10.279611203979421
R02,AgACI,2.0874794287986536,1.779366493050781,0.3081129357478726,0.6993629191107409,0.4989996602666769,0.6814772364853693,0.0131792073961982,0.6861955051511243,0.1145025929810709,0.0011142915642941,0.1133883014167768,8.858636363636364,16.164000278658555,14.482415503355295
R02,CART,1.910236122197441,1.5283681422137645,0.381867979983677,0.6239885345922478,0.4284945055371779,0.6747816132071918,0.1161116619995999,0.3635579399928883,0.0671305967728703,0.0154441111770033,0.0516864855958669,4.819545454545454,5.603899059049803,4.761964325934009
R02,CLARA,1.8777888937677885,1.4578915577855298,0.4198973359822587,0.5974076213256514,0.4086977121584604,0.6690136301121659,0.1593868003165321,0.2034735506862335,0.0540857698641948,0.0222643272622503,0.0318214426019444,3.525,3.326704874767188,2.9824799220308895
R02,EEE,1.930258858644565,1.562657807073203,0.3676010515713622,0.6265460154561504,0.4381264338684809,0.655812388769388,0.0792013011718324,0.3530879535403046,0.061417805138423,0.0112451526797087,0.0501726524587142,5.376590909090909,6.44220594214161,5.860059570289544
R02,EnbPI-RH,1.869388075529443,1.4391666366529936,0.4302214388764493,0.5934953145947452,0.4034379028515681,0.6656002158105635,0.1674683537441925,0.1920094818208795,0.0535684115265641,0.023779459753418,0.029788951773146,2.9206818181818184,2.6894787833215927,2.5217587523454377
