method,cost_change_pct,cost_ci_low,cost_ci_high,cost_holm_p,tuwr_change_pp,tuwr_ci_low,tuwr_ci_high,tuwr_holm_p,zone_wins
LinUCB,-1.512876430463006,-1.882222660567864,-1.2137086849485978,0.015625,-3.12138132826039,-3.8605805046861703,-2.49969941667007,0.015625,10
CART,-2.7789273649128754,-2.9779459446292758,-2.5166814098553405,0.015625,-1.22766386299789,-1.5771131527979698,-0.86810738568864,0.015625,10
AgACI,-3.910788453512737,-4.42611182357776,-3.4070956037942297,0.015625,8.912717215699411,7.89574917316302,10.11831879295057,0.015625,10
ACI,-4.142586262045855,-4.3685561164783335,-3.9116479551481222,0.015625,8.93680273059408,7.9097897400910195,10.15572208991993,0.015625,10
EEE,-4.33037337976665,-4.472865491127943,-4.187404596387962,0.015625,2.31050783813599,1.28775093560565,3.3936160032432503,0.015625,10
TSC,-4.444827732655543,-4.552084584220362,-4.345531904832746,0.015625,8.525927780546109,7.5101345915982,9.71234787733309,0.015625,10
EnbPI-RH,-7.98166327857569,-8.145769039902262,-7.861166363224068,0.015625,-6.51619741910001,-7.125538044576681,-5.84051591786233,0.015625,10
Static,-9.523573643349811,-10.067844071604348,-8.966570757005323,0.015625,-19.30632133903839,-22.28613316489579,-16.0286689542301,0.015625,10
