method,rank,excess
ACI,6.201090909090909,8.342244713375377
AgACI,6.388454545454546,10.493486979760506
CART,4.6059090909090905,5.423627263663618
CLARA,3.2717727272727273,2.4130547869879093
EEE,5.047272727272727,6.508429752746751
EnbPI-RH,5.0092727272727275,7.4425040330451715
LinUCB,4.111909090909091,2.9311558494220127
Static,4.609454545454545,7.681173927246017
TSC,5.754863636363637,7.3735510321085
